:START_ID(Course),:END_ID(Course),:TYPE,commonality:float,successCorrelation:float
CSDD 100,CSPP 200-1,LEADS_TO,0.44,0.56
CSLL 100,CSCC 300,LEADS_TO,0.71,0.85
CSLL 100,CSMM 300,LEADS_TO,0.79,0.76
CSLL 100,CSNN 300,LEADS_TO,0.8,0.75
CSLL 100,CSII 200,LEADS_TO,0.29,0.51
CSLL 100,CSYY 200,LEADS_TO,0.41,0.43
CSLL 100,CSPP 200,LEADS_TO,0.43,0.65
CSLL 100,CSJJ 200,LEADS_TO,0.32,0.43
CSLL 100,CSOO 200,LEADS_TO,0.24,0.55
CSPP 100,CSKK 300,LEADS_TO,0.83,0.73
CSPP 100,CSII 200,LEADS_TO,0.24,0.58
CSPP 100,CSDD 200,LEADS_TO,0.44,0.5
CSPP 100,CSYY 200,LEADS_TO,0.51,0.66
CSPP 100,CSEE 200,LEADS_TO,0.2,0.67
CSPP 100,CSJJ 200,LEADS_TO,0.22,0.57
CSPP 100,CSFF 200,LEADS_TO,0.43,0.47
CSKK 300,CSYY 400-7,LEADS_TO,0.77,0.74
CSKK 300,CSLL 400,LEADS_TO,0.33,0.53
CSKK 300,CSYY 400,LEADS_TO,0.31,0.52
CSPP 200,CSCC 300,LEADS_TO,0.43,0.64
CSPP 200,CSKK 300,LEADS_TO,0.21,0.43
CSPP 200,CSNN 300,LEADS_TO,0.47,0.56
CSPP 200,CSFF 300,LEADS_TO,0.25,0.42
CSPP 200,CSAA 300,LEADS_TO,0.33,0.7
CSII 200-7,CSAA 300,LEADS_TO,0.95,0.68
CSII 200-7,CSKK 300,LEADS_TO,0.23,0.47
CSII 200-7,CSMM 300,LEADS_TO,0.44,0.65
CSII 200-7,CSTT 300,LEADS_TO,0.52,0.58
CSII 200-7,CSYY 300,LEADS_TO,0.51,0.4
CSII 200-7,CSNN 300,LEADS_TO,0.56,0.61
CSII 200-7,CSTT 300-2,LEADS_TO,0.49,0.7
CSII 200-7,CSRR 300,LEADS_TO,0.55,0.54
CSQQ 200,CSHH 300,LEADS_TO,0.42,0.62
CSQQ 200,CSYY 300,LEADS_TO,0.32,0.68
CSQQ 200,CSSS 300,LEADS_TO,0.5,0.49
CSJJ 100,CSPP 300,LEADS_TO,0.96,0.73
CSJJ 100,CSII 200,LEADS_TO,0.27,0.45
CSJJ 100,CSOO 200,LEADS_TO,0.41,0.47
CSEE 200,CSCC 300,LEADS_TO,0.57,0.47
CSEE 200,CSKK 300,LEADS_TO,0.43,0.67
CSEE 200,CSOO 300,LEADS_TO,0.38,0.46
CSEE 200,CSYY 300,LEADS_TO,0.57,0.6
CSEE 200,CSFF 300,LEADS_TO,0.39,0.6
CSEE 200,CSSS 300,LEADS_TO,0.5,0.64
CSOO 300,CSLL 400,LEADS_TO,0.48,0.42
CSOO 300,CSYY 400-7,LEADS_TO,0.26,0.57
CSMM 300,CSII 400,LEADS_TO,0.25,0.65
CSNN 100,CSYY 400,LEADS_TO,0.85,0.73
CSNN 100,CSCC 300,LEADS_TO,0.82,0.82
CSNN 100,CSFF 300,LEADS_TO,0.88,0.72
CSNN 100,CSII 200,LEADS_TO,0.3,0.57
CSNN 100,CSYY 200,LEADS_TO,0.49,0.59
CSNN 100,CSPP 200-1,LEADS_TO,0.44,0.41
CSJJ 200,CSII 400,LEADS_TO,0.75,0.61
CSJJ 200,CSOO 300,LEADS_TO,0.54,0.47
CSJJ 200,CSNN 300,LEADS_TO,0.56,0.54
CSJJ 200,CSTT 300-2,LEADS_TO,0.53,0.45
CSJJ 200,CSRR 300,LEADS_TO,0.6,0.63
CSJJ 200,CSSS 300,LEADS_TO,0.45,0.68
CSTT 300,CSLL 400,LEADS_TO,0.59,0.55
CSMM 100-8,CSOO 300,LEADS_TO,0.82,0.61
CSMM 100-8,CSII 200,LEADS_TO,0.22,0.63
CSMM 100-8,CSYY 200,LEADS_TO,0.4,0.61
CSMM 100-8,CSPP 200,LEADS_TO,0.49,0.55
CSMM 100-8,CSOO 200,LEADS_TO,0.55,0.42
CSMM 100-8,CSFF 200,LEADS_TO,0.38,0.51
CSMM 100-8,CSPP 200-1,LEADS_TO,0.55,0.57
CSHH 300,CSYY 400,LEADS_TO,0.97,0.83
CSHH 300,CSLL 400,LEADS_TO,0.32,0.43
CSHH 300,CSII 400,LEADS_TO,0.21,0.46
CSHH 300,CSYY 400-7,LEADS_TO,0.2,0.46
CSYY 300,CSLL 400,LEADS_TO,0.27,0.51
CSYY 300,CSYY 400,LEADS_TO,0.38,0.5
CSYY 300,CSYY 400-7,LEADS_TO,0.34,0.68
CSYY 300,CSRR 400,LEADS_TO,0.55,0.64
CSUU 100-3,CSQQ 200,LEADS_TO,0.81,0.71
CSUU 100-3,CSLL 400,LEADS_TO,0.7,0.7
CSUU 100-3,CSFF 300,LEADS_TO,0.92,0.8
CSUU 100-3,CSYY 200,LEADS_TO,0.5,0.61
CSUU 100-3,CSOO 200,LEADS_TO,0.59,0.41
CSUU 100-3,CSYY 200-9,LEADS_TO,0.26,0.66
CSUU 100-3,CSCC 200,LEADS_TO,0.22,0.49
CSMM 100-1,CSPP 200,LEADS_TO,0.58,0.67
CSMM 100-1,CSQQ 200,LEADS_TO,0.24,0.6
CSMM 100-1,CSOO 200,LEADS_TO,0.33,0.44
CSOO 200,CSHH 300,LEADS_TO,0.82,0.6
CSOO 200,CSKK 300,LEADS_TO,0.49,0.61
CSOO 200,CSOO 300,LEADS_TO,0.48,0.41
CSOO 200,CSNN 300,LEADS_TO,0.54,0.53
CSNN 300,CSII 200,LEADS_TO,0.77,0.85
CSNN 300,CSLL 400,LEADS_TO,0.53,0.42
CSNN 300,CSRR 400,LEADS_TO,0.42,0.49
CSFF 200,CSHH 300,LEADS_TO,0.54,0.65
CSFF 200,CSYY 300,LEADS_TO,0.52,0.42
CSFF 200,CSPP 300,LEADS_TO,0.57,0.57
CSFF 200,CSTT 300-2,LEADS_TO,0.39,0.45
CSLL 100-1,CSPP 200,LEADS_TO,0.78,0.82
CSLL 100-1,CSJJ 200,LEADS_TO,0.79,0.75
CSLL 100-1,CSYY 300,LEADS_TO,0.83,0.76
CSLL 100-1,CSNN 300,LEADS_TO,0.87,0.83
CSLL 100-1,CSRR 300,LEADS_TO,0.8,0.62
CSLL 100-1,CSYY 200,LEADS_TO,0.22,0.58
CSLL 100-1,CSQQ 200,LEADS_TO,0.55,0.42
CSLL 100-1,CSOO 200,LEADS_TO,0.49,0.58
CSLL 100-1,CSFF 200,LEADS_TO,0.22,0.53
CSLL 100-1,CSCC 200,LEADS_TO,0.28,0.46
CSAA 100,CSTT 300-2,LEADS_TO,0.85,0.63
CSAA 100,CSII 200,LEADS_TO,0.57,0.58
CSAA 100,CSYY 200,LEADS_TO,0.21,0.59
CSAA 100,CSPP 200,LEADS_TO,0.53,0.49
CSAA 100,CSQQ 200,LEADS_TO,0.24,0.43
CSAA 100,CSJJ 200,LEADS_TO,0.41,0.53
CSAA 100,CSOO 200,LEADS_TO,0.45,0.65
CSAA 100,CSPP 200-1,LEADS_TO,0.44,0.54
CSPP 300,CSLL 400,LEADS_TO,0.42,0.6
CSRR 100,CSYY 200,LEADS_TO,0.5,0.45
CSRR 100,CSII 200-7,LEADS_TO,0.36,0.59
CSRR 100,CSFF 200,LEADS_TO,0.57,0.42
CSRR 100,CSYY 200-9,LEADS_TO,0.56,0.67
CSTT 300-2,CSII 100,LEADS_TO,0.93,0.9
CSTT 300-2,CSLL 400,LEADS_TO,0.53,0.52
CSRR 300,CSLL 400,LEADS_TO,0.88,0.63
CSRR 300,CSWW 400,LEADS_TO,0.52,0.56
CSYY 200-9,CSKK 300,LEADS_TO,0.34,0.56
CSYY 200-9,CSHH 300,LEADS_TO,0.25,0.41
CSYY 200-9,CSYY 300,LEADS_TO,0.33,0.5
CSYY 200-9,CSNN 300,LEADS_TO,0.55,0.54
CSYY 200-9,CSRR 300,LEADS_TO,0.46,0.56
CSPP 200-1,CSCC 300,LEADS_TO,0.43,0.52
CSPP 200-1,CSKK 300,LEADS_TO,0.51,0.55
CSPP 200-1,CSMM 300,LEADS_TO,0.38,0.62
CSPP 200-1,CSFF 300,LEADS_TO,0.51,0.67
CSFF 300,CSLL 400,LEADS_TO,0.44,0.44
CSFF 300,CSWW 400,LEADS_TO,0.38,0.47
CSII 100,CSWW 400,LEADS_TO,0.87,0.75
CSII 100,CSCC 200,LEADS_TO,0.23,0.61
CSCC 200,CSTT 300,LEADS_TO,0.89,0.8
CSCC 200,CSOO 300,LEADS_TO,0.32,0.59
CSCC 200,CSMM 300,LEADS_TO,0.5,0.62
CSCC 200,CSNN 300,LEADS_TO,0.58,0.51
CSCC 200,CSRR 300,LEADS_TO,0.2,0.47
CSCC 200,CSSS 300,LEADS_TO,0.23,0.65
CSKK 100,CSII 200-7,LEADS_TO,0.98,0.8
CSKK 100,CSQQ 200,LEADS_TO,0.47,0.59
CSKK 100,CSYY 200-9,LEADS_TO,0.3,0.58
CSKK 100,CSCC 200,LEADS_TO,0.33,0.66
CSAA 300,CSLL 400,LEADS_TO,0.41,0.62
CSSS 300,CSYY 400-7,LEADS_TO,0.38,0.47
CSHH 100,CSLL 300,LEADS_TO,0.81,0.72
CSHH 100,CSHH 300,LEADS_TO,0.79,0.82
CSHH 100,CSCC 200,LEADS_TO,0.78,0.64
CSHH 100,CSDD 200,LEADS_TO,0.57,0.52
CSHH 100,CSII 200-7,LEADS_TO,0.58,0.54
CSHH 100,CSOO 200,LEADS_TO,0.3,0.57
BOOO 200,BGGG 400,LEADS_TO,0.92,0.79
BOOO 200,BFFF 300,LEADS_TO,0.89,0.73
BOOO 200,BZZZ 300,LEADS_TO,0.52,0.69
BOOO 200,BVVV 300,LEADS_TO,0.54,0.41
BOOO 200,BNNN 300,LEADS_TO,0.35,0.45
BOOO 200,BDDD 300,LEADS_TO,0.3,0.65
BOOO 200,BRRR 300,LEADS_TO,0.45,0.53
BOOO 200,BXXX 300,LEADS_TO,0.35,0.53
BOOO 200,BLLL 300,LEADS_TO,0.59,0.66
BOOO 200,BPPP 300,LEADS_TO,0.37,0.61
BUUU 100,BLLL 300,LEADS_TO,0.75,0.66
BUUU 100,BOOO 200,LEADS_TO,0.32,0.64
BUUU 100,BWWW 200,LEADS_TO,0.32,0.65
BUUU 100,BVVV 200-5,LEADS_TO,0.22,0.59
BUUU 100,BAAA 200,LEADS_TO,0.45,0.69
BUUU 100,BAAA 200-8,LEADS_TO,0.53,0.58
BUUU 100,BTTT 200,LEADS_TO,0.21,0.43
BIII 300,BGGG 400,LEADS_TO,0.45,0.53
BIII 300,BXXX 400-1,LEADS_TO,0.33,0.55
BYYY 400-5,BQQQ 400-7,LEADS_TO,0.8,0.74
BVVV 200,BKKK 100,LEADS_TO,0.86,0.73
BVVV 200,BVVV 300,LEADS_TO,0.34,0.63
BVVV 200,BNNN 300,LEADS_TO,0.31,0.48
BVVV 200,BLLL 300,LEADS_TO,0.48,0.64
BVVV 200,BIII 300-7,LEADS_TO,0.36,0.65
BQQQ 200,BYYY 400,LEADS_TO,0.9,0.65
BQQQ 200,BYYY 400-5,LEADS_TO,0.81,0.65
BQQQ 200,BFFF 300,LEADS_TO,0.78,0.8
BQQQ 200,BZZZ 300,LEADS_TO,0.51,0.43
BQQQ 200,BPPP 300,LEADS_TO,0.24,0.61
BQQQ 200,BSSS 300,LEADS_TO,0.45,0.61
BZZZ 300,BYYY 400,LEADS_TO,0.27,0.49
BZZZ 300,BYYY 400-5,LEADS_TO,0.34,0.68
BZZZ 300,BQQQ 400-7,LEADS_TO,0.46,0.6
BVVV 300,BQQQ 400,LEADS_TO,0.26,0.42
BVVV 300,BRRR 400,LEADS_TO,0.53,0.61
BWWW 200,BIII 300,LEADS_TO,0.55,0.69
BWWW 200,BXXX 300,LEADS_TO,0.24,0.52
BWWW 200,BIII 300-7,LEADS_TO,0.47,0.67
BZZZ 300-9,BYYY 400-5,LEADS_TO,0.93,0.84
BZZZ 300-9,BYYY 400,LEADS_TO,0.41,0.5
BZZZ 300-9,BQQQ 400-7,LEADS_TO,0.37,0.59
BZZZ 300-9,BRRR 400,LEADS_TO,0.46,0.57
BZZZ 300-9,BGGG 400,LEADS_TO,0.25,0.46
BZZZ 300-9,BXXX 400-1,LEADS_TO,0.29,0.67
BNNN 300,BXXX 400,LEADS_TO,0.7,0.86
BNNN 300,BQQQ 400-5,LEADS_TO,0.86,0.9
BNNN 300,BYYY 400,LEADS_TO,0.31,0.53
BNNN 300,BYYY 400-5,LEADS_TO,0.33,0.41
BNNN 300,BQQQ 400,LEADS_TO,0.47,0.45
BNNN 300,BJJJ 400,LEADS_TO,0.4,0.69
BVVV 200-5,BIII 300,LEADS_TO,0.5,0.7
BVVV 200-5,BVVV 300,LEADS_TO,0.52,0.52
BVVV 200-5,BNNN 300,LEADS_TO,0.39,0.68
BVVV 200-5,BLLL 300,LEADS_TO,0.31,0.47
BVVV 200-5,BVVV 300-8,LEADS_TO,0.43,0.63
BVVV 200-5,BSSS 300,LEADS_TO,0.59,0.45
BIII 100,BPPP 300,LEADS_TO,0.94,0.64
BIII 100,BWWW 200,LEADS_TO,0.58,0.46
BIII 100,BAAA 200,LEADS_TO,0.25,0.7
BIII 100,BAAA 200-8,LEADS_TO,0.59,0.49
BIII 100,BMMM 200,LEADS_TO,0.28,0.63
BIII 100,BCCC 200,LEADS_TO,0.58,0.53
BIII 100,BZZZ 200,LEADS_TO,0.47,0.49
BKKK 100,BNNN 300,LEADS_TO,0.92,0.74
BKKK 100,BJJJ 400,LEADS_TO,0.93,0.89
BKKK 100,BVVV 200,LEADS_TO,0.23,0.57
BKKK 100,BVVV 200-5,LEADS_TO,0.26,0.46
BKKK 100,BKKK 200,LEADS_TO,0.25,0.42
BKKK 100,BTTT 200,LEADS_TO,0.59,0.5
BKKK 100,BJJJ 200,LEADS_TO,0.53,0.43
BAAA 200,BGGG 400,LEADS_TO,0.77,0.75
BAAA 200,BSSS 300,LEADS_TO,0.88,0.75
BAAA 200,BXXX 300,LEADS_TO,0.21,0.67
BAAA 200,BLLL 300,LEADS_TO,0.35,0.59
BAAA 200,BPPP 300,LEADS_TO,0.26,0.59
BAAA 200,BIII 300-7,LEADS_TO,0.32,0.56
BKKK 200,BQQQ 400-7,LEADS_TO,0.82,0.67
BKKK 200,BVVV 300,LEADS_TO,0.27,0.58
BKKK 200,BNNN 300,LEADS_TO,0.33,0.57
BKKK 200,BXXX 300,LEADS_TO,0.48,0.56
BKKK 200,BPPP 300,LEADS_TO,0.38,0.51
BDDD 300,BQQQ 400,LEADS_TO,0.58,0.66
BDDD 300,BQQQ 400-7,LEADS_TO,0.48,0.57
BDDD 300,BGGG 400,LEADS_TO,0.49,0.66
BAAA 200-8,BYYY 400,LEADS_TO,0.75,0.63
BAAA 200-8,BJJJ 400,LEADS_TO,0.73,0.64
BAAA 200-8,BXXX 400-1,LEADS_TO,0.85,0.83
BAAA 200-8,BRRR 300,LEADS_TO,0.31,0.59
BAAA 200-8,BLLL 300,LEADS_TO,0.5,0.43
BAAA 200-8,BPPP 300,LEADS_TO,0.24,0.47
BMMM 200,BQQQ 400-5,LEADS_TO,0.92,0.77
BMMM 200,BIII 300-7,LEADS_TO,0.89,0.67
BMMM 200,BZZZ 300-9,LEADS_TO,0.54,0.69
BMMM 200,BRRR 300,LEADS_TO,0.31,0.4
BMMM 200,BPPP 300,LEADS_TO,0.38,0.44
BGGG 400,BVVV 200-5,LEADS_TO,0.76,0.78
BAAA 100,BYYY 400-5,LEADS_TO,0.91,0.69
BAAA 100,BJJJ 200,LEADS_TO,0.97,0.89
BAAA 100,BXXX 400-1,LEADS_TO,0.74,0.66
BAAA 100,BVVV 200,LEADS_TO,0.28,0.44
BAAA 100,BWWW 200,LEADS_TO,0.33,0.56
BAAA 100,BVVV 200-5,LEADS_TO,0.52,0.55
BAAA 100,BAAA 200-8,LEADS_TO,0.57,0.63
BAAA 100,BCCC 200-8,LEADS_TO,0.34,0.65
BCCC 200,BIII 300,LEADS_TO,0.72,0.67
BCCC 200,BDDD 300,LEADS_TO,0.71,0.73
BCCC 200,BXXX 300,LEADS_TO,0.45,0.45
BCCC 200,BVVV 300-8,LEADS_TO,0.52,0.58
BCCC 200,BFFF 300,LEADS_TO,0.54,0.69
BCCC 200,BEEE 300,LEADS_TO,0.25,0.64
BTTT 200,BYYY 400,LEADS_TO,0.75,0.77
BTTT 200,BZZZ 300,LEADS_TO,0.3,0.42
BTTT 200,BVVV 300,LEADS_TO,0.4,0.56
BTTT 200,BLLL 300,LEADS_TO,0.56,0.61
BTTT 200,BSSS 300,LEADS_TO,0.48,0.67
BXXX 100,BZZZ 200,LEADS_TO,0.97,0.74
BXXX 100,BVVV 300-8,LEADS_TO,0.74,0.88
BXXX 100,BVVV 200,LEADS_TO,0.23,0.43
BXXX 100,BAAA 200,LEADS_TO,0.25,0.44
BXXX 100,BMMM 200,LEADS_TO,0.35,0.43
BXXX 100,BJJJ 200,LEADS_TO,0.31,0.67
BXXX 100,BJJJ 200-2,LEADS_TO,0.35,0.5
BRRR 300,BQQQ 200,LEADS_TO,0.91,0.61
BRRR 300,BQQQ 400,LEADS_TO,0.88,0.81
BRRR 300,BQQQ 400-7,LEADS_TO,0.48,0.43
BRRR 300,BXXX 400-1,LEADS_TO,0.27,0.51
BXXX 300,BGGG 400,LEADS_TO,0.56,0.64
BBBB 200,BZZZ 300,LEADS_TO,0.24,0.67
BBBB 200,BDDD 300,LEADS_TO,0.58,0.63
BLLL 300,BYYY 400,LEADS_TO,0.52,0.53
BLLL 300,BQQQ 400,LEADS_TO,0.42,0.55
BLLL 300,BXXX 400,LEADS_TO,0.51,0.45
BLLL 300,BXXX 400-1,LEADS_TO,0.32,0.63
BZZZ 200,BZZZ 300-9,LEADS_TO,0.91,0.74
BZZZ 200,BDDD 300,LEADS_TO,0.95,0.79
BZZZ 200,BXXX 300,LEADS_TO,0.84,0.72
BZZZ 200,BZZZ 300,LEADS_TO,0.36,0.41
BPPP 300,BRRR 400,LEADS_TO,0.76,0.6
BPPP 300,BJJJ 400,LEADS_TO,0.43,0.51
BPPP 300,BGGG 400,LEADS_TO,0.27,0.5
BCCC 200-8,BQQQ 400-7,LEADS_TO,0.81,0.76
BCCC 200-8,BZZZ 300,LEADS_TO,0.31,0.59
BCCC 200-8,BXXX 300,LEADS_TO,0.52,0.57
BCCC 200-8,BLLL 300,LEADS_TO,0.22,0.5
BCCC 200-8,BVVV 300-8,LEADS_TO,0.31,0.65
BCCC 200-8,BSSS 300,LEADS_TO,0.24,0.6
BJJJ 100,BZZZ 300,LEADS_TO,0.89,0.77
BJJJ 100,BWWW 200,LEADS_TO,0.8,0.79
BJJJ 100,BKKK 200,LEADS_TO,0.95,0.88
BJJJ 100,BBBB 200,LEADS_TO,0.89,0.81
BJJJ 100,BQQQ 200,LEADS_TO,0.46,0.42
BJJJ 100,BAAA 200,LEADS_TO,0.29,0.63
BJJJ 100,BCCC 200-8,LEADS_TO,0.48,0.55
BJJJ 100,BJJJ 200,LEADS_TO,0.53,0.51
BJJJ 100,BJJJ 200-2,LEADS_TO,0.57,0.61
BVVV 300-8,BXXX 400,LEADS_TO,0.45,0.55
BVVV 300-8,BQQQ 400-5,LEADS_TO,0.27,0.65
BPPP 100,BOOO 200,LEADS_TO,0.98,0.68
BPPP 100,BIII 300,LEADS_TO,0.87,0.68
BPPP 100,BYYY 400-5,LEADS_TO,0.93,0.73
BPPP 100,BZZZ 300,LEADS_TO,0.84,0.78
BPPP 100,BCCC 200-8,LEADS_TO,0.78,0.88
BPPP 100,BJJJ 200-2,LEADS_TO,0.76,0.78
BPPP 100,BSSS 300,LEADS_TO,0.76,0.78
BPPP 100,BVVV 200,LEADS_TO,0.54,0.49
BPPP 100,BVVV 200-5,LEADS_TO,0.39,0.45
BPPP 100,BBBB 200,LEADS_TO,0.47,0.58
BPPP 100,BZZZ 200,LEADS_TO,0.31,0.44
BPPP 100,BJJJ 200,LEADS_TO,0.21,0.66
BJJJ 200,BQQQ 400,LEADS_TO,0.88,0.73
BJJJ 200,BRRR 400,LEADS_TO,0.92,0.64
BJJJ 200,BRRR 300,LEADS_TO,0.78,0.7
BJJJ 200,BZZZ 300-9,LEADS_TO,0.22,0.66
BJJJ 200,BNNN 300,LEADS_TO,0.32,0.61
BJJJ 200,BEEE 300,LEADS_TO,0.35,0.57
BJJJ 200,BIII 300-7,LEADS_TO,0.28,0.55
BLLL 300-3,BQQQ 400-5,LEADS_TO,0.98,0.88
BLLL 300-3,BJJJ 400,LEADS_TO,0.56,0.65
BLLL 300-3,BRRR 400,LEADS_TO,0.41,0.63
BFFF 300,BYYY 400,LEADS_TO,0.8,0.68
BFFF 300,BXXX 400,LEADS_TO,0.37,0.46
BFFF 300,BQQQ 400-5,LEADS_TO,0.22,0.5
BEEE 300,BYYY 400,LEADS_TO,0.31,0.52
BEEE 300,BYYY 400-5,LEADS_TO,0.27,0.53
BIII 300-7,BGGG 400,LEADS_TO,0.38,0.5
BIII 300-7,BXXX 400,LEADS_TO,0.34,0.69
BLLL 100,BXXX 300,LEADS_TO,0.7,0.62
BLLL 100,BOOO 200,LEADS_TO,0.57,0.48
BLLL 100,BVVV 200,LEADS_TO,0.28,0.47
BJJJ 200-2,BLLL 300-3,LEADS_TO,0.94,0.76
BJJJ 200-2,BIII 300,LEADS_TO,0.22,0.62
BJJJ 200-2,BVVV 300-8,LEADS_TO,0.37,0.62
BSSS 300,BYYY 400,LEADS_TO,0.25,0.64
BSSS 300,BQQQ 400,LEADS_TO,0.54,0.48
BSSS 300,BXXX 400,LEADS_TO,0.2,0.59
