:START_ID(Course),:END_ID(RequirementGroup),:TYPE
BQQQ 400-5,REQ-CORE-BS-Biology-1,FULFILLS
BIII 300,REQ-SPECIALIZATION-1-BS-Biology-1,FULFILLS
CSPP 100,REQ-SPECIALIZATION-1-BS-Biology-1,FULFILLS
BLLL 300-3,REQ-SPECIALIZATION-1-BS-Biology-1,FULFILLS
BJJJ 200,REQ-SPECIALIZATION-1-BS-Biology-1,FULFILLS
CSII 400,REQ-SPECIALIZATION-1-BS-Biology-1,FULFILLS
BJJJ 100,REQ-SPECIALIZATION-1-BS-Biology-1,FULFILLS
CSHH 100,REQ-SPECIALIZATION-1-BS-Biology-1,FULFILLS
CSRR 100,REQ-CONCENTRATION-2-BS-Biology-1,FULFILLS
BLLL 300-3,REQ-CONCENTRATION-2-BS-Biology-1,FULFILLS
BPPP 100,REQ-CONCENTRATION-2-BS-Biology-1,FULFILLS
BUUU 100,REQ-CORE-BA-Biology-2,FULFILLS
BVVV 200-5,REQ-CORE-BA-Biology-2,FULFILLS
BTTT 200,REQ-CORE-BA-Biology-2,FULFILLS
BIII 300,REQ-CORE-BA-Biology-2,FULFILLS
BZZZ 300,REQ-CORE-BA-Biology-2,FULFILLS
BRRR 300,REQ-CORE-BA-Biology-2,FULFILLS
BXXX 300,REQ-CORE-BA-Biology-2,FULFILLS
BPPP 300,REQ-CORE-BA-Biology-2,FULFILLS
BIII 300-7,REQ-CORE-BA-Biology-2,FULFILLS
BYYY 400,REQ-CORE-BA-Biology-2,FULFILLS
BQQQ 400-7,REQ-CORE-BA-Biology-2,FULFILLS
BJJJ 400,REQ-CORE-BA-Biology-2,FULFILLS
BRRR 400,REQ-CORE-BA-Biology-2,FULFILLS
BGGG 400,REQ-CORE-BA-Biology-2,FULFILLS
BXXX 400,REQ-CORE-BA-Biology-2,FULFILLS
BQQQ 400-5,REQ-CORE-BA-Biology-2,FULFILLS
BQQQ 200,REQ-ELECTIVE-1-BA-Biology-2,FULFILLS
BXXX 100,REQ-ELECTIVE-1-BA-Biology-2,FULFILLS
CSMM 100-1,REQ-ELECTIVE-1-BA-Biology-2,FULFILLS
BLLL 100,REQ-ELECTIVE-1-BA-Biology-2,FULFILLS
BAAA 100,REQ-ELECTIVE-1-BA-Biology-2,FULFILLS
BSSS 300,REQ-ELECTIVE-1-BA-Biology-2,FULFILLS
BNNN 300,REQ-ELECTIVE-1-BA-Biology-2,FULFILLS
BCCC 200,REQ-ELECTIVE-1-BA-Biology-2,FULFILLS
BSSS 300,REQ-ELECTIVE-2-BA-Biology-2,FULFILLS
BDDD 300,REQ-ELECTIVE-2-BA-Biology-2,FULFILLS
CSLL 400,REQ-ELECTIVE-2-BA-Biology-2,FULFILLS
BKKK 200,REQ-ELECTIVE-2-BA-Biology-2,FULFILLS
BVVV 200,REQ-ELECTIVE-2-BA-Biology-2,FULFILLS
