id:ID(Textbook),name,publisher,price:float,pages:int,edition:int,publicationYear:int,isbn,category
TXT-Com-200-3,Web Development: Principles and Applications,McGraw-Hill,78.87,292,2,2019,978-520-018-5,Systems
TXT-Com-300-1,Advanced Edge Computing Applications,Wiley,98.46,877,2,2017,978-759-665-5,Systems
TXT-Com-300-1,Advanced DevOps Methods,Wiley,56.5,633,3,2017,978-221-613-8,Systems
TXT-Com-300-2,DevOps Methods: Theory and Practice,Wiley,123.88,906,5,2017,978-441-522-6,Systems
TXT-Com-400-1,Advanced Advanced Software Testing,Addison-Wesley,103.96,961,5,2022,978-980-389-8,Programming
TXT-Com-400-2,Advanced Software Testing: Principles and Applications,Addison-Wesley,115.94,875,4,2017,978-188-782-7,Programming
TXT-Com-100-1,Introduction to Fundamentals of Software Engineering,Addison-Wesley,54.74,947,5,2023,978-755-250-9,Programming
TXT-Com-200-1,Introduction to Machine Learning,Pearson,98.03,822,4,2021,978-907-559-9,Systems
TXT-Com-300-1,Advanced Software Testing I,Manning,95.75,1467,1,2018,978-818-049-5,Programming
TXT-Com-300-2,Software Testing I: Problem Solving,Manning,59.01,729,3,2021,978-110-829-4,Programming
TXT-Com-300-3,Software Testing I: Theory and Practice,O'Reilly,100.86,939,2,2020,978-745-021-3,Programming
TXT-Com-100-1,Introduction to Basic Game Development,McGraw-Hill,123.52,888,2,2022,978-199-475-4,Systems
TXT-Com-300-1,Advanced Web Development Applications,McGraw-Hill,69.01,803,3,2017,978-222-929-5,Systems
TXT-Com-300-2,Web Development Applications: A Comprehensive Guide,Pearson,86.95,473,2,2018,978-489-488-3,Systems
TXT-Com-300-3,Web Development Applications: Principles and Applications,Pearson,96.24,744,4,2019,978-242-455-1,Systems
TXT-Com-300-1,Advanced Programming Languages Theory,O'Reilly,80.64,911,2,2022,978-352-977-9,Programming
TXT-Com-100-1,Introduction to Fundamentals of Distributed Systems,Pearson,66.84,476,5,2019,978-075-733-7,Systems
TXT-Com-100-1,Introduction to Introduction to Mobile Computing,McGraw-Hill,120.72,717,5,2023,978-574-278-4,Systems
TXT-Com-200-1,Introduction to Software Engineering,Prentice Hall,108.86,774,2,2020,978-854-516-7,Programming
TXT-Com-300-1,Advanced Artificial Intelligence Applications,Wiley,112.16,946,2,2022,978-567-541-5,Systems
TXT-Com-300-2,Artificial Intelligence Applications: A Comprehensive Guide,Pearson,87.16,761,5,2020,978-322-376-6,Systems
TXT-Com-300-3,Artificial Intelligence Applications: Principles and Applications,Wiley,123.54,351,5,2020,978-799-432-4,Systems
TXT-Com-200-1,Introduction to IoT Development,Wiley,74.53,748,1,2018,978-340-606-8,Systems
TXT-Com-200-2,IoT Development: Problem Solving,Pearson,78.55,461,2,2020,978-183-443-2,Systems
TXT-Com-100-1,Introduction to Introduction to Quantum Computing,Wiley,104.49,405,4,2020,978-908-354-5,Systems
TXT-Com-100-2,Introduction to Quantum Computing: A Comprehensive Guide,McGraw-Hill,117.13,747,4,2021,978-419-338-4,Systems
TXT-Com-100-1,Introduction to Basic Compiler Design,Wiley,99.3,785,3,2021,978-558-119-1,Systems
TXT-Com-300-1,Advanced Web Development Analysis,McGraw-Hill,93.82,655,4,2023,978-292-899-5,Systems
TXT-Com-100-1,Introduction to Principles of Natural Language Processing,McGraw-Hill,63.28,336,1,2022,978-566-515-3,Systems
TXT-Com-300-1,Advanced Operating Systems I,Pearson,122.59,845,1,2017,978-634-511-7,Systems
TXT-Com-300-2,Operating Systems I: A Comprehensive Guide,McGraw-Hill,99.56,526,4,2019,978-232-205-1,Systems
TXT-Com-300-3,Operating Systems I: Case Studies,Wiley,102.01,841,1,2021,978-466-887-3,Systems
TXT-Com-300-1,Advanced Cloud Computing Analysis,Pearson,104.47,995,1,2023,978-324-731-8,Systems
TXT-Com-300-2,Cloud Computing Analysis: Theory and Practice,McGraw-Hill,112.86,873,2,2022,978-879-560-2,Systems
TXT-Com-300-3,Cloud Computing Analysis: Problem Solving,Pearson,92.45,753,2,2023,978-955-975-9,Systems
TXT-Com-400-1,Advanced Special Topics in Database Systems,McGraw-Hill,102.39,564,3,2022,978-427-165-5,Systems
TXT-Com-200-1,Introduction to Big Data Analytics,McGraw-Hill,123.27,978,2,2022,978-466-679-8,Systems
TXT-Com-200-2,Big Data Analytics: Case Studies,McGraw-Hill,55.44,475,2,2018,978-633-779-8,Systems
TXT-Com-200-3,Big Data Analytics: Problem Solving,Pearson,50.77,969,2,2018,978-146-755-1,Systems
TXT-Com-200-1,Introduction to Cloud Computing,Wiley,80.55,663,3,2018,978-717-058-0,Systems
TXT-Com-200-2,Cloud Computing: Problem Solving,Pearson,116.55,735,1,2022,978-323-676-6,Systems
TXT-Com-200-3,Cloud Computing: Principles and Applications,Wiley,90.97,537,3,2018,978-445-113-2,Systems
TXT-Com-400-1,Advanced Topics in Computer Graphics,Pearson,128.65,789,1,2023,978-023-596-8,Systems
TXT-Com-300-1,Advanced Mobile Computing Applications,Wiley,59.18,972,2,2021,978-516-757-1,Systems
TXT-Com-300-2,Mobile Computing Applications: Case Studies,Wiley,129.31,572,4,2022,978-440-142-3,Systems
TXT-Com-100-1,Introduction to Fundamentals of Computer Networks,Wiley,107.13,604,5,2021,978-490-766-4,Systems
TXT-Com-100-2,Fundamentals of Computer Networks: Problem Solving,McGraw-Hill,82.33,533,5,2023,978-312-559-5,Systems
TXT-Com-100-3,Fundamentals of Computer Networks: Case Studies,Pearson,93.57,605,4,2023,978-666-822-3,Systems
TXT-Com-200-1,Introduction to Programming Languages,Addison-Wesley,91.2,967,2,2023,978-079-673-1,Programming
TXT-Com-400-1,Advanced Advanced Computer Graphics,Wiley,63.29,351,3,2018,978-896-565-5,Systems
TXT-Com-100-1,Introduction to Basic Blockchain Technology,Wiley,82.14,886,4,2023,978-012-370-6,Systems
TXT-Com-100-2,Basic Blockchain Technology: Principles and Applications,Pearson,89.18,787,3,2020,978-608-960-0,Systems
TXT-Com-100-3,Basic Blockchain Technology: Theory and Practice,Pearson,92.51,674,4,2019,978-587-454-0,Systems
TXT-Com-400-1,Advanced Special Topics in Operating Systems,McGraw-Hill,69.14,814,5,2018,978-833-735-3,Systems
TXT-Com-400-2,Special Topics in Operating Systems: A Comprehensive Guide,Pearson,78.59,424,2,2016,978-535-431-2,Systems
TXT-Com-400-3,Special Topics in Operating Systems: Case Studies,Pearson,60.26,717,2,2021,978-547-940-0,Systems
TXT-Com-300-1,Advanced Introduction to Programming Applications,Prentice Hall,115.26,970,3,2021,978-691-247-5,Programming
TXT-Com-300-2,Introduction to Programming Applications: Theory and Practice,Manning,42.13,1001,1,2021,978-563-701-5,Programming
TXT-Com-300-3,Introduction to Programming Applications: Case Studies,Prentice Hall,119.5,717,3,2017,978-444-965-9,Programming
TXT-Com-300-1,Advanced Computer Vision Analysis,McGraw-Hill,94.55,1006,4,2019,978-327-194-9,Systems
TXT-Com-100-1,Introduction to Basic Introduction to Programming,Addison-Wesley,118.8,1038,2,2021,978-615-260-3,Programming
TXT-Com-100-2,Basic Introduction to Programming: Case Studies,Addison-Wesley,101.2,866,4,2019,978-368-703-5,Programming
TXT-Com-400-1,Advanced Topics in Operating Systems,Wiley,115.97,737,3,2022,978-390-903-4,Systems
TXT-Bio-400-1,Advanced Advanced Molecular Biology,Springer,109.99,1002,4,2016,978-709-719-5,Specialized
TXT-Bio-200-1,Introduction to Marine Biology,Wiley,105.64,696,3,2020,978-430-096-7,General
TXT-Bio-100-1,Introduction to Basic Genomics,Wiley,134.63,1048,3,2022,978-537-281-7,General
TXT-Bio-100-2,Basic Genomics: Principles and Applications,McGraw-Hill,174.19,1160,1,2022,978-058-913-0,General
TXT-Bio-100-3,Basic Genomics: Principles and Applications,Wiley,189.25,1467,1,2022,978-227-181-3,General
TXT-Bio-300-1,Advanced Tropical Biology I,Oxford University Press,73.61,1023,2,2017,978-740-531-4,Specialized
TXT-Bio-400-1,Advanced Topics in Evolution,Springer,172.99,736,3,2019,978-424-063-5,Specialized
TXT-Bio-200-1,Introduction to Genetics,McGraw-Hill,134.71,1001,3,2019,978-538-730-5,General
TXT-Bio-200-1,Introduction to Stem Cell Biology,McGraw-Hill,116.57,509,2,2023,978-878-958-7,General
TXT-Bio-200-2,Stem Cell Biology: A Comprehensive Guide,McGraw-Hill,84.44,1028,2,2022,978-675-359-8,General
TXT-Bio-200-3,Stem Cell Biology: Principles and Applications,Wiley,160.86,950,5,2023,978-096-677-9,General
TXT-Bio-400-1,Advanced Topics in Tropical Biology,Oxford University Press,120.48,772,2,2023,978-987-278-7,Specialized
TXT-Bio-300-1,Advanced Stem Cell Biology Applications,Oxford University Press,142.05,1062,4,2017,978-956-707-6,Specialized
TXT-Bio-300-1,Advanced Synthetic Biology Applications,Oxford University Press,140.14,630,1,2022,978-750-423-0,Specialized
TXT-Bio-300-2,Synthetic Biology Applications: Case Studies,Springer,164.69,662,5,2020,978-333-911-3,Specialized
TXT-Bio-300-3,Synthetic Biology Applications: Theory and Practice,Springer,143.45,1052,5,2023,978-058-914-7,Specialized
TXT-Bio-200-1,Introduction to Virology,McGraw-Hill,192.13,740,4,2018,978-254-290-5,General
TXT-Bio-200-2,Virology: Problem Solving,Cengage,127.84,1007,2,2018,978-059-511-0,General
TXT-Bio-300-1,Advanced Behavioral Ecology Applications,Springer,140.72,958,3,2018,978-243-227-6,Specialized
TXT-Bio-400-1,Advanced Topics in Conservation Biology,Elsevier,159.23,746,2,2018,978-574-481-2,Specialized
TXT-Bio-400-2,Topics in Conservation Biology: Theory and Practice,Oxford University Press,127.24,792,1,2018,978-777-391-5,Specialized
TXT-Bio-400-3,Topics in Conservation Biology: Theory and Practice,Elsevier,161.12,730,5,2020,978-129-718-2,Specialized
TXT-Bio-300-1,Advanced Animal Behavior Methods,Oxford University Press,121.42,861,1,2018,978-963-732-1,Specialized
TXT-Bio-300-2,Animal Behavior Methods: A Comprehensive Guide,Elsevier,172.56,554,1,2017,978-809-845-7,Specialized
TXT-Bio-200-1,Introduction to Systems Biology,McGraw-Hill,145.02,1529,2,2020,978-880-996-5,General
TXT-Bio-200-2,Systems Biology: Principles and Applications,Pearson,179.88,652,1,2019,978-794-682-7,General
TXT-Bio-100-1,Introduction to Principles of Cell Physiology,Pearson,163.22,928,5,2023,978-183-468-9,General
TXT-Bio-100-2,Principles of Cell Physiology: Case Studies,Pearson,146.38,943,4,2023,978-069-985-7,General
TXT-Bio-100-1,Introduction to Introduction to Molecular Genetics,Cengage,178.79,1047,3,2023,978-057-208-6,General
TXT-Bio-200-1,Introduction to Metabolomics,Pearson,196.66,727,4,2020,978-469-058-7,General
TXT-Bio-200-2,Metabolomics: Principles and Applications,Pearson,144.37,1176,5,2021,978-539-979-1,General
TXT-Bio-400-1,Advanced Topics in Ecology,Springer,92.66,968,1,2023,978-782-967-3,Specialized
TXT-Bio-400-1,Advanced Special Topics in Virology,Springer,88.38,1129,4,2020,978-013-054-4,Specialized
TXT-Bio-400-2,Special Topics in Virology: Case Studies,Oxford University Press,105.29,750,2,2016,978-374-107-9,Specialized
TXT-Bio-200-1,Introduction to Stem Cell Biology,Wiley,112.33,1199,4,2018,978-454-978-3,General
TXT-Bio-300-1,Advanced Marine Biology I,Elsevier,72.82,922,2,2023,978-348-743-0,Specialized
TXT-Bio-200-1,Introduction to Behavioral Ecology,Cengage,160.36,703,1,2021,978-761-131-9,General
TXT-Bio-200-2,Behavioral Ecology: A Comprehensive Guide,McGraw-Hill,187.53,1038,4,2021,978-255-274-9,General
TXT-Bio-200-1,Introduction to Comparative Anatomy,Pearson,91.7,615,3,2022,978-215-691-3,General
TXT-Bio-400-1,Advanced Topics in Biochemistry,Oxford University Press,75.65,1053,2,2019,978-631-415-0,Specialized
TXT-Bio-400-1,Advanced Advanced Environmental Biology,Oxford University Press,86.71,633,1,2017,978-519-089-4,Specialized
TXT-Bio-400-2,Advanced Environmental Biology: Theory and Practice,Springer,98.21,845,1,2018,978-727-079-5,Specialized
TXT-Bio-100-1,Introduction to Introduction to Molecular Genetics,Cengage,125.18,820,2,2022,978-061-869-6,General
TXT-Bio-100-2,Introduction to Molecular Genetics: Problem Solving,Wiley,171.05,686,5,2019,978-918-201-3,General
TXT-Bio-100-3,Introduction to Molecular Genetics: A Comprehensive Guide,Pearson,149.41,1065,4,2021,978-382-639-8,General
TXT-Bio-200-1,Introduction to Genomics,McGraw-Hill,171.45,1614,2,2021,978-776-963-3,General
TXT-Bio-200-2,Genomics: A Comprehensive Guide,Cengage,181.29,1170,3,2023,978-133-813-6,General
TXT-Bio-200-1,Introduction to Molecular Genetics,Pearson,110.08,616,3,2018,978-005-394-1,General
TXT-Bio-200-2,Molecular Genetics: Principles and Applications,Pearson,152.32,1033,1,2019,978-351-523-2,General
TXT-Bio-100-1,Introduction to Principles of Computational Biology,McGraw-Hill,90.51,638,1,2021,978-305-394-1,General
TXT-Bio-100-2,Principles of Computational Biology: Problem Solving,Pearson,127.24,1190,3,2021,978-134-596-5,General
TXT-Bio-300-1,Advanced General Biology Theory,Oxford University Press,170.94,213,4,2019,978-777-428-0,Specialized
TXT-Bio-300-2,General Biology Theory: A Comprehensive Guide,Oxford University Press,84.14,519,3,2017,978-436-815-8,Specialized
TXT-Bio-300-3,General Biology Theory: Principles and Applications,Elsevier,94.52,643,3,2021,978-831-377-7,Specialized
TXT-Bio-300-1,Advanced General Biology I,Springer,136.73,909,2,2023,978-582-843-7,Specialized
TXT-Bio-200-1,Introduction to Microbiology,McGraw-Hill,155.35,750,2,2021,978-252-404-0,General
TXT-Bio-300-1,Advanced Conservation Biology Applications,Springer,123.06,1053,1,2017,978-390-167-3,Specialized
TXT-Bio-200-1,Introduction to Molecular Genetics,Pearson,108.31,973,2,2022,978-817-840-2,General
TXT-Bio-300-1,Advanced Tropical Biology Analysis,Oxford University Press,93.54,859,2,2018,978-414-099-9,Specialized
TXT-Bio-300-2,Tropical Biology Analysis: Theory and Practice,Elsevier,131.92,1129,3,2022,978-231-540-2,Specialized
TXT-Bio-200-1,Introduction to Neurobiology,Wiley,90.73,970,4,2023,978-885-993-0,General
TXT-Bio-200-2,Neurobiology: Principles and Applications,Pearson,162.04,1103,4,2019,978-732-730-6,General
TXT-Bio-200-3,Neurobiology: Problem Solving,Wiley,173.64,899,4,2018,978-950-609-3,General
TXT-Bio-100-1,Introduction to Principles of General Biology,McGraw-Hill,157.11,907,2,2023,978-520-488-9,General
TXT-Bio-300-1,Advanced Stem Cell Biology Methods,Springer,131.8,699,5,2020,978-811-298-1,Specialized
TXT-Bio-100-1,Introduction to Fundamentals of Cancer Biology,Wiley,88.49,1173,2,2022,978-365-946-5,General
TXT-Bio-100-2,Fundamentals of Cancer Biology: A Comprehensive Guide,Cengage,115.47,954,2,2022,978-266-117-7,General
TXT-Bio-100-3,Fundamentals of Cancer Biology: Theory and Practice,Pearson,172.54,866,2,2021,978-169-816-6,General
TXT-Bio-400-1,Advanced Advanced Computational Biology,Springer,135.99,789,5,2023,978-468-662-2,Specialized
TXT-Bio-200-1,Introduction to Ecology,Cengage,179.68,1140,5,2022,978-870-864-4,General
TXT-Bio-300-1,Advanced Population Genetics Theory,Elsevier,137.92,513,3,2018,978-001-939-0,Specialized
TXT-Bio-400-1,Advanced Special Topics in Conservation Biology,Oxford University Press,97.61,778,3,2016,978-719-273-8,Specialized
TXT-Bio-400-2,Special Topics in Conservation Biology: Case Studies,Oxford University Press,70.04,983,4,2020,978-200-202-1,Specialized
TXT-Bio-400-3,Special Topics in Conservation Biology: Problem Solving,Springer,150.71,898,3,2022,978-638-103-8,Specialized
TXT-Bio-300-1,Advanced Neurobiology Methods,Elsevier,118.5,391,3,2021,978-052-833-7,Specialized
TXT-Bio-300-1,Advanced Parasitology Analysis,Elsevier,107.03,647,4,2020,978-351-117-4,Specialized
TXT-Bio-300-2,Parasitology Analysis: Theory and Practice,Elsevier,71.07,1003,2,2021,978-968-258-8,Specialized
TXT-Bio-300-1,Advanced Tropical Biology Applications,Springer,165.84,618,2,2017,978-276-427-8,Specialized
TXT-Bio-100-1,Introduction to Introduction to Ecology,Pearson,114.47,1098,2,2022,978-472-242-1,General
TXT-Bio-200-1,Introduction to Computational Biology,Cengage,190.29,830,4,2021,978-397-811-9,General
TXT-Bio-300-1,Advanced Metabolomics Methods,Springer,78.17,896,5,2021,978-901-153-1,Specialized
