:START_ID(Course),:END_ID(Course),:TYPE,similarity:float
CSLL 300,CSMM 100-8,SIMILAR_CONTENT,0.38
CSLL 300,CSHH 300,SIMILAR_CONTENT,0.55
CSLL 300,CSYY 300,SIMILAR_CONTENT,0.55
CSLL 300,CSAA 100,SIMILAR_CONTENT,0.39
CSLL 300,CSSS 300,SIMILAR_CONTENT,0.54
CSLL 300,CSNN 300,SIMILAR_CONTENT,0.52
CSLL 300,CSPP 300,SIMILAR_CONTENT,0.65
CSLL 300,BIII 300,SIMILAR_CONTENT,0.34
CSLL 300,BPPP 300,SIMILAR_CONTENT,0.3
CSLL 300,BLLL 300-3,SIMILAR_CONTENT,0.43
CSLL 300,BEEE 300,SIMILAR_CONTENT,0.4
CSLL 300,BIII 300-7,SIMILAR_CONTENT,0.47
CSLL 300,CSRR 300,SIMILAR_CONTENT,0.69
CSYY 200,CSUU 100,SIMILAR_CONTENT,0.55
CSYY 200,CSYY 300,SIMILAR_CONTENT,0.57
CSYY 200,CSRR 300,SIMILAR_CONTENT,0.37
CSYY 200,CSYY 400,SIMILAR_CONTENT,0.11
CSYY 200,CSCC 200,SIMILAR_CONTENT,0.54
CSYY 200,CSLL 300,SIMILAR_CONTENT,0.34
CSYY 200,CSMM 100,SIMILAR_CONTENT,0.45
CSYY 200,CSMM 100-1,SIMILAR_CONTENT,0.44
CSYY 200,CSOO 200,SIMILAR_CONTENT,0.55
CSYY 200,CSTT 300-2,SIMILAR_CONTENT,0.41
CSYY 200,CSPP 200-1,SIMILAR_CONTENT,0.56
CSYY 200,CSII 400,SIMILAR_CONTENT,0.42
CSYY 200,CSII 100,SIMILAR_CONTENT,0.42
CSYY 200,CSRR 400,SIMILAR_CONTENT,0.45
CSYY 200,CSHH 100,SIMILAR_CONTENT,0.4
CSYY 200,CSWW 400,SIMILAR_CONTENT,0.33
CSYY 200,CSPP 200,SIMILAR_CONTENT,0.55
CSYY 200,BTTT 200,SIMILAR_CONTENT,0.45
CSYY 200,BBBB 200,SIMILAR_CONTENT,0.4
CSYY 200,BJJJ 200,SIMILAR_CONTENT,0.47
CSYY 200,BJJJ 200-2,SIMILAR_CONTENT,0.34
CSMM 100,CSOO 200,SIMILAR_CONTENT,0.26
CSMM 100,CSKK 100,SIMILAR_CONTENT,0.47
CSMM 100,CSQQ 200,SIMILAR_CONTENT,0.48
CSMM 100,CSYY 300,SIMILAR_CONTENT,0.33
CSMM 100,CSLL 100-1,SIMILAR_CONTENT,0.49
CSMM 100,CSII 400,SIMILAR_CONTENT,0.4
CSMM 100,CSHH 100,SIMILAR_CONTENT,0.44
CSMM 100,CSWW 400,SIMILAR_CONTENT,0.4
CSMM 100,CSUU 100,SIMILAR_CONTENT,0.43
CSMM 100,CSLL 100,SIMILAR_CONTENT,0.54
CSMM 100,CSAA 100,SIMILAR_CONTENT,0.47
CSMM 100,CSRR 100,SIMILAR_CONTENT,0.5
CSMM 100,BIII 100,SIMILAR_CONTENT,0.32
CSDD 100,CSLL 100,SIMILAR_CONTENT,0.2
CSDD 100,CSII 200-7,SIMILAR_CONTENT,0.48
CSDD 100,CSJJ 100,SIMILAR_CONTENT,0.32
CSDD 100,CSII 400,SIMILAR_CONTENT,0.2
CSDD 100,CSRR 400,SIMILAR_CONTENT,0.33
CSDD 100,CSII 200,SIMILAR_CONTENT,0.36
CSDD 100,CSDD 200,SIMILAR_CONTENT,0.41
CSDD 100,CSPP 100,SIMILAR_CONTENT,0.52
CSDD 100,CSEE 200,SIMILAR_CONTENT,0.3
CSDD 100,CSLL 400,SIMILAR_CONTENT,0.34
CSDD 100,CSTT 300,SIMILAR_CONTENT,0.32
CSDD 100,CSOO 200,SIMILAR_CONTENT,0.31
CSDD 100,CSRR 300,SIMILAR_CONTENT,0.42
CSDD 100,CSCC 200,SIMILAR_CONTENT,0.43
CSDD 100,CSWW 400,SIMILAR_CONTENT,0.45
CSDD 100,CSMM 100-8,SIMILAR_CONTENT,0.46
CSDD 100,CSLL 100-1,SIMILAR_CONTENT,0.51
CSDD 100,BAAA 100,SIMILAR_CONTENT,0.59
CSDD 100,BLLL 100,SIMILAR_CONTENT,0.45
CSDD 100,CSAA 100,SIMILAR_CONTENT,0.78
CSLL 100,CSMM 100,SIMILAR_CONTENT,0.58
CSLL 100,CSDD 100,SIMILAR_CONTENT,0.75
CSLL 100,CSPP 100,SIMILAR_CONTENT,0.57
CSLL 100,CSTT 300-2,SIMILAR_CONTENT,0.2
CSLL 100,CSII 400,SIMILAR_CONTENT,0.23
CSLL 100,CSFF 300,SIMILAR_CONTENT,0.49
CSLL 100,CSYY 400-7,SIMILAR_CONTENT,0.67
CSLL 100,CSSS 300,SIMILAR_CONTENT,0.78
CSLL 100,CSQQ 200,SIMILAR_CONTENT,0.48
CSLL 100,CSJJ 100,SIMILAR_CONTENT,0.46
CSLL 100,CSJJ 200,SIMILAR_CONTENT,0.34
CSLL 100,CSYY 200-9,SIMILAR_CONTENT,0.42
CSLL 100,CSRR 400,SIMILAR_CONTENT,0.34
CSLL 100,CSUU 100,SIMILAR_CONTENT,0.6
CSLL 100,CSMM 100-8,SIMILAR_CONTENT,0.48
CSLL 100,CSMM 100-1,SIMILAR_CONTENT,0.48
CSLL 100,CSLL 100-1,SIMILAR_CONTENT,0.5
CSLL 100,CSII 100,SIMILAR_CONTENT,0.59
CSLL 100,CSHH 100,SIMILAR_CONTENT,0.47
CSLL 100,BJJJ 100,SIMILAR_CONTENT,0.32
CSLL 100,CSCC 300,SIMILAR_CONTENT,0.55
CSPP 100,CSUU 100,SIMILAR_CONTENT,0.17
CSPP 100,CSLL 300,SIMILAR_CONTENT,0.33
CSPP 100,CSMM 100,SIMILAR_CONTENT,0.16
CSPP 100,CSAA 100,SIMILAR_CONTENT,0.56
CSPP 100,CSRR 100,SIMILAR_CONTENT,0.65
CSPP 100,CSRR 300,SIMILAR_CONTENT,0.12
CSPP 100,CSII 200,SIMILAR_CONTENT,0.39
CSPP 100,CSQQ 200,SIMILAR_CONTENT,0.46
CSPP 100,CSJJ 100,SIMILAR_CONTENT,0.51
CSPP 100,CSFF 300,SIMILAR_CONTENT,0.49
CSPP 100,CSSS 300,SIMILAR_CONTENT,0.42
CSPP 100,CSLL 100,SIMILAR_CONTENT,0.41
CSPP 100,BKKK 100,SIMILAR_CONTENT,0.49
CSPP 100,CSKK 100,SIMILAR_CONTENT,0.74
CSKK 300,CSRR 400,SIMILAR_CONTENT,0.57
CSKK 300,CSUU 100,SIMILAR_CONTENT,0.46
CSKK 300,CSDD 100,SIMILAR_CONTENT,0.45
CSKK 300,CSQQ 200,SIMILAR_CONTENT,0.4
CSKK 300,CSMM 300,SIMILAR_CONTENT,0.41
CSKK 300,CSLL 400,SIMILAR_CONTENT,0.44
CSKK 300,CSNN 100,SIMILAR_CONTENT,0.41
CSKK 300,CSNN 300,SIMILAR_CONTENT,0.56
CSKK 300,CSAA 100,SIMILAR_CONTENT,0.34
CSKK 300,CSPP 300,SIMILAR_CONTENT,0.41
CSKK 300,CSPP 200-1,SIMILAR_CONTENT,0.56
CSKK 300,CSII 400,SIMILAR_CONTENT,0.33
CSKK 300,CSHH 100,SIMILAR_CONTENT,0.34
CSKK 300,CSTT 300,SIMILAR_CONTENT,0.45
CSKK 300,CSTT 300-2,SIMILAR_CONTENT,0.59
CSKK 300,CSRR 300,SIMILAR_CONTENT,0.51
CSKK 300,BZZZ 300,SIMILAR_CONTENT,0.37
CSKK 300,BPPP 300,SIMILAR_CONTENT,0.34
CSKK 300,BSSS 300,SIMILAR_CONTENT,0.46
CSPP 200,CSII 200,SIMILAR_CONTENT,0.28
CSPP 200,CSLL 100,SIMILAR_CONTENT,0.46
CSPP 200,CSII 200-7,SIMILAR_CONTENT,0.59
CSPP 200,CSAA 100,SIMILAR_CONTENT,0.21
CSPP 200,CSYY 400,SIMILAR_CONTENT,0.14
CSPP 200,CSYY 200-9,SIMILAR_CONTENT,0.45
CSPP 200,CSPP 200-1,SIMILAR_CONTENT,0.38
CSPP 200,CSQQ 200,SIMILAR_CONTENT,0.46
CSPP 200,CSMM 300,SIMILAR_CONTENT,0.42
CSPP 200,CSJJ 200,SIMILAR_CONTENT,0.49
CSPP 200,CSTT 300,SIMILAR_CONTENT,0.5
CSPP 200,CSYY 300,SIMILAR_CONTENT,0.31
CSPP 200,CSPP 300,SIMILAR_CONTENT,0.49
CSPP 200,CSFF 300,SIMILAR_CONTENT,0.47
CSPP 200,CSCC 200,SIMILAR_CONTENT,0.49
CSPP 200,CSEE 200,SIMILAR_CONTENT,0.59
CSPP 200,BVVV 200,SIMILAR_CONTENT,0.48
CSPP 200,BJJJ 200,SIMILAR_CONTENT,0.4
CSII 200-7,CSJJ 200,SIMILAR_CONTENT,0.33
CSII 200-7,CSUU 100-3,SIMILAR_CONTENT,0.47
CSII 200-7,CSMM 100-1,SIMILAR_CONTENT,0.4
CSII 200-7,CSII 400,SIMILAR_CONTENT,0.53
CSII 200-7,CSPP 100,SIMILAR_CONTENT,0.49
CSII 200-7,CSMM 300,SIMILAR_CONTENT,0.43
CSII 200-7,CSMM 100-8,SIMILAR_CONTENT,0.34
CSII 200-7,CSHH 300,SIMILAR_CONTENT,0.33
CSII 200-7,CSFF 200,SIMILAR_CONTENT,0.52
CSII 200-7,CSRR 100,SIMILAR_CONTENT,0.43
CSII 200-7,CSRR 300,SIMILAR_CONTENT,0.35
CSII 200-7,CSYY 400,SIMILAR_CONTENT,0.33
CSII 200-7,CSII 200,SIMILAR_CONTENT,0.51
CSII 200-7,CSQQ 200,SIMILAR_CONTENT,0.53
CSII 200-7,CSCC 200,SIMILAR_CONTENT,0.51
CSII 200-7,BVVV 200,SIMILAR_CONTENT,0.36
CSII 200-7,BZZZ 200,SIMILAR_CONTENT,0.5
CSQQ 200,CSII 200,SIMILAR_CONTENT,0.36
CSQQ 200,CSHH 300,SIMILAR_CONTENT,0.33
CSQQ 200,CSOO 200,SIMILAR_CONTENT,0.47
CSQQ 200,CSII 400,SIMILAR_CONTENT,0.39
CSQQ 200,CSFF 300,SIMILAR_CONTENT,0.3
CSQQ 200,CSYY 400-7,SIMILAR_CONTENT,0.26
CSQQ 200,CSOO 300,SIMILAR_CONTENT,0.41
CSQQ 200,CSJJ 200,SIMILAR_CONTENT,0.54
CSQQ 200,CSMM 100-1,SIMILAR_CONTENT,0.35
CSQQ 200,CSCC 200,SIMILAR_CONTENT,0.53
CSQQ 200,CSII 200-7,SIMILAR_CONTENT,0.5
CSQQ 200,CSYY 200-9,SIMILAR_CONTENT,0.49
CSQQ 200,BOOO 200,SIMILAR_CONTENT,0.32
CSQQ 200,BCCC 200,SIMILAR_CONTENT,0.38
CSQQ 200,BTTT 200,SIMILAR_CONTENT,0.3
CSQQ 200,BBBB 200,SIMILAR_CONTENT,0.37
CSJJ 100,CSII 200,SIMILAR_CONTENT,0.54
CSJJ 100,CSMM 300,SIMILAR_CONTENT,0.75
CSJJ 100,CSTT 300,SIMILAR_CONTENT,0.56
CSJJ 100,CSHH 300,SIMILAR_CONTENT,0.63
CSJJ 100,CSLL 100-1,SIMILAR_CONTENT,0.41
CSJJ 100,CSTT 300-2,SIMILAR_CONTENT,0.48
CSJJ 100,CSCC 300,SIMILAR_CONTENT,0.36
CSJJ 100,CSQQ 200,SIMILAR_CONTENT,0.37
CSJJ 100,CSNN 100,SIMILAR_CONTENT,0.42
CSJJ 100,CSUU 100-3,SIMILAR_CONTENT,0.54
CSJJ 100,CSMM 100-1,SIMILAR_CONTENT,0.55
CSJJ 100,CSRR 300,SIMILAR_CONTENT,0.42
CSJJ 100,CSYY 400,SIMILAR_CONTENT,0.44
CSJJ 100,CSAA 300,SIMILAR_CONTENT,0.3
CSJJ 100,CSHH 100,SIMILAR_CONTENT,0.46
CSJJ 100,CSMM 100,SIMILAR_CONTENT,0.42
CSJJ 100,CSDD 100,SIMILAR_CONTENT,0.44
CSJJ 100,CSRR 100,SIMILAR_CONTENT,0.44
CSJJ 100,BUUU 100,SIMILAR_CONTENT,0.45
CSJJ 100,BAAA 100,SIMILAR_CONTENT,0.36
CSEE 200,CSKK 300,SIMILAR_CONTENT,0.44
CSEE 200,CSMM 100-8,SIMILAR_CONTENT,0.47
CSEE 200,CSRR 100,SIMILAR_CONTENT,0.51
CSEE 200,CSCC 300,SIMILAR_CONTENT,0.34
CSEE 200,CSLL 100,SIMILAR_CONTENT,0.34
CSEE 200,CSPP 200,SIMILAR_CONTENT,0.45
CSEE 200,CSQQ 200,SIMILAR_CONTENT,0.46
CSEE 200,CSHH 300,SIMILAR_CONTENT,0.41
CSEE 200,CSOO 200,SIMILAR_CONTENT,0.53
CSEE 200,CSFF 200,SIMILAR_CONTENT,0.57
CSEE 200,CSPP 300,SIMILAR_CONTENT,0.54
CSEE 200,CSTT 300-2,SIMILAR_CONTENT,0.4
CSEE 200,CSWW 400,SIMILAR_CONTENT,0.36
CSEE 200,CSII 200-7,SIMILAR_CONTENT,0.51
CSEE 200,CSCC 200,SIMILAR_CONTENT,0.5
CSEE 200,BWWW 200,SIMILAR_CONTENT,0.48
CSEE 200,BZZZ 200,SIMILAR_CONTENT,0.48
CSEE 200,BCCC 200-8,SIMILAR_CONTENT,0.4
CSEE 200,BJJJ 200,SIMILAR_CONTENT,0.5
CSOO 300,CSMM 300,SIMILAR_CONTENT,0.73
CSOO 300,CSPP 300,SIMILAR_CONTENT,0.4
CSOO 300,CSTT 300-2,SIMILAR_CONTENT,0.41
CSOO 300,CSCC 200,SIMILAR_CONTENT,0.14
CSOO 300,CSKK 100,SIMILAR_CONTENT,0.26
CSOO 300,CSDD 200,SIMILAR_CONTENT,0.46
CSOO 300,CSQQ 200,SIMILAR_CONTENT,0.44
CSOO 300,CSJJ 100,SIMILAR_CONTENT,0.39
CSOO 300,CSMM 100-8,SIMILAR_CONTENT,0.45
CSOO 300,CSAA 100,SIMILAR_CONTENT,0.34
CSOO 300,CSRR 100,SIMILAR_CONTENT,0.4
CSOO 300,CSYY 400,SIMILAR_CONTENT,0.49
CSOO 300,CSII 400,SIMILAR_CONTENT,0.34
CSOO 300,CSSS 300,SIMILAR_CONTENT,0.5
CSOO 300,CSWW 400,SIMILAR_CONTENT,0.35
CSOO 300,CSLL 300,SIMILAR_CONTENT,0.49
CSOO 300,CSFF 300,SIMILAR_CONTENT,0.58
CSOO 300,CSAA 300,SIMILAR_CONTENT,0.56
CSOO 300,BFFF 300,SIMILAR_CONTENT,0.49
CSMM 300,CSUU 100,SIMILAR_CONTENT,0.75
CSMM 300,CSDD 200,SIMILAR_CONTENT,0.35
CSMM 300,CSOO 300,SIMILAR_CONTENT,0.41
CSMM 300,CSNN 100,SIMILAR_CONTENT,0.5
CSMM 300,CSYY 400-7,SIMILAR_CONTENT,0.16
CSMM 300,CSCC 300,SIMILAR_CONTENT,0.49
CSMM 300,CSPP 200,SIMILAR_CONTENT,0.35
CSMM 300,CSII 200-7,SIMILAR_CONTENT,0.33
CSMM 300,CSEE 200,SIMILAR_CONTENT,0.43
CSMM 300,CSOO 200,SIMILAR_CONTENT,0.36
CSMM 300,CSLL 100-1,SIMILAR_CONTENT,0.34
CSMM 300,CSTT 300-2,SIMILAR_CONTENT,0.45
CSMM 300,CSHH 100,SIMILAR_CONTENT,0.34
CSMM 300,CSWW 400,SIMILAR_CONTENT,0.36
CSMM 300,CSLL 300,SIMILAR_CONTENT,0.48
CSMM 300,CSTT 300,SIMILAR_CONTENT,0.6
CSMM 300,CSYY 300,SIMILAR_CONTENT,0.55
CSMM 300,CSPP 300,SIMILAR_CONTENT,0.57
CSMM 300,CSFF 300,SIMILAR_CONTENT,0.51
CSMM 300,CSSS 300,SIMILAR_CONTENT,0.5
CSMM 300,BDDD 300,SIMILAR_CONTENT,0.37
CSMM 300,BRRR 300,SIMILAR_CONTENT,0.42
CSMM 300,BVVV 300-8,SIMILAR_CONTENT,0.43
CSMM 300,BLLL 300-3,SIMILAR_CONTENT,0.37
CSMM 300,BEEE 300,SIMILAR_CONTENT,0.49
CSLL 400,CSUU 100,SIMILAR_CONTENT,0.25
CSLL 400,CSYY 200,SIMILAR_CONTENT,0.64
CSLL 400,CSYY 200-9,SIMILAR_CONTENT,0.3
CSLL 400,CSII 100,SIMILAR_CONTENT,0.42
CSLL 400,CSMM 100,SIMILAR_CONTENT,0.49
CSLL 400,CSPP 100,SIMILAR_CONTENT,0.38
CSLL 400,CSQQ 200,SIMILAR_CONTENT,0.31
CSLL 400,CSJJ 100,SIMILAR_CONTENT,0.32
CSLL 400,CSJJ 200,SIMILAR_CONTENT,0.36
CSLL 400,CSMM 100-1,SIMILAR_CONTENT,0.37
CSLL 400,CSYY 400,SIMILAR_CONTENT,0.42
CSLL 400,CSRR 400,SIMILAR_CONTENT,0.44
CSLL 400,BYYY 400-5,SIMILAR_CONTENT,0.4
CSNN 100,CSDD 200,SIMILAR_CONTENT,0.76
CSNN 100,CSDD 100,SIMILAR_CONTENT,0.59
CSNN 100,CSMM 300,SIMILAR_CONTENT,0.5
CSNN 100,CSOO 200,SIMILAR_CONTENT,0.53
CSNN 100,CSCC 200,SIMILAR_CONTENT,0.65
CSNN 100,CSUU 100,SIMILAR_CONTENT,0.46
CSNN 100,CSLL 300,SIMILAR_CONTENT,0.37
CSNN 100,CSMM 100,SIMILAR_CONTENT,0.58
CSNN 100,CSPP 200,SIMILAR_CONTENT,0.48
CSNN 100,CSNN 300,SIMILAR_CONTENT,0.34
CSNN 100,CSFF 200,SIMILAR_CONTENT,0.48
CSNN 100,CSII 400,SIMILAR_CONTENT,0.3
CSNN 100,CSRR 400,SIMILAR_CONTENT,0.43
CSNN 100,CSUU 100-3,SIMILAR_CONTENT,0.48
CSNN 100,BAAA 100,SIMILAR_CONTENT,0.37
CSNN 100,BXXX 100,SIMILAR_CONTENT,0.42
CSJJ 200,CSYY 200,SIMILAR_CONTENT,0.1
CSJJ 200,CSLL 100,SIMILAR_CONTENT,0.25
CSJJ 200,CSLL 100-1,SIMILAR_CONTENT,0.58
CSJJ 200,CSCC 300,SIMILAR_CONTENT,0.47
CSJJ 200,CSLL 300,SIMILAR_CONTENT,0.49
CSJJ 200,CSKK 300,SIMILAR_CONTENT,0.34
CSJJ 200,CSMM 300,SIMILAR_CONTENT,0.45
CSJJ 200,CSTT 300,SIMILAR_CONTENT,0.45
CSJJ 200,CSOO 200,SIMILAR_CONTENT,0.44
CSJJ 200,CSAA 100,SIMILAR_CONTENT,0.44
CSJJ 200,CSPP 300,SIMILAR_CONTENT,0.35
CSJJ 200,CSII 400,SIMILAR_CONTENT,0.37
CSJJ 200,CSAA 300,SIMILAR_CONTENT,0.47
CSJJ 200,CSCC 200,SIMILAR_CONTENT,0.55
CSTT 300,CSLL 400,SIMILAR_CONTENT,0.44
CSTT 300,CSUU 100-3,SIMILAR_CONTENT,0.32
CSTT 300,CSAA 100,SIMILAR_CONTENT,0.16
CSTT 300,CSTT 300-2,SIMILAR_CONTENT,0.25
CSTT 300,CSSS 300,SIMILAR_CONTENT,0.44
CSTT 300,CSLL 300,SIMILAR_CONTENT,0.43
CSTT 300,CSQQ 200,SIMILAR_CONTENT,0.49
CSTT 300,CSMM 100-8,SIMILAR_CONTENT,0.38
CSTT 300,CSYY 300,SIMILAR_CONTENT,0.52
CSTT 300,CSOO 200,SIMILAR_CONTENT,0.44
CSTT 300,CSNN 300,SIMILAR_CONTENT,0.59
CSTT 300,CSII 100,SIMILAR_CONTENT,0.32
CSTT 300,CSRR 400,SIMILAR_CONTENT,0.42
CSTT 300,CSAA 300,SIMILAR_CONTENT,0.56
CSTT 300,CSMM 300,SIMILAR_CONTENT,0.48
CSTT 300,CSPP 300,SIMILAR_CONTENT,0.43
CSTT 300,CSRR 300,SIMILAR_CONTENT,0.52
CSTT 300,CSFF 300,SIMILAR_CONTENT,0.51
CSTT 300,BZZZ 300-9,SIMILAR_CONTENT,0.5
CSTT 300,BLLL 300,SIMILAR_CONTENT,0.35
CSTT 300,BVVV 300-8,SIMILAR_CONTENT,0.37
CSTT 300,BIII 300-7,SIMILAR_CONTENT,0.47
CSMM 100-8,CSCC 300,SIMILAR_CONTENT,0.46
CSMM 100-8,CSLL 100,SIMILAR_CONTENT,0.73
CSMM 100-8,CSQQ 200,SIMILAR_CONTENT,0.23
CSMM 100-8,CSOO 300,SIMILAR_CONTENT,0.62
CSMM 100-8,CSFF 300,SIMILAR_CONTENT,0.45
CSMM 100-8,CSMM 100,SIMILAR_CONTENT,0.4
CSMM 100-8,CSJJ 100,SIMILAR_CONTENT,0.41
CSMM 100-8,CSEE 200,SIMILAR_CONTENT,0.39
CSMM 100-8,CSNN 100,SIMILAR_CONTENT,0.44
CSMM 100-8,CSMM 100-1,SIMILAR_CONTENT,0.44
CSMM 100-8,CSAA 100,SIMILAR_CONTENT,0.41
CSMM 100-8,CSYY 400,SIMILAR_CONTENT,0.49
CSMM 100-8,CSYY 200-9,SIMILAR_CONTENT,0.46
CSMM 100-8,CSII 100,SIMILAR_CONTENT,0.46
CSMM 100-8,CSKK 100,SIMILAR_CONTENT,0.48
CSMM 100-8,BAAA 100,SIMILAR_CONTENT,0.48
CSHH 300,CSII 200,SIMILAR_CONTENT,0.64
CSHH 300,CSLL 300,SIMILAR_CONTENT,0.46
CSHH 300,CSPP 100,SIMILAR_CONTENT,0.16
CSHH 300,CSNN 100,SIMILAR_CONTENT,0.42
CSHH 300,CSMM 100-8,SIMILAR_CONTENT,0.37
CSHH 300,CSPP 300,SIMILAR_CONTENT,0.22
CSHH 300,CSPP 200-1,SIMILAR_CONTENT,0.63
CSHH 300,CSII 100,SIMILAR_CONTENT,0.55
CSHH 300,CSDD 200,SIMILAR_CONTENT,0.36
CSHH 300,CSCC 300,SIMILAR_CONTENT,0.56
CSHH 300,CSYY 200,SIMILAR_CONTENT,0.42
CSHH 300,CSQQ 200,SIMILAR_CONTENT,0.38
CSHH 300,CSLL 400,SIMILAR_CONTENT,0.5
CSHH 300,CSTT 300-2,SIMILAR_CONTENT,0.58
CSHH 300,CSFF 300,SIMILAR_CONTENT,0.68
CSHH 300,CSAA 300,SIMILAR_CONTENT,0.58
