:START_ID(Course),:END_ID(Term),:TYPE
CSLL 300,Fall2024,OFFERED_IN
CSLL 300,Spring2021,OFFERED_IN
CSLL 300,Spring2022,OFFERED_IN
CSLL 300,Spring2023,OFFERED_IN
CSLL 300,Spring2024,OFFERED_IN
CSLL 300,Summer2021,OFFERED_IN
CSLL 300,Summer2022,OFFERED_IN
CSLL 300,Summer2023,OFFERED_IN
CSLL 300,Summer2024,OFFERED_IN
CSYY 200,Fall2021,OFFERED_IN
CSYY 200,Fall2022,OFFERED_IN
CSYY 200,Fall2023,OFFERED_IN
CSYY 200,Fall2024,OFFERED_IN
CSYY 200,Spring2021,OFFERED_IN
CSYY 200,Spring2022,OFFERED_IN
CSYY 200,Spring2023,OFFERED_IN
CSYY 200,Spring2024,OFFERED_IN
CSYY 200,Summer2021,OFFERED_IN
CSYY 200,Summer2022,OFFERED_IN
CSYY 200,Summer2023,OFFERED_IN
CSYY 200,Summer2024,OFFERED_IN
CSMM 100,Fall2021,OFFERED_IN
CSMM 100,Fall2022,OFFERED_IN
CSMM 100,Fall2023,OFFERED_IN
CSMM 100,Fall2024,OFFERED_IN
CSMM 100,Spring2021,OFFERED_IN
CSMM 100,Spring2022,OFFERED_IN
CSMM 100,Spring2023,OFFERED_IN
CSMM 100,Spring2024,OFFERED_IN
CSDD 100,Fall2021,OFFERED_IN
CSDD 100,Fall2022,OFFERED_IN
CSDD 100,Fall2023,OFFERED_IN
CSDD 100,Fall2024,OFFERED_IN
CSDD 100,Spring2021,OFFERED_IN
CSDD 100,Spring2022,OFFERED_IN
CSDD 100,Spring2023,OFFERED_IN
CSDD 100,Spring2024,OFFERED_IN
CSLL 100,Fall2021,OFFERED_IN
CSLL 100,Fall2022,OFFERED_IN
CSLL 100,Fall2023,OFFERED_IN
CSLL 100,Fall2024,OFFERED_IN
CSLL 100,Spring2021,OFFERED_IN
CSLL 100,Spring2022,OFFERED_IN
CSLL 100,Spring2023,OFFERED_IN
CSLL 100,Spring2024,OFFERED_IN
CSLL 100,Summer2021,OFFERED_IN
CSLL 100,Summer2022,OFFERED_IN
CSLL 100,Summer2023,OFFERED_IN
CSLL 100,Summer2024,OFFERED_IN
CSPP 100,Fall2021,OFFERED_IN
CSPP 100,Fall2022,OFFERED_IN
CSPP 100,Fall2023,OFFERED_IN
CSPP 100,Fall2024,OFFERED_IN
CSPP 100,Spring2021,OFFERED_IN
CSPP 100,Spring2022,OFFERED_IN
CSPP 100,Spring2023,OFFERED_IN
CSPP 100,Spring2024,OFFERED_IN
CSPP 100,Summer2021,OFFERED_IN
CSPP 100,Summer2022,OFFERED_IN
CSPP 100,Summer2023,OFFERED_IN
CSPP 100,Summer2024,OFFERED_IN
CSKK 300,Fall2021,OFFERED_IN
CSKK 300,Fall2022,OFFERED_IN
CSKK 300,Fall2023,OFFERED_IN
CSKK 300,Fall2024,OFFERED_IN
CSKK 300,Spring2021,OFFERED_IN
CSKK 300,Spring2022,OFFERED_IN
CSKK 300,Spring2023,OFFERED_IN
CSKK 300,Spring2024,OFFERED_IN
CSKK 300,Summer2021,OFFERED_IN
CSKK 300,Summer2022,OFFERED_IN
CSKK 300,Summer2023,OFFERED_IN
CSKK 300,Summer2024,OFFERED_IN
CSPP 200,Fall2021,OFFERED_IN
CSPP 200,Fall2022,OFFERED_IN
CSPP 200,Fall2023,OFFERED_IN
CSPP 200,Fall2024,OFFERED_IN
CSPP 200,Spring2021,OFFERED_IN
CSPP 200,Spring2022,OFFERED_IN
CSPP 200,Spring2023,OFFERED_IN
CSPP 200,Spring2024,OFFERED_IN
CSII 200-7,Fall2021,OFFERED_IN
CSII 200-7,Fall2022,OFFERED_IN
CSII 200-7,Fall2023,OFFERED_IN
CSII 200-7,Fall2024,OFFERED_IN
CSII 200-7,Spring2021,OFFERED_IN
CSII 200-7,Spring2022,OFFERED_IN
CSII 200-7,Spring2023,OFFERED_IN
CSII 200-7,Spring2024,OFFERED_IN
CSQQ 200,Fall2021,OFFERED_IN
CSQQ 200,Fall2022,OFFERED_IN
CSQQ 200,Fall2023,OFFERED_IN
CSQQ 200,Fall2024,OFFERED_IN
CSQQ 200,Spring2021,OFFERED_IN
CSQQ 200,Spring2022,OFFERED_IN
CSQQ 200,Spring2023,OFFERED_IN
CSQQ 200,Spring2024,OFFERED_IN
CSJJ 100,Fall2021,OFFERED_IN
CSJJ 100,Fall2022,OFFERED_IN
CSJJ 100,Fall2023,OFFERED_IN
CSJJ 100,Fall2024,OFFERED_IN
CSJJ 100,Spring2021,OFFERED_IN
CSJJ 100,Spring2022,OFFERED_IN
CSJJ 100,Spring2023,OFFERED_IN
CSJJ 100,Spring2024,OFFERED_IN
CSEE 200,Fall2021,OFFERED_IN
CSEE 200,Fall2022,OFFERED_IN
CSEE 200,Fall2023,OFFERED_IN
CSEE 200,Fall2024,OFFERED_IN
CSEE 200,Spring2021,OFFERED_IN
CSEE 200,Spring2022,OFFERED_IN
CSEE 200,Spring2023,OFFERED_IN
CSEE 200,Spring2024,OFFERED_IN
CSEE 200,Summer2021,OFFERED_IN
CSEE 200,Summer2022,OFFERED_IN
CSEE 200,Summer2023,OFFERED_IN
CSEE 200,Summer2024,OFFERED_IN
CSOO 300,Fall2021,OFFERED_IN
CSOO 300,Fall2022,OFFERED_IN
CSOO 300,Fall2023,OFFERED_IN
CSOO 300,Fall2024,OFFERED_IN
CSOO 300,Spring2021,OFFERED_IN
CSOO 300,Spring2022,OFFERED_IN
CSOO 300,Spring2023,OFFERED_IN
CSOO 300,Spring2024,OFFERED_IN
CSMM 300,Fall2021,OFFERED_IN
CSMM 300,Fall2022,OFFERED_IN
CSMM 300,Fall2023,OFFERED_IN
CSMM 300,Fall2024,OFFERED_IN
CSMM 300,Spring2021,OFFERED_IN
CSMM 300,Spring2022,OFFERED_IN
CSMM 300,Spring2023,OFFERED_IN
CSMM 300,Spring2024,OFFERED_IN
CSLL 400,Fall2021,OFFERED_IN
CSLL 400,Fall2022,OFFERED_IN
CSLL 400,Fall2023,OFFERED_IN
CSLL 400,Fall2024,OFFERED_IN
CSLL 400,Spring2021,OFFERED_IN
CSLL 400,Spring2022,OFFERED_IN
CSLL 400,Spring2023,OFFERED_IN
CSLL 400,Spring2024,OFFERED_IN
CSNN 100,Fall2021,OFFERED_IN
CSNN 100,Fall2022,OFFERED_IN
CSNN 100,Fall2023,OFFERED_IN
CSNN 100,Fall2024,OFFERED_IN
CSNN 100,Spring2021,OFFERED_IN
CSNN 100,Spring2022,OFFERED_IN
CSNN 100,Spring2023,OFFERED_IN
CSNN 100,Spring2024,OFFERED_IN
CSNN 100,Summer2021,OFFERED_IN
CSNN 100,Summer2022,OFFERED_IN
CSNN 100,Summer2023,OFFERED_IN
CSNN 100,Summer2024,OFFERED_IN
CSJJ 200,Fall2021,OFFERED_IN
CSJJ 200,Fall2022,OFFERED_IN
CSJJ 200,Fall2023,OFFERED_IN
CSJJ 200,Fall2024,OFFERED_IN
CSJJ 200,Spring2021,OFFERED_IN
CSJJ 200,Spring2022,OFFERED_IN
CSJJ 200,Spring2023,OFFERED_IN
CSJJ 200,Spring2024,OFFERED_IN
CSTT 300,Fall2021,OFFERED_IN
CSTT 300,Fall2022,OFFERED_IN
CSTT 300,Fall2023,OFFERED_IN
CSTT 300,Fall2024,OFFERED_IN
CSTT 300,Spring2021,OFFERED_IN
CSTT 300,Spring2022,OFFERED_IN
CSTT 300,Spring2023,OFFERED_IN
CSTT 300,Spring2024,OFFERED_IN
CSMM 100-8,Fall2021,OFFERED_IN
CSMM 100-8,Fall2022,OFFERED_IN
CSMM 100-8,Fall2023,OFFERED_IN
CSMM 100-8,Fall2024,OFFERED_IN
CSMM 100-8,Spring2021,OFFERED_IN
CSMM 100-8,Spring2022,OFFERED_IN
CSMM 100-8,Spring2023,OFFERED_IN
CSMM 100-8,Spring2024,OFFERED_IN
CSHH 300,Fall2021,OFFERED_IN
CSHH 300,Fall2022,OFFERED_IN
CSHH 300,Fall2023,OFFERED_IN
CSHH 300,Fall2024,OFFERED_IN
CSHH 300,Spring2021,OFFERED_IN
CSHH 300,Spring2022,OFFERED_IN
CSHH 300,Spring2023,OFFERED_IN
CSHH 300,Spring2024,OFFERED_IN
CSYY 300,Fall2021,OFFERED_IN
CSYY 300,Fall2022,OFFERED_IN
CSYY 300,Fall2023,OFFERED_IN
CSYY 300,Fall2024,OFFERED_IN
CSYY 300,Spring2021,OFFERED_IN
CSYY 300,Spring2022,OFFERED_IN
CSYY 300,Spring2023,OFFERED_IN
CSYY 300,Spring2024,OFFERED_IN
CSYY 300,Summer2021,OFFERED_IN
CSYY 300,Summer2022,OFFERED_IN
CSYY 300,Summer2023,OFFERED_IN
CSYY 300,Summer2024,OFFERED_IN
CSUU 100-3,Fall2021,OFFERED_IN
CSUU 100-3,Fall2022,OFFERED_IN
CSUU 100-3,Fall2023,OFFERED_IN
CSUU 100-3,Fall2024,OFFERED_IN
CSUU 100-3,Spring2021,OFFERED_IN
CSUU 100-3,Spring2022,OFFERED_IN
CSUU 100-3,Spring2023,OFFERED_IN
CSUU 100-3,Spring2024,OFFERED_IN
CSUU 100-3,Summer2021,OFFERED_IN
CSUU 100-3,Summer2022,OFFERED_IN
CSUU 100-3,Summer2023,OFFERED_IN
CSUU 100-3,Summer2024,OFFERED_IN
CSMM 100-1,Fall2021,OFFERED_IN
CSMM 100-1,Fall2022,OFFERED_IN
CSMM 100-1,Fall2023,OFFERED_IN
CSMM 100-1,Fall2024,OFFERED_IN
CSMM 100-1,Spring2021,OFFERED_IN
CSMM 100-1,Spring2022,OFFERED_IN
CSMM 100-1,Spring2023,OFFERED_IN
CSMM 100-1,Spring2024,OFFERED_IN
CSOO 200,Fall2021,OFFERED_IN
CSOO 200,Fall2022,OFFERED_IN
CSOO 200,Fall2023,OFFERED_IN
CSOO 200,Fall2024,OFFERED_IN
CSOO 200,Spring2021,OFFERED_IN
CSOO 200,Spring2022,OFFERED_IN
CSOO 200,Spring2023,OFFERED_IN
CSOO 200,Spring2024,OFFERED_IN
CSNN 300,Fall2021,OFFERED_IN
CSNN 300,Fall2022,OFFERED_IN
CSNN 300,Fall2023,OFFERED_IN
CSNN 300,Fall2024,OFFERED_IN
CSNN 300,Spring2021,OFFERED_IN
CSNN 300,Spring2022,OFFERED_IN
CSNN 300,Spring2023,OFFERED_IN
CSNN 300,Spring2024,OFFERED_IN
CSFF 200,Fall2021,OFFERED_IN
CSFF 200,Fall2022,OFFERED_IN
CSFF 200,Fall2023,OFFERED_IN
CSFF 200,Fall2024,OFFERED_IN
CSFF 200,Spring2021,OFFERED_IN
CSFF 200,Spring2022,OFFERED_IN
CSFF 200,Spring2023,OFFERED_IN
CSFF 200,Spring2024,OFFERED_IN
CSLL 100-1,Fall2021,OFFERED_IN
CSLL 100-1,Fall2022,OFFERED_IN
CSLL 100-1,Fall2023,OFFERED_IN
CSLL 100-1,Fall2024,OFFERED_IN
CSLL 100-1,Spring2021,OFFERED_IN
CSLL 100-1,Spring2022,OFFERED_IN
CSLL 100-1,Spring2023,OFFERED_IN
CSLL 100-1,Spring2024,OFFERED_IN
CSAA 100,Fall2021,OFFERED_IN
CSAA 100,Fall2022,OFFERED_IN
CSAA 100,Fall2023,OFFERED_IN
CSAA 100,Fall2024,OFFERED_IN
CSAA 100,Spring2021,OFFERED_IN
CSAA 100,Spring2022,OFFERED_IN
CSAA 100,Spring2023,OFFERED_IN
CSAA 100,Spring2024,OFFERED_IN
CSPP 300,Fall2021,OFFERED_IN
CSPP 300,Fall2022,OFFERED_IN
CSPP 300,Fall2023,OFFERED_IN
CSPP 300,Fall2024,OFFERED_IN
CSPP 300,Spring2021,OFFERED_IN
CSPP 300,Spring2022,OFFERED_IN
CSPP 300,Spring2023,OFFERED_IN
CSPP 300,Spring2024,OFFERED_IN
CSPP 300,Summer2021,OFFERED_IN
CSPP 300,Summer2022,OFFERED_IN
CSPP 300,Summer2023,OFFERED_IN
CSPP 300,Summer2024,OFFERED_IN
CSRR 100,Fall2021,OFFERED_IN
CSRR 100,Fall2022,OFFERED_IN
CSRR 100,Fall2023,OFFERED_IN
CSRR 100,Fall2024,OFFERED_IN
CSRR 100,Spring2021,OFFERED_IN
CSRR 100,Spring2022,OFFERED_IN
CSRR 100,Spring2023,OFFERED_IN
CSRR 100,Spring2024,OFFERED_IN
CSTT 300-2,Fall2021,OFFERED_IN
CSTT 300-2,Fall2022,OFFERED_IN
CSTT 300-2,Fall2023,OFFERED_IN
CSTT 300-2,Fall2024,OFFERED_IN
CSTT 300-2,Spring2021,OFFERED_IN
CSTT 300-2,Spring2022,OFFERED_IN
CSTT 300-2,Spring2023,OFFERED_IN
CSTT 300-2,Spring2024,OFFERED_IN
CSRR 300,Fall2021,OFFERED_IN
CSRR 300,Fall2022,OFFERED_IN
CSRR 300,Fall2023,OFFERED_IN
CSRR 300,Fall2024,OFFERED_IN
CSRR 300,Spring2021,OFFERED_IN
CSRR 300,Spring2022,OFFERED_IN
CSRR 300,Spring2023,OFFERED_IN
CSRR 300,Spring2024,OFFERED_IN
CSYY 400,Fall2021,OFFERED_IN
CSYY 400,Fall2022,OFFERED_IN
CSYY 400,Fall2023,OFFERED_IN
CSYY 400,Fall2024,OFFERED_IN
CSYY 400,Spring2021,OFFERED_IN
CSYY 400,Spring2022,OFFERED_IN
CSYY 400,Spring2023,OFFERED_IN
CSYY 400,Spring2024,OFFERED_IN
CSYY 200-9,Fall2021,OFFERED_IN
CSYY 200-9,Fall2022,OFFERED_IN
CSYY 200-9,Fall2023,OFFERED_IN
CSYY 200-9,Fall2024,OFFERED_IN
CSYY 200-9,Spring2021,OFFERED_IN
CSYY 200-9,Spring2022,OFFERED_IN
CSYY 200-9,Spring2023,OFFERED_IN
CSYY 200-9,Spring2024,OFFERED_IN
CSPP 200-1,Fall2021,OFFERED_IN
CSPP 200-1,Fall2022,OFFERED_IN
CSPP 200-1,Fall2023,OFFERED_IN
CSPP 200-1,Fall2024,OFFERED_IN
CSPP 200-1,Spring2021,OFFERED_IN
CSPP 200-1,Spring2022,OFFERED_IN
CSPP 200-1,Spring2023,OFFERED_IN
CSPP 200-1,Spring2024,OFFERED_IN
CSII 400,Fall2021,OFFERED_IN
CSII 400,Fall2022,OFFERED_IN
CSII 400,Fall2023,OFFERED_IN
CSII 400,Fall2024,OFFERED_IN
CSII 400,Spring2021,OFFERED_IN
CSII 400,Spring2022,OFFERED_IN
CSII 400,Spring2023,OFFERED_IN
CSII 400,Spring2024,OFFERED_IN
CSFF 300,Fall2021,OFFERED_IN
CSFF 300,Fall2022,OFFERED_IN
CSFF 300,Fall2023,OFFERED_IN
CSFF 300,Fall2024,OFFERED_IN
CSFF 300,Spring2021,OFFERED_IN
CSFF 300,Spring2022,OFFERED_IN
CSFF 300,Spring2023,OFFERED_IN
CSFF 300,Spring2024,OFFERED_IN
CSII 100,Fall2021,OFFERED_IN
CSII 100,Fall2022,OFFERED_IN
CSII 100,Fall2023,OFFERED_IN
CSII 100,Fall2024,OFFERED_IN
CSII 100,Spring2021,OFFERED_IN
CSII 100,Spring2022,OFFERED_IN
CSII 100,Spring2023,OFFERED_IN
CSII 100,Spring2024,OFFERED_IN
CSCC 200,Fall2021,OFFERED_IN
CSCC 200,Fall2022,OFFERED_IN
CSCC 200,Fall2023,OFFERED_IN
CSCC 200,Fall2024,OFFERED_IN
CSCC 200,Spring2021,OFFERED_IN
CSCC 200,Spring2022,OFFERED_IN
CSCC 200,Spring2023,OFFERED_IN
CSCC 200,Spring2024,OFFERED_IN
CSYY 400-7,Fall2021,OFFERED_IN
CSYY 400-7,Fall2022,OFFERED_IN
CSYY 400-7,Fall2023,OFFERED_IN
CSYY 400-7,Fall2024,OFFERED_IN
CSYY 400-7,Spring2021,OFFERED_IN
CSYY 400-7,Spring2022,OFFERED_IN
CSYY 400-7,Spring2023,OFFERED_IN
CSYY 400-7,Spring2024,OFFERED_IN
CSKK 100,Fall2021,OFFERED_IN
CSKK 100,Fall2022,OFFERED_IN
CSKK 100,Fall2023,OFFERED_IN
CSKK 100,Fall2024,OFFERED_IN
CSKK 100,Spring2021,OFFERED_IN
CSKK 100,Spring2022,OFFERED_IN
CSKK 100,Spring2023,OFFERED_IN
CSKK 100,Spring2024,OFFERED_IN
CSRR 400,Fall2021,OFFERED_IN
CSRR 400,Fall2022,OFFERED_IN
CSRR 400,Fall2023,OFFERED_IN
CSRR 400,Fall2024,OFFERED_IN
CSRR 400,Spring2021,OFFERED_IN
CSRR 400,Spring2022,OFFERED_IN
CSRR 400,Spring2023,OFFERED_IN
CSRR 400,Spring2024,OFFERED_IN
CSAA 300,Fall2021,OFFERED_IN
CSAA 300,Fall2022,OFFERED_IN
CSAA 300,Fall2023,OFFERED_IN
CSAA 300,Fall2024,OFFERED_IN
CSAA 300,Spring2021,OFFERED_IN
CSAA 300,Spring2022,OFFERED_IN
CSAA 300,Spring2023,OFFERED_IN
CSAA 300,Spring2024,OFFERED_IN
CSSS 300,Fall2021,OFFERED_IN
CSSS 300,Fall2022,OFFERED_IN
CSSS 300,Fall2023,OFFERED_IN
CSSS 300,Fall2024,OFFERED_IN
CSSS 300,Spring2021,OFFERED_IN
CSSS 300,Spring2022,OFFERED_IN
CSSS 300,Spring2023,OFFERED_IN
CSSS 300,Spring2024,OFFERED_IN
CSHH 100,Fall2021,OFFERED_IN
CSHH 100,Fall2022,OFFERED_IN
CSHH 100,Fall2023,OFFERED_IN
CSHH 100,Fall2024,OFFERED_IN
CSHH 100,Spring2021,OFFERED_IN
CSHH 100,Spring2022,OFFERED_IN
CSHH 100,Spring2023,OFFERED_IN
CSHH 100,Spring2024,OFFERED_IN
CSWW 400,Fall2021,OFFERED_IN
CSWW 400,Fall2022,OFFERED_IN
CSWW 400,Fall2023,OFFERED_IN
CSWW 400,Fall2024,OFFERED_IN
CSWW 400,Spring2021,OFFERED_IN
CSWW 400,Spring2022,OFFERED_IN
CSWW 400,Spring2023,OFFERED_IN
CSWW 400,Spring2024,OFFERED_IN
BYYY 400,Fall2021,OFFERED_IN
BYYY 400,Fall2022,OFFERED_IN
BYYY 400,Fall2023,OFFERED_IN
BYYY 400,Fall2024,OFFERED_IN
BYYY 400,Spring2021,OFFERED_IN
BYYY 400,Spring2022,OFFERED_IN
BYYY 400,Spring2023,OFFERED_IN
BYYY 400,Spring2024,OFFERED_IN
BOOO 200,Fall2021,OFFERED_IN
BOOO 200,Fall2022,OFFERED_IN
BOOO 200,Fall2023,OFFERED_IN
BOOO 200,Fall2024,OFFERED_IN
BOOO 200,Spring2021,OFFERED_IN
BOOO 200,Spring2022,OFFERED_IN
BOOO 200,Spring2023,OFFERED_IN
BOOO 200,Spring2024,OFFERED_IN
BOOO 200,Summer2021,OFFERED_IN
BOOO 200,Summer2022,OFFERED_IN
BOOO 200,Summer2023,OFFERED_IN
BOOO 200,Summer2024,OFFERED_IN
BUUU 100,Fall2021,OFFERED_IN
BUUU 100,Fall2022,OFFERED_IN
BUUU 100,Fall2023,OFFERED_IN
BUUU 100,Fall2024,OFFERED_IN
BUUU 100,Spring2021,OFFERED_IN
BUUU 100,Spring2022,OFFERED_IN
BUUU 100,Spring2023,OFFERED_IN
BUUU 100,Spring2024,OFFERED_IN
BIII 300,Fall2021,OFFERED_IN
BIII 300,Fall2022,OFFERED_IN
BIII 300,Fall2023,OFFERED_IN
BIII 300,Fall2024,OFFERED_IN
BIII 300,Spring2021,OFFERED_IN
BIII 300,Spring2022,OFFERED_IN
BIII 300,Spring2023,OFFERED_IN
BIII 300,Spring2024,OFFERED_IN
BYYY 400-5,Fall2021,OFFERED_IN
BYYY 400-5,Fall2022,OFFERED_IN
BYYY 400-5,Fall2023,OFFERED_IN
BYYY 400-5,Fall2024,OFFERED_IN
BYYY 400-5,Spring2021,OFFERED_IN
BYYY 400-5,Spring2022,OFFERED_IN
BYYY 400-5,Spring2023,OFFERED_IN
BYYY 400-5,Spring2024,OFFERED_IN
BVVV 200,Fall2021,OFFERED_IN
BVVV 200,Fall2022,OFFERED_IN
BVVV 200,Fall2023,OFFERED_IN
BVVV 200,Fall2024,OFFERED_IN
BVVV 200,Spring2021,OFFERED_IN
BVVV 200,Spring2022,OFFERED_IN
BVVV 200,Spring2023,OFFERED_IN
BVVV 200,Spring2024,OFFERED_IN
BQQQ 200,Fall2021,OFFERED_IN
BQQQ 200,Fall2022,OFFERED_IN
BQQQ 200,Fall2023,OFFERED_IN
BQQQ 200,Fall2024,OFFERED_IN
BQQQ 200,Spring2021,OFFERED_IN
BQQQ 200,Spring2022,OFFERED_IN
BQQQ 200,Spring2023,OFFERED_IN
BQQQ 200,Spring2024,OFFERED_IN
BQQQ 400,Fall2021,OFFERED_IN
BQQQ 400,Fall2022,OFFERED_IN
BQQQ 400,Fall2023,OFFERED_IN
BQQQ 400,Fall2024,OFFERED_IN
BQQQ 400,Spring2021,OFFERED_IN
BQQQ 400,Spring2022,OFFERED_IN
BQQQ 400,Spring2023,OFFERED_IN
BQQQ 400,Spring2024,OFFERED_IN
BZZZ 300,Fall2021,OFFERED_IN
BZZZ 300,Fall2022,OFFERED_IN
BZZZ 300,Fall2023,OFFERED_IN
BZZZ 300,Fall2024,OFFERED_IN
BZZZ 300,Spring2021,OFFERED_IN
BZZZ 300,Spring2022,OFFERED_IN
BZZZ 300,Spring2023,OFFERED_IN
BZZZ 300,Spring2024,OFFERED_IN
BVVV 300,Fall2021,OFFERED_IN
BVVV 300,Fall2022,OFFERED_IN
BVVV 300,Fall2023,OFFERED_IN
BVVV 300,Fall2024,OFFERED_IN
BVVV 300,Spring2021,OFFERED_IN
BVVV 300,Spring2022,OFFERED_IN
BVVV 300,Spring2023,OFFERED_IN
BVVV 300,Spring2024,OFFERED_IN
BWWW 200,Fall2021,OFFERED_IN
BWWW 200,Fall2022,OFFERED_IN
BWWW 200,Fall2023,OFFERED_IN
BWWW 200,Fall2024,OFFERED_IN
BWWW 200,Spring2021,OFFERED_IN
BWWW 200,Spring2022,OFFERED_IN
BWWW 200,Spring2023,OFFERED_IN
BWWW 200,Spring2024,OFFERED_IN
BZZZ 300-9,Fall2021,OFFERED_IN
BZZZ 300-9,Fall2022,OFFERED_IN
BZZZ 300-9,Fall2023,OFFERED_IN
BZZZ 300-9,Fall2024,OFFERED_IN
BZZZ 300-9,Spring2021,OFFERED_IN
BZZZ 300-9,Spring2022,OFFERED_IN
BZZZ 300-9,Spring2023,OFFERED_IN
BZZZ 300-9,Spring2024,OFFERED_IN
BQQQ 400-7,Fall2021,OFFERED_IN
BQQQ 400-7,Fall2022,OFFERED_IN
BQQQ 400-7,Fall2023,OFFERED_IN
BQQQ 400-7,Fall2024,OFFERED_IN
BQQQ 400-7,Spring2021,OFFERED_IN
BQQQ 400-7,Spring2022,OFFERED_IN
BQQQ 400-7,Spring2023,OFFERED_IN
BQQQ 400-7,Spring2024,OFFERED_IN
BQQQ 400-7,Summer2021,OFFERED_IN
BQQQ 400-7,Summer2022,OFFERED_IN
BQQQ 400-7,Summer2023,OFFERED_IN
BQQQ 400-7,Summer2024,OFFERED_IN
BNNN 300,Fall2021,OFFERED_IN
BNNN 300,Fall2022,OFFERED_IN
BNNN 300,Fall2023,OFFERED_IN
BNNN 300,Fall2024,OFFERED_IN
BNNN 300,Spring2021,OFFERED_IN
BNNN 300,Spring2022,OFFERED_IN
BNNN 300,Spring2023,OFFERED_IN
BNNN 300,Spring2024,OFFERED_IN
BVVV 200-5,Fall2021,OFFERED_IN
BVVV 200-5,Fall2022,OFFERED_IN
BVVV 200-5,Fall2023,OFFERED_IN
BVVV 200-5,Fall2024,OFFERED_IN
BVVV 200-5,Spring2021,OFFERED_IN
BVVV 200-5,Spring2022,OFFERED_IN
BVVV 200-5,Spring2023,OFFERED_IN
BVVV 200-5,Spring2024,OFFERED_IN
BIII 100,Fall2021,OFFERED_IN
BIII 100,Fall2022,OFFERED_IN
BIII 100,Fall2023,OFFERED_IN
BIII 100,Fall2024,OFFERED_IN
BIII 100,Spring2021,OFFERED_IN
BIII 100,Spring2022,OFFERED_IN
BIII 100,Spring2023,OFFERED_IN
BIII 100,Spring2024,OFFERED_IN
BIII 100,Summer2021,OFFERED_IN
BIII 100,Summer2022,OFFERED_IN
BIII 100,Summer2023,OFFERED_IN
BIII 100,Summer2024,OFFERED_IN
BKKK 100,Fall2021,OFFERED_IN
BKKK 100,Fall2022,OFFERED_IN
BKKK 100,Fall2023,OFFERED_IN
BKKK 100,Fall2024,OFFERED_IN
BKKK 100,Spring2021,OFFERED_IN
BKKK 100,Spring2022,OFFERED_IN
BKKK 100,Spring2023,OFFERED_IN
BKKK 100,Spring2024,OFFERED_IN
BAAA 200,Fall2021,OFFERED_IN
BAAA 200,Fall2022,OFFERED_IN
BAAA 200,Fall2023,OFFERED_IN
BAAA 200,Fall2024,OFFERED_IN
BAAA 200,Spring2021,OFFERED_IN
BAAA 200,Spring2022,OFFERED_IN
BAAA 200,Spring2023,OFFERED_IN
BAAA 200,Spring2024,OFFERED_IN
BJJJ 400,Fall2021,OFFERED_IN
BJJJ 400,Fall2022,OFFERED_IN
BJJJ 400,Fall2023,OFFERED_IN
BJJJ 400,Fall2024,OFFERED_IN
BJJJ 400,Spring2021,OFFERED_IN
BJJJ 400,Spring2022,OFFERED_IN
BJJJ 400,Spring2023,OFFERED_IN
BJJJ 400,Spring2024,OFFERED_IN
BRRR 400,Fall2021,OFFERED_IN
BRRR 400,Fall2022,OFFERED_IN
BRRR 400,Fall2023,OFFERED_IN
BRRR 400,Fall2024,OFFERED_IN
BRRR 400,Spring2021,OFFERED_IN
BRRR 400,Spring2022,OFFERED_IN
BRRR 400,Spring2023,OFFERED_IN
