:START_ID(Course),:END_ID(Textbook),:TYPE,isRequired:boolean,recommendedOrder:int
CSRR 300,TXT-Com-300-1,REQUIRES,True,1
CSRR 300,TXT-Com-300-2,RECOMMENDS,False,2
CSRR 300,TXT-Com-300-3,RECOMMENDS,False,3
CSYY 400,TXT-Com-400-1,REQUIRES,True,1
CSYY 200-9,TXT-Com-200-1,REQUIRES,True,1
CSYY 200-9,TXT-Com-200-2,RECOMMENDS,False,2
CSYY 200-9,TXT-Com-200-3,RECOMMENDS,False,3
CSPP 200-1,TXT-Com-200-1,REQUIRES,True,1
CSPP 200-1,TXT-Com-200-2,RECOMMENDS,False,2
CSPP 200-1,TXT-Com-200-3,RECOMMENDS,False,3
CSII 400,TXT-Com-400-1,REQUIRES,True,1
CSFF 300,TXT-Com-300-1,REQUIRES,True,1
CSFF 300,TXT-Com-300-2,RECOMMENDS,False,2
CSII 100,TXT-Com-100-1,REQUIRES,True,1
CSII 100,TXT-Com-100-2,RECOMMENDS,False,2
CSII 100,TXT-Com-100-3,RECOMMENDS,False,3
CSCC 200,TXT-Com-200-1,REQUIRES,True,1
CSYY 400-7,TXT-Com-400-1,REQUIRES,True,1
CSKK 100,TXT-Com-100-1,REQUIRES,True,1
CSKK 100,TXT-Com-100-2,RECOMMENDS,False,2
CSKK 100,TXT-Com-100-3,RECOMMENDS,False,3
CSRR 400,TXT-Com-400-1,REQUIRES,True,1
CSRR 400,TXT-Com-400-2,RECOMMENDS,False,2
CSRR 400,TXT-Com-400-3,RECOMMENDS,False,3
CSAA 300,TXT-Com-300-1,REQUIRES,True,1
CSAA 300,TXT-Com-300-2,RECOMMENDS,False,2
CSAA 300,TXT-Com-300-3,RECOMMENDS,False,3
CSSS 300,TXT-Com-300-1,REQUIRES,True,1
CSHH 100,TXT-Com-100-1,REQUIRES,True,1
CSHH 100,TXT-Com-100-2,RECOMMENDS,False,2
CSWW 400,TXT-Com-400-1,REQUIRES,True,1
BYYY 400,TXT-Bio-400-1,REQUIRES,True,1
BOOO 200,TXT-Bio-200-1,REQUIRES,True,1
BUUU 100,TXT-Bio-100-1,REQUIRES,True,1
BUUU 100,TXT-Bio-100-2,RECOMMENDS,False,2
BUUU 100,TXT-Bio-100-3,RECOMMENDS,False,3
BIII 300,TXT-Bio-300-1,REQUIRES,True,1
BYYY 400-5,TXT-Bio-400-1,REQUIRES,True,1
BVVV 200,TXT-Bio-200-1,REQUIRES,True,1
BQQQ 200,TXT-Bio-200-1,REQUIRES,True,1
BQQQ 200,TXT-Bio-200-2,RECOMMENDS,False,2
BQQQ 200,TXT-Bio-200-3,RECOMMENDS,False,3
BQQQ 400,TXT-Bio-400-1,REQUIRES,True,1
BZZZ 300,TXT-Bio-300-1,REQUIRES,True,1
BVVV 300,TXT-Bio-300-1,REQUIRES,True,1
BVVV 300,TXT-Bio-300-2,RECOMMENDS,False,2
BVVV 300,TXT-Bio-300-3,RECOMMENDS,False,3
BWWW 200,TXT-Bio-200-1,REQUIRES,True,1
BWWW 200,TXT-Bio-200-2,RECOMMENDS,False,2
BZZZ 300-9,TXT-Bio-300-1,REQUIRES,True,1
BQQQ 400-7,TXT-Bio-400-1,REQUIRES,True,1
BQQQ 400-7,TXT-Bio-400-2,RECOMMENDS,False,2
BQQQ 400-7,TXT-Bio-400-3,RECOMMENDS,False,3
BNNN 300,TXT-Bio-300-1,REQUIRES,True,1
BNNN 300,TXT-Bio-300-2,RECOMMENDS,False,2
BVVV 200-5,TXT-Bio-200-1,REQUIRES,True,1
BVVV 200-5,TXT-Bio-200-2,RECOMMENDS,False,2
BIII 100,TXT-Bio-100-1,REQUIRES,True,1
BIII 100,TXT-Bio-100-2,RECOMMENDS,False,2
BKKK 100,TXT-Bio-100-1,REQUIRES,True,1
BAAA 200,TXT-Bio-200-1,REQUIRES,True,1
BAAA 200,TXT-Bio-200-2,RECOMMENDS,False,2
BJJJ 400,TXT-Bio-400-1,REQUIRES,True,1
BRRR 400,TXT-Bio-400-1,REQUIRES,True,1
BRRR 400,TXT-Bio-400-2,RECOMMENDS,False,2
BKKK 200,TXT-Bio-200-1,REQUIRES,True,1
BDDD 300,TXT-Bio-300-1,REQUIRES,True,1
BAAA 200-8,TXT-Bio-200-1,REQUIRES,True,1
BAAA 200-8,TXT-Bio-200-2,RECOMMENDS,False,2
BMMM 200,TXT-Bio-200-1,REQUIRES,True,1
BGGG 400,TXT-Bio-400-1,REQUIRES,True,1
BXXX 400,TXT-Bio-400-1,REQUIRES,True,1
BXXX 400,TXT-Bio-400-2,RECOMMENDS,False,2
BAAA 100,TXT-Bio-100-1,REQUIRES,True,1
BAAA 100,TXT-Bio-100-2,RECOMMENDS,False,2
BAAA 100,TXT-Bio-100-3,RECOMMENDS,False,3
BCCC 200,TXT-Bio-200-1,REQUIRES,True,1
BCCC 200,TXT-Bio-200-2,RECOMMENDS,False,2
BTTT 200,TXT-Bio-200-1,REQUIRES,True,1
BTTT 200,TXT-Bio-200-2,RECOMMENDS,False,2
BXXX 100,TXT-Bio-100-1,REQUIRES,True,1
BXXX 100,TXT-Bio-100-2,RECOMMENDS,False,2
BRRR 300,TXT-Bio-300-1,REQUIRES,True,1
BRRR 300,TXT-Bio-300-2,RECOMMENDS,False,2
BRRR 300,TXT-Bio-300-3,RECOMMENDS,False,3
BXXX 300,TXT-Bio-300-1,REQUIRES,True,1
BBBB 200,TXT-Bio-200-1,REQUIRES,True,1
BLLL 300,TXT-Bio-300-1,REQUIRES,True,1
BZZZ 200,TXT-Bio-200-1,REQUIRES,True,1
BPPP 300,TXT-Bio-300-1,REQUIRES,True,1
BPPP 300,TXT-Bio-300-2,RECOMMENDS,False,2
BCCC 200-8,TXT-Bio-200-1,REQUIRES,True,1
BCCC 200-8,TXT-Bio-200-2,RECOMMENDS,False,2
BCCC 200-8,TXT-Bio-200-3,RECOMMENDS,False,3
BJJJ 100,TXT-Bio-100-1,REQUIRES,True,1
BVVV 300-8,TXT-Bio-300-1,REQUIRES,True,1
BPPP 100,TXT-Bio-100-1,REQUIRES,True,1
BPPP 100,TXT-Bio-100-2,RECOMMENDS,False,2
BPPP 100,TXT-Bio-100-3,RECOMMENDS,False,3
BQQQ 400-5,TXT-Bio-400-1,REQUIRES,True,1
BJJJ 200,TXT-Bio-200-1,REQUIRES,True,1
BLLL 300-3,TXT-Bio-300-1,REQUIRES,True,1
BXXX 400-1,TXT-Bio-400-1,REQUIRES,True,1
BXXX 400-1,TXT-Bio-400-2,RECOMMENDS,False,2
BXXX 400-1,TXT-Bio-400-3,RECOMMENDS,False,3
BFFF 300,TXT-Bio-300-1,REQUIRES,True,1
BEEE 300,TXT-Bio-300-1,REQUIRES,True,1
BEEE 300,TXT-Bio-300-2,RECOMMENDS,False,2
BIII 300-7,TXT-Bio-300-1,REQUIRES,True,1
BLLL 100,TXT-Bio-100-1,REQUIRES,True,1
BJJJ 200-2,TXT-Bio-200-1,REQUIRES,True,1
BSSS 300,TXT-Bio-300-1,REQUIRES,True,1
