:START_ID(Student),:END_ID(Course),:TYPE,term,grade,difficulty:int,timeSpent:int,instructionMode,enjoyment:boolean
TH40303,BJJJ 100,COMPLETED,Fall2023,F,4,7,In-person,false
TH40303,BPPP 100,COMPLETED,Fall2023,C+,4,4,Online,false
TH40303,BUUU 100,COMPLETED,Spring2024,A,4,4,Hybrid,true
TH40303,BBBB 200,COMPLETED,Spring2024,B+,1,5,Hybrid,true
TH40303,BAAA 200,COMPLETED,Spring2024,C-,3,6,In-person,false
TH40303,BWWW 200,COMPLETED,Spring2024,B,2,6,In-person,true
TH40303,BZZZ 300,COMPLETED,Spring2024,C,2,6,In-person,false
TH40303,BIII 100,COMPLETED,Summer2024,C+,4,4,Online,false
TH40303,CSNN 100,COMPLETED,Summer2024,A-,2,6,Online,true
TH40303,BTTT 200,COMPLETED,Summer2024,B,2,4,Online,true
TH40303,CSPP 100,COMPLETED,Summer2024,B,3,4,In-person,true
RG81143,BUUU 100,COMPLETED,Spring2021,C+,4,5,Hybrid,false
RG81143,CSLL 100,COMPLETED,Summer2021,C,3,4,In-person,false
RG81143,BJJJ 100,COMPLETED,Summer2021,B+,4,5,In-person,true
RG81143,CSUU 100,COMPLETED,Fall2021,B+,3,6,In-person,true
RG81143,BPPP 100,COMPLETED,Fall2021,A-,4,7,In-person,true
RG81143,CSDD 100,COMPLETED,Fall2021,A-,2,6,In-person,true
RG81143,CSRR 100,COMPLETED,Spring2022,B+,4,6,Online,true
RG81143,BOOO 200,COMPLETED,Summer2022,A,2,5,In-person,true
RG81143,BIII 100,COMPLETED,Summer2022,A,4,4,Online,true
RG81143,CSEE 200,COMPLETED,Summer2022,B,2,3,Online,true
RG81143,CSMM 100-8,COMPLETED,Fall2022,B-,3,4,In-person,false
RG81143,BKKK 200,COMPLETED,Fall2022,A-,4,11,Hybrid,true
RG81143,BTTT 200,COMPLETED,Fall2022,C,2,6,Online,false
RG81143,CSAA 100,COMPLETED,Spring2023,B,2,4,In-person,true
RG81143,CSPP 100,COMPLETED,Spring2023,A,3,5,In-person,true
RG81143,CSDD 200,COMPLETED,Spring2023,A,3,6,Online,true
RG81143,CSNN 100,COMPLETED,Summer2023,B+,2,7,Online,true
RG81143,CSKK 300,COMPLETED,Summer2023,F,4,9,Online,false
RG81143,CSJJ 100,COMPLETED,Fall2023,B-,3,6,In-person,false
RG81143,BLLL 300,COMPLETED,Fall2023,C,3,8,Online,false
RG81143,CSCC 300,COMPLETED,Spring2024,A-,2,5,Online,true
RG81143,BAAA 200,COMPLETED,Spring2024,B,3,7,In-person,true
RG81143,BGGG 400,COMPLETED,Summer2024,A,4,10,In-person,true
RG81143,BLLL 100,COMPLETED,Summer2024,A,3,5,Online,true
RG81143,BPPP 300,COMPLETED,Summer2024,A,3,8,Hybrid,true
NG59236,BTTT 200,COMPLETED,Summer2024,C+,2,5,In-person,false
NG59236,BJJJ 100,COMPLETED,Summer2024,C+,4,9,In-person,false
NG59236,CSUU 100-3,COMPLETED,Summer2024,A,4,8,Hybrid,true
PE14938,CSMM 100-1,COMPLETED,Fall2023,B-,3,5,Online,false
PE14938,CSEE 200,COMPLETED,Fall2023,B,2,5,Online,true
PE14938,BUUU 100,COMPLETED,Fall2023,A,4,5,In-person,true
PE14938,BVVV 200,COMPLETED,Spring2024,A-,2,6,Online,true
PE14938,CSDD 200,COMPLETED,Spring2024,C+,3,7,Online,false
PE14938,BJJJ 100,COMPLETED,Summer2024,B,4,6,In-person,true
VT93298,CSNN 100,COMPLETED,Fall2023,C-,2,5,Online,false
VT93298,CSYY 200-9,COMPLETED,Fall2023,D,3,6,In-person,false
VT93298,BUUU 100,COMPLETED,Fall2023,C+,4,4,In-person,false
VT93298,CSMM 100-1,COMPLETED,Spring2024,C+,3,6,Online,false
VT93298,CSMM 100,COMPLETED,Spring2024,A,2,4,In-person,true
VT93298,CSUU 100,COMPLETED,Spring2024,D+,3,6,Online,false
VT93298,BIII 100,COMPLETED,Summer2024,B,4,5,In-person,true
RE24547,BJJJ 100,COMPLETED,Summer2024,C+,4,9,In-person,false
RE24547,CSEE 200,COMPLETED,Summer2024,C,2,5,In-person,false
RE24547,BTTT 200,COMPLETED,Summer2024,A-,2,5,In-person,true
RE24547,CSNN 100,COMPLETED,Summer2024,D+,2,6,Online,false
GT00568,BJJJ 100,COMPLETED,Summer2024,C,4,9,In-person,false
GT00568,CSLL 100,COMPLETED,Summer2024,A,3,5,Online,true
OR04317,CSRR 100,COMPLETED,Fall2023,C+,4,6,In-person,false
OR04317,CSUU 100,COMPLETED,Fall2023,C,3,5,In-person,false
OR04317,CSMM 100-1,COMPLETED,Fall2023,B-,3,5,In-person,false
OR04317,BTTT 200,COMPLETED,Fall2023,C,2,3,In-person,false
OR04317,BLLL 100,COMPLETED,Fall2023,B,3,6,Online,true
OR04317,CSOO 200,COMPLETED,Spring2024,A-,5,7,Online,false
OR04317,BJJJ 100,COMPLETED,Spring2024,A-,4,10,In-person,true
OR04317,CSDD 100,COMPLETED,Spring2024,B+,2,3,In-person,true
OR04317,BAAA 200,COMPLETED,Spring2024,B+,3,6,Online,true
OR04317,CSJJ 100,COMPLETED,Spring2024,B-,3,5,Hybrid,false
OR04317,CSPP 300,COMPLETED,Summer2024,B,2,8,Online,true
OR04317,CSLL 100,COMPLETED,Summer2024,B+,3,4,Online,true
OR04317,CSDD 200,COMPLETED,Summer2024,B+,3,9,In-person,true
OR04317,CSEE 200,COMPLETED,Summer2024,A,2,5,In-person,true
QE59126,BLLL 100,COMPLETED,Summer2022,C,3,4,Online,false
QE59126,BJJJ 100,COMPLETED,Summer2022,A-,4,8,In-person,true
QE59126,CSAA 100,COMPLETED,Fall2022,C+,2,3,In-person,false
QE59126,BBBB 200,COMPLETED,Fall2022,A-,1,5,Hybrid,true
QE59126,CSUU 100-3,COMPLETED,Spring2023,A-,4,8,In-person,true
QE59126,BXXX 100,COMPLETED,Spring2023,A-,3,7,In-person,true
QE59126,CSNN 100,COMPLETED,Summer2023,B-,2,7,In-person,false
QE59126,CSDD 200,COMPLETED,Fall2023,A-,3,9,In-person,true
QE59126,CSKK 100,COMPLETED,Fall2023,B+,3,7,Hybrid,true
QE59126,BZZZ 200,COMPLETED,Spring2024,C+,2,4,In-person,false
QE59126,BTTT 200,COMPLETED,Spring2024,C+,2,5,Online,false
QE59126,CSEE 200,COMPLETED,Summer2024,B,2,5,In-person,true
QE59126,CSLL 100,COMPLETED,Summer2024,B-,3,7,In-person,false
WT20573,CSLL 100,COMPLETED,Summer2022,C-,3,5,In-person,false
WT20573,CSNN 100,COMPLETED,Fall2022,B+,2,6,In-person,true
WT20573,CSYY 200-9,COMPLETED,Spring2023,B+,3,10,Hybrid,true
WT20573,CSUU 100-3,COMPLETED,Summer2023,C-,4,8,Hybrid,false
WT20573,BLLL 100,COMPLETED,Summer2023,A,3,5,Hybrid,true
WT20573,CSJJ 100,COMPLETED,Fall2023,B,3,6,In-person,true
WT20573,BPPP 100,COMPLETED,Fall2023,B-,4,4,In-person,false
WT20573,CSMM 300,COMPLETED,Spring2024,B+,3,5,In-person,true
WT20573,CSKK 100,COMPLETED,Spring2024,A,3,6,In-person,true
WT20573,CSPP 100,COMPLETED,Summer2024,D+,3,5,In-person,false
WT20573,CSDD 200,COMPLETED,Summer2024,A,3,8,In-person,true
SL83449,CSJJ 100,COMPLETED,Spring2021,B+,3,7,In-person,true
SL83449,BAAA 100,COMPLETED,Spring2021,B-,4,7,In-person,false
SL83449,CSNN 100,COMPLETED,Spring2021,B+,2,5,In-person,true
SL83449,BJJJ 100,COMPLETED,Spring2021,C,4,8,In-person,false
SL83449,CSEE 200,COMPLETED,Summer2021,C+,2,3,In-person,false
SL83449,BTTT 200,COMPLETED,Summer2021,B,2,3,In-person,true
SL83449,BIII 100,COMPLETED,Summer2021,B-,4,5,In-person,false
SL83449,CSUU 100-3,COMPLETED,Fall2021,C,4,8,In-person,false
SL83449,CSLL 100,COMPLETED,Fall2021,B-,3,4,In-person,false
SL83449,CSDD 100,COMPLETED,Spring2022,A-,2,4,In-person,true
SL83449,BLLL 100,COMPLETED,Summer2022,B,3,6,Hybrid,true
SL83449,CSPP 100,COMPLETED,Summer2022,A-,3,4,In-person,true
SL83449,BPPP 300,COMPLETED,Summer2022,A,3,8,Online,true
SL83449,CSPP 300,COMPLETED,Summer2022,C,2,5,Hybrid,false
SL83449,CSDD 200,COMPLETED,Summer2022,C,3,9,Online,false
SL83449,CSRR 100,COMPLETED,Fall2022,B-,4,6,Online,false
SL83449,CSKK 300,COMPLETED,Spring2023,B,4,10,In-person,true
SL83449,CSCC 300,COMPLETED,Summer2023,A,2,7,Online,true
SL83449,BUUU 100,COMPLETED,Fall2023,B+,4,5,Hybrid,true
SL83449,CSOO 200,COMPLETED,Fall2023,D+,5,10,In-person,false
SL83449,CSLL 100-1,COMPLETED,Fall2023,F,3,7,In-person,false
SL83449,BPPP 100,COMPLETED,Fall2023,A-,4,6,Online,true
SL83449,CSSS 300,COMPLETED,Fall2023,B+,2,4,Online,true
SL83449,BXXX 100,COMPLETED,Spring2024,C+,3,4,In-person,false
SL83449,CSQQ 200,COMPLETED,Spring2024,A-,3,8,Online,true
SL83449,CSFF 200,COMPLETED,Spring2024,D,3,8,In-person,false
SL83449,CSMM 100-8,COMPLETED,Spring2024,B-,3,4,In-person,false
SL83449,CSJJ 200,COMPLETED,Spring2024,B+,3,5,In-person,true
SL83449,BOOO 200,COMPLETED,Summer2024,A,2,7,Online,true
DF31095,CSMM 100-1,COMPLETED,Spring2024,C,3,4,Online,false
DF31095,CSAA 100,COMPLETED,Spring2024,C+,2,5,In-person,false
DF31095,BIII 100,COMPLETED,Spring2024,A,4,5,In-person,true
DF31095,CSPP 100,COMPLETED,Summer2024,C+,3,3,In-person,false
TD34201,BIII 100,COMPLETED,Summer2023,A-,4,6,In-person,true
TD34201,CSEE 200,COMPLETED,Summer2023,B,2,5,In-person,true
TD34201,CSHH 100,COMPLETED,Fall2023,B+,3,8,In-person,true
TD34201,CSUU 100-3,COMPLETED,Spring2024,B-,4,5,In-person,false
TD34201,CSLL 300,COMPLETED,Summer2024,B+,3,6,In-person,true
TD34201,BJJJ 100,COMPLETED,Summer2024,B+,4,7,In-person,true
MO56628,CSLL 100-1,COMPLETED,Spring2021,B+,3,7,In-person,true
MO56628,BUUU 100,COMPLETED,Spring2021,B-,4,7,In-person,false
MO56628,CSDD 200,COMPLETED,Summer2021,C+,3,8,In-person,false
MO56628,CSUU 100-3,COMPLETED,Summer2021,C+,4,5,Online,false
MO56628,CSMM 100-1,COMPLETED,Fall2021,D,3,4,Online,false
MO56628,CSHH 100,COMPLETED,Spring2022,D+,3,6,In-person,false
MO56628,CSRR 300,COMPLETED,Spring2022,B-,5,8,Hybrid,false
MO56628,CSPP 100,COMPLETED,Summer2022,B+,3,4,Online,true
MO56628,BAAA 100,COMPLETED,Fall2022,C+,4,7,In-person,false
MO56628,CSPP 200-1,COMPLETED,Fall2022,D+,1,3,Hybrid,false
MO56628,CSFF 200,COMPLETED,Spring2023,B,3,8,Online,true
MO56628,CSJJ 100,COMPLETED,Spring2023,C+,3,4,Hybrid,false
MO56628,BLLL 100,COMPLETED,Summer2023,C,3,8,In-person,false
MO56628,CSLL 300,COMPLETED,Summer2023,B-,3,7,Online,false
MO56628,CSPP 200,COMPLETED,Fall2023,C-,2,4,Online,false
MO56628,CSJJ 200,COMPLETED,Fall2023,A-,3,4,In-person,true
MO56628,BAAA 200,COMPLETED,Spring2024,W,3,5,In-person,false
MO56628,CSPP 300,COMPLETED,Summer2024,B-,2,8,In-person,false
MO56628,CSNN 100,COMPLETED,Summer2024,B,2,6,In-person,true
AU01183,CSPP 100,COMPLETED,Summer2024,A-,3,4,In-person,true
JK03015,BVVV 200,COMPLETED,Fall2023,B-,2,7,In-person,false
JK03015,CSRR 100,COMPLETED,Fall2023,B,4,5,In-person,true
JK03015,CSMM 100,COMPLETED,Fall2023,A,2,5,In-person,true
JK03015,CSNN 100,COMPLETED,Spring2024,B+,2,6,Online,true
JK03015,BKKK 100,COMPLETED,Spring2024,B-,3,6,In-person,false
JK03015,CSLL 100,COMPLETED,Spring2024,F,3,6,Hybrid,false
JK03015,CSCC 300,COMPLETED,Summer2024,C+,2,7,In-person,false
JK03015,BIII 100,COMPLETED,Summer2024,D+,4,6,In-person,false
JK03015,CSPP 100,COMPLETED,Summer2024,C-,3,5,Online,false
JK03015,BLLL 100,COMPLETED,Summer2024,B+,3,7,In-person,true
QM98949,BTTT 200,COMPLETED,Summer2021,A,2,5,In-person,true
QM98949,CSEE 200,COMPLETED,Fall2021,C-,2,4,Online,false
QM98949,BVVV 200,COMPLETED,Fall2021,B+,2,5,Online,true
QM98949,BJJJ 100,COMPLETED,Spring2022,A,4,8,In-person,true
QM98949,BLLL 100,COMPLETED,Spring2022,B-,3,7,In-person,false
QM98949,CSNN 100,COMPLETED,Summer2022,B+,2,7,In-person,true
QM98949,BKKK 200,COMPLETED,Fall2022,B,4,11,Hybrid,true
QM98949,BAAA 200,COMPLETED,Spring2023,D+,3,5,Online,false
QM98949,BIII 100,COMPLETED,Summer2023,B+,4,4,Online,true
QM98949,BAAA 200-8,COMPLETED,Fall2023,C+,2,6,Online,false
QM98949,BPPP 100,COMPLETED,Spring2024,A,4,4,In-person,true
QM98949,CSDD 200,COMPLETED,Spring2024,B+,3,9,Online,true
QM98949,CSPP 100,COMPLETED,Summer2024,A,3,4,Online,true
QM98949,CSLL 100,COMPLETED,Summer2024,C,3,7,In-person,false
VD91948,BLLL 100,COMPLETED,Spring2023,C,3,7,Online,false
VD91948,CSFF 200,COMPLETED,Spring2023,B+,3,8,In-person,true
VD91948,BPPP 100,COMPLETED,Spring2023,A,4,5,In-person,true
VD91948,BUUU 100,COMPLETED,Spring2023,F,4,7,Hybrid,false
VD91948,CSNN 100,COMPLETED,Summer2023,A-,2,5,In-person,true
VD91948,CSDD 200,COMPLETED,Fall2023,B+,3,6,In-person,true
VD91948,CSPP 200-1,COMPLETED,Fall2023,C+,1,3,Hybrid,false
VD91948,CSUU 100-3,COMPLETED,Fall2023,D+,4,5,Hybrid,false
VD91948,CSLL 100,COMPLETED,Fall2023,A,3,4,In-person,true
VD91948,BJJJ 100,COMPLETED,Fall2023,A-,4,7,In-person,true
VD91948,BMMM 200,COMPLETED,Spring2024,A-,4,7,In-person,true
VD91948,CSOO 200,COMPLETED,Spring2024,A-,5,10,In-person,false
VD91948,CSQQ 200,COMPLETED,Spring2024,B-,3,6,Hybrid,false
VD91948,BIII 100,COMPLETED,Summer2024,A,4,5,In-person,true
QL51743,CSMM 100-1,COMPLETED,Spring2024,B+,3,5,In-person,true
QL51743,CSNN 100,COMPLETED,Summer2024,A,2,6,Online,true
QL51743,CSPP 100,COMPLETED,Summer2024,B+,3,4,Online,true
KP13786,CSUU 100,COMPLETED,Fall2023,A-,3,4,In-person,true
KP13786,CSMM 100-8,COMPLETED,Fall2023,B+,3,5,In-person,true
KP13786,BXXX 100,COMPLETED,Spring2024,C,3,8,In-person,false
KP13786,CSLL 100,COMPLETED,Summer2024,B,3,7,Online,true
KP13786,CSNN 100,COMPLETED,Summer2024,B+,2,6,In-person,true
KP13786,BIII 100,COMPLETED,Summer2024,A-,4,7,In-person,true
CO71438,CSLL 100,COMPLETED,Summer2022,B+,3,6,Online,true
CO71438,CSEE 200,COMPLETED,Summer2022,A-,2,4,Online,true
CO71438,CSDD 200,COMPLETED,Summer2022,B,3,6,In-person,true
CO71438,CSUU 100-3,COMPLETED,Summer2022,B,4,7,In-person,true
CO71438,CSOO 200,COMPLETED,Fall2022,C+,5,8,Online,false
CO71438,CSMM 100-8,COMPLETED,Fall2022,B+,3,3,In-person,true
CO71438,CSSS 300,COMPLETED,Fall2022,B,2,8,Hybrid,true
CO71438,CSHH 100,COMPLETED,Fall2022,A-,3,7,Hybrid,true
CO71438,CSYY 200,COMPLETED,Spring2023,B,3,6,In-person,true
CO71438,BXXX 100,COMPLETED,Spring2023,C,3,8,In-person,false
CO71438,BTTT 200,COMPLETED,Summer2023,C,2,5,In-person,false
CO71438,CSLL 300,COMPLETED,Summer2023,C+,3,7,Online,false
CO71438,BIII 100,COMPLETED,Summer2023,A,4,6,In-person,true
CO71438,CSNN 100,COMPLETED,Fall2023,A-,2,4,In-person,true
CO71438,CSJJ 100,COMPLETED,Fall2023,B+,3,4,Hybrid,true
CO71438,CSMM 300,COMPLETED,Fall2023,B,3,8,In-person,true
CO71438,BAAA 200,COMPLETED,Fall2023,A-,3,6,Online,true
CO71438,BVVV 300-8,COMPLETED,Fall2023,B+,3,8,In-person,true
CO71438,CSCC 200,COMPLETED,Spring2024,B,2,5,Online,true
CO71438,CSFF 300,COMPLETED,Spring2024,B+,3,7,In-person,true
CO71438,CSYY 200-9,COMPLETED,Spring2024,C,3,6,Hybrid,false
CO71438,BUUU 100,COMPLETED,Spring2024,B-,4,6,In-person,false
CO71438,CSPP 100,COMPLETED,Spring2024,A-,3,6,Online,true
CO71438,CSCC 300,COMPLETED,Summer2024,A-,2,6,Online,true
CO71438,BPPP 300,COMPLETED,Summer2024,A-,3,10,Hybrid,true
CO71438,BLLL 100,COMPLETED,Summer2024,A-,3,7,Hybrid,true
CO71438,CSPP 300,COMPLETED,Summer2024,A-,2,5,In-person,true
CO71438,BJJJ 100,COMPLETED,Summer2024,B,4,6,In-person,true
PW67541,CSLL 100,COMPLETED,Fall2023,C,3,7,In-person,false
PW67541,CSUU 100-3,COMPLETED,Fall2023,A,4,5,Online,true
PW67541,CSMM 100,COMPLETED,Fall2023,B+,2,3,Hybrid,true
PW67541,BVVV 200,COMPLETED,Spring2024,W,2,7,In-person,false
PW67541,CSKK 100,COMPLETED,Spring2024,A,3,5,Hybrid,true
PW67541,CSMM 100-1,COMPLETED,Spring2024,A-,3,6,In-person,true
PW67541,BLLL 100,COMPLETED,Summer2024,A,3,5,Hybrid,true
YO91750,CSPP 100,COMPLETED,Summer2024,A-,3,4,In-person,true
YO91750,CSDD 200,COMPLETED,Summer2024,C-,3,9,In-person,false
YO91750,BTTT 200,COMPLETED,Summer2024,B,2,4,In-person,true
YO91750,BJJJ 100,COMPLETED,Summer2024,D,4,7,In-person,false
BU30827,CSLL 100,COMPLETED,Spring2024,B,3,7,Hybrid,true
BU30827,CSOO 200,COMPLETED,Spring2024,C+,5,10,In-person,false
BU30827,BAAA 100,COMPLETED,Spring2024,A,4,6,Online,true
BU30827,BTTT 200,COMPLETED,Summer2024,B+,2,4,In-person,true
BU30827,CSEE 200,COMPLETED,Summer2024,A,2,5,In-person,true
BU30827,CSUU 100-3,COMPLETED,Summer2024,C,4,5,In-person,false
EB55549,BAAA 100,COMPLETED,Spring2022,B,4,7,Online,true
EB55549,CSRR 100,COMPLETED,Spring2022,C-,4,5,In-person,false
EB55549,BTTT 200,COMPLETED,Summer2022,C+,2,5,In-person,false
EB55549,CSMM 100-1,COMPLETED,Fall2022,C+,3,4,In-person,false
EB55549,CSPP 100,COMPLETED,Fall2022,A,3,5,Online,true
EB55549,BUUU 100,COMPLETED,Spring2023,C,4,7,In-person,false
EB55549,CSUU 100-3,COMPLETED,Spring2023,A,4,8,Online,true
EB55549,CSDD 200,COMPLETED,Summer2023,W,3,7,In-person,false
EB55549,CSJJ 100,COMPLETED,Fall2023,B,3,5,In-person,true
EB55549,CSMM 100,COMPLETED,Spring2024,D,2,5,Hybrid,false
EB55549,CSNN 100,COMPLETED,Summer2024,B-,2,6,In-person,false
RU46405,CSNN 100,COMPLETED,Summer2024,C,2,5,Online,false
RU46405,BTTT 200,COMPLETED,Summer2024,B,2,5,In-person,true
RU46405,CSDD 200,COMPLETED,Summer2024,B+,3,7,Online,true
RU46405,CSLL 100,COMPLETED,Summer2024,B,3,5,In-person,true
RU46405,CSUU 100-3,COMPLETED,Summer2024,A-,4,6,In-person,true
AI35006,CSJJ 100,COMPLETED,Fall2021,C+,3,5,In-person,false
AI35006,BLLL 100,COMPLETED,Fall2021,D+,3,5,Online,false
AI35006,CSMM 100-8,COMPLETED,Spring2022,B,3,6,In-person,true
AI35006,CSOO 200,COMPLETED,Spring2022,A,5,11,In-person,false
AI35006,CSNN 100,COMPLETED,Summer2022,B+,2,6,In-person,true
AI35006,CSEE 200,COMPLETED,Summer2022,A-,2,4,In-person,true
AI35006,BTTT 200,COMPLETED,Summer2022,A,2,4,In-person,true
AI35006,BJJJ 100,COMPLETED,Summer2022,A-,4,6,In-person,true
AI35006,CSMM 100-1,COMPLETED,Fall2022,C-,3,4,Online,false
AI35006,CSAA 100,COMPLETED,Fall2022,C,2,2,In-person,false
AI35006,CSRR 100,COMPLETED,Fall2022,B+,4,5,In-person,true
AI35006,BVVV 200,COMPLETED,Fall2022,A,2,4,In-person,true
AI35006,BXXX 100,COMPLETED,Spring2023,C,3,5,In-person,false
AI35006,BKKK 200,COMPLETED,Spring2023,C-,4,10,In-person,false
AI35006,CSPP 100,COMPLETED,Summer2023,C+,3,4,In-person,false
AI35006,CSLL 100,COMPLETED,Summer2023,F,3,5,In-person,false
AI35006,CSPP 300,COMPLETED,Summer2023,B,2,6,Hybrid,true
AI35006,BIII 100,COMPLETED,Summer2023,A,4,7,In-person,true
AI35006,BPPP 300,COMPLETED,Fall2023,B+,3,11,Online,true
AI35006,BUUU 100,COMPLETED,Fall2023,A,4,7,Hybrid,true
AI35006,BAAA 200,COMPLETED,Spring2024,B,3,5,Online,true
AI35006,BZZZ 200,COMPLETED,Spring2024,B,2,6,Online,true
AI35006,CSUU 100-3,COMPLETED,Summer2024,C,4,5,Hybrid,false
AI35006,CSKK 300,COMPLETED,Summer2024,B,4,9,In-person,true
AI35006,CSCC 300,COMPLETED,Summer2024,C,2,5,In-person,false
AI35006,CSDD 200,COMPLETED,Summer2024,B-,3,6,In-person,false
IZ22658,BPPP 100,COMPLETED,Fall2023,A,4,7,In-person,true
IZ22658,CSAA 100,COMPLETED,Fall2023,B,2,3,In-person,true
IZ22658,BXXX 100,COMPLETED,Fall2023,B-,3,8,In-person,false
IZ22658,BAAA 100,COMPLETED,Spring2024,C+,4,7,In-person,false
IZ22658,BTTT 200,COMPLETED,Summer2024,C,2,3,Online,false
IZ22658,CSPP 100,COMPLETED,Summer2024,C-,3,3,Online,false
JG88622,CSDD 200,COMPLETED,Summer2022,B-,3,10,In-person,false
JG88622,BIII 100,COMPLETED,Fall2022,A-,4,7,Online,true
JG88622,CSDD 100,COMPLETED,Fall2022,A-,2,6,In-person,true
JG88622,BXXX 100,COMPLETED,Spring2023,A,3,6,In-person,true
JG88622,CSMM 100-1,COMPLETED,Spring2023,C+,3,6,In-person,false
JG88622,CSKK 100,COMPLETED,Spring2023,B-,3,6,Online,false
JG88622,BTTT 200,COMPLETED,Summer2023,B,2,3,Online,true
JG88622,CSEE 200,COMPLETED,Summer2023,B,2,5,Online,true
JG88622,BPPP 300,COMPLETED,Summer2023,A-,3,8,In-person,true
JG88622,BZZZ 200,COMPLETED,Fall2023,A-,2,6,In-person,true
JG88622,CSUU 100-3,COMPLETED,Spring2024,B-,4,8,In-person,false
JG88622,CSAA 100,COMPLETED,Spring2024,B+,2,4,In-person,true
JG88622,CSSS 300,COMPLETED,Spring2024,B-,2,8,Hybrid,false
JG88622,BJJJ 100,COMPLETED,Summer2024,B+,4,8,In-person,true
JG88622,BLLL 100,COMPLETED,Summer2024,B-,3,5,Online,false
OM35998,CSDD 200,COMPLETED,Spring2023,C+,3,8,In-person,false
OM35998,CSMM 100-1,COMPLETED,Spring2023,B-,3,3,Online,false
OM35998,CSPP 100,COMPLETED,Summer2023,B,3,4,In-person,true
OM35998,BLLL 100,COMPLETED,Summer2023,C,3,7,Online,false
OM35998,CSUU 100-3,COMPLETED,Summer2023,A,4,6,Hybrid,true
OM35998,CSKK 300,COMPLETED,Fall2023,B+,4,8,Online,true
OM35998,BIII 100,COMPLETED,Fall2023,B,4,5,Online,true
OM35998,CSMM 100-8,COMPLETED,Fall2023,D+,3,6,In-person,false
OM35998,CSRR 100,COMPLETED,Spring2024,C+,4,4,Online,false
OM35998,CSLL 100,COMPLETED,Spring2024,B+,3,6,Online,true
OM35998,CSMM 100,COMPLETED,Spring2024,A,2,4,Hybrid,true
OM35998,CSNN 100,COMPLETED,Summer2024,B,2,6,Online,true
