:START_ID(Student),:END_ID(Student),:TYPE,similarity:float
FS65039,SE52755,SIMILAR_LEARNING_STYLE,0.95
FS65039,OY69684,SIMILAR_LEARNING_STYLE,0.91
FS65039,PE65742,SIMILAR_LEARNING_STYLE,0.66
FS65039,KJ80599,SIMILAR_LEARNING_STYLE,0.88
FS65039,IC43895,SIMILAR_LEARNING_STYLE,0.86
FS65039,RY90049,SIMILAR_LEARNING_STYLE,0.8
FS65039,EC58322,SIMILAR_LEARNING_STYLE,0.7
FS65039,OF32086,SIMILAR_LEARNING_STYLE,0.69
FS65039,CM57292,SIMILAR_LEARNING_STYLE,0.87
FS65039,JQ49301,SIMILAR_LEARNING_STYLE,0.88
FS65039,RK57915,SIMILAR_LEARNING_STYLE,0.86
FS65039,WI72953,SIMILAR_LEARNING_STYLE,0.88
FS65039,IZ67278,SIMILAR_LEARNING_STYLE,0.82
FS65039,OK55448,SIMILAR_LEARNING_STYLE,0.96
FS65039,WD57286,SIMILAR_LEARNING_STYLE,0.88
FS65039,EH57320,SIMILAR_LEARNING_STYLE,0.78
FS65039,FW93042,SIMILAR_LEARNING_STYLE,0.72
FS65039,PU57587,SIMILAR_LEARNING_STYLE,0.69
FS65039,WS89200,SIMILAR_LEARNING_STYLE,0.78
IZ92462,VQ15105,SIMILAR_LEARNING_STYLE,0.89
IZ92462,YJ48483,SIMILAR_LEARNING_STYLE,0.85
IZ92462,WW47868,SIMILAR_LEARNING_STYLE,0.8
IZ92462,YD32426,SIMILAR_LEARNING_STYLE,0.91
IZ92462,TS63551,SIMILAR_LEARNING_STYLE,0.84
IZ92462,XT21265,SIMILAR_LEARNING_STYLE,0.65
IZ92462,TW35854,SIMILAR_LEARNING_STYLE,0.81
IZ92462,CV73907,SIMILAR_LEARNING_STYLE,0.79
IZ92462,AI62046,SIMILAR_LEARNING_STYLE,0.83
IZ92462,IY00778,SIMILAR_LEARNING_STYLE,0.97
IZ92462,TC12494,SIMILAR_LEARNING_STYLE,0.88
IZ92462,MA14273,SIMILAR_LEARNING_STYLE,0.91
IZ92462,DJ81753,SIMILAR_LEARNING_STYLE,0.83
IZ92462,BG96650,SIMILAR_LEARNING_STYLE,0.96
IZ92462,PT53375,SIMILAR_LEARNING_STYLE,0.78
IZ92462,JU08367,SIMILAR_LEARNING_STYLE,0.76
IZ92462,FH03729,SIMILAR_LEARNING_STYLE,0.86
IZ92462,ZO58358,SIMILAR_LEARNING_STYLE,0.95
IZ92462,XA41422,SIMILAR_LEARNING_STYLE,0.95
IZ92462,PR16532,SIMILAR_LEARNING_STYLE,0.57
GO32860,KH26288,SIMILAR_LEARNING_STYLE,0.64
GO32860,WI72953,SIMILAR_LEARNING_STYLE,0.71
GO32860,BD62719,SIMILAR_LEARNING_STYLE,0.66
GO32860,RY90049,SIMILAR_LEARNING_STYLE,0.8
GO32860,FI40678,SIMILAR_LEARNING_STYLE,0.65
GO32860,DJ74178,SIMILAR_LEARNING_STYLE,0.8
GO32860,EC58322,SIMILAR_LEARNING_STYLE,0.81
GO32860,FS65039,SIMILAR_LEARNING_STYLE,0.71
GO32860,OK55448,SIMILAR_LEARNING_STYLE,0.75
GO32860,LU34231,SIMILAR_LEARNING_STYLE,0.69
GO32860,JH11171,SIMILAR_LEARNING_STYLE,0.76
GO32860,TJ95461,SIMILAR_LEARNING_STYLE,0.7
GO32860,IW41450,SIMILAR_LEARNING_STYLE,0.79
GO32860,WD57286,SIMILAR_LEARNING_STYLE,0.72
GO32860,CM83030,SIMILAR_LEARNING_STYLE,0.83
GO32860,YX06245,SIMILAR_LEARNING_STYLE,0.87
GO32860,PA21106,SIMILAR_LEARNING_STYLE,0.61
GO32860,DG39697,SIMILAR_LEARNING_STYLE,0.84
GO32860,SE52755,SIMILAR_LEARNING_STYLE,0.79
GO32860,GZ77459,SIMILAR_LEARNING_STYLE,0.84
YW20891,UR13988,SIMILAR_LEARNING_STYLE,0.57
YW20891,VT29650,SIMILAR_LEARNING_STYLE,0.83
YW20891,ZW77948,SIMILAR_LEARNING_STYLE,0.59
YW20891,ZB31672,SIMILAR_LEARNING_STYLE,0.71
YW20891,WW37078,SIMILAR_LEARNING_STYLE,0.86
YW20891,RP97086,SIMILAR_LEARNING_STYLE,0.72
YW20891,WM98905,SIMILAR_LEARNING_STYLE,0.63
YW20891,DQ68356,SIMILAR_LEARNING_STYLE,0.95
YW20891,BI74524,SIMILAR_LEARNING_STYLE,0.82
YW20891,EF98425,SIMILAR_LEARNING_STYLE,0.68
YW20891,HW79751,SIMILAR_LEARNING_STYLE,0.8
YW20891,OD42541,SIMILAR_LEARNING_STYLE,0.84
YW20891,GQ22124,SIMILAR_LEARNING_STYLE,0.81
YW20891,CA64586,SIMILAR_LEARNING_STYLE,0.77
YW20891,VQ15105,SIMILAR_LEARNING_STYLE,0.74
YW20891,MO16135,SIMILAR_LEARNING_STYLE,0.85
YW20891,TD41233,SIMILAR_LEARNING_STYLE,0.86
YW20891,KO53012,SIMILAR_LEARNING_STYLE,0.75
YW20891,LW44425,SIMILAR_LEARNING_STYLE,0.86
YW20891,GI26278,SIMILAR_LEARNING_STYLE,0.9
QK77308,OQ44840,SIMILAR_LEARNING_STYLE,0.69
QK77308,AJ92700,SIMILAR_LEARNING_STYLE,0.87
QK77308,CY51450,SIMILAR_LEARNING_STYLE,0.59
QK77308,JD80317,SIMILAR_LEARNING_STYLE,0.67
QK77308,ML05631,SIMILAR_LEARNING_STYLE,0.82
QK77308,VP13892,SIMILAR_LEARNING_STYLE,0.79
QK77308,ZT52878,SIMILAR_LEARNING_STYLE,0.8
QK77308,XN59291,SIMILAR_LEARNING_STYLE,0.72
QK77308,IK98346,SIMILAR_LEARNING_STYLE,0.66
QK77308,VI84485,SIMILAR_LEARNING_STYLE,0.71
QK77308,GM10792,SIMILAR_LEARNING_STYLE,0.69
QK77308,RZ03987,SIMILAR_LEARNING_STYLE,0.78
QK77308,HU48348,SIMILAR_LEARNING_STYLE,0.89
QK77308,AC93731,SIMILAR_LEARNING_STYLE,0.86
QK77308,DT65721,SIMILAR_LEARNING_STYLE,0.75
QK77308,CG69223,SIMILAR_LEARNING_STYLE,0.79
QK77308,KO34569,SIMILAR_LEARNING_STYLE,0.86
QK77308,NB59956,SIMILAR_LEARNING_STYLE,0.74
QK77308,ES64836,SIMILAR_LEARNING_STYLE,0.73
QK77308,OX00259,SIMILAR_LEARNING_STYLE,0.73
IH16741,VZ59801,SIMILAR_LEARNING_STYLE,0.74
IH16741,WM98905,SIMILAR_LEARNING_STYLE,0.76
IH16741,QJ54510,SIMILAR_LEARNING_STYLE,0.97
IH16741,JF99029,SIMILAR_LEARNING_STYLE,0.7
IH16741,VL36938,SIMILAR_LEARNING_STYLE,0.69
IH16741,KO53012,SIMILAR_LEARNING_STYLE,0.7
IH16741,EE38529,SIMILAR_LEARNING_STYLE,0.75
IH16741,GQ22124,SIMILAR_LEARNING_STYLE,0.73
IH16741,LU76052,SIMILAR_LEARNING_STYLE,0.79
IH16741,YO03512,SIMILAR_LEARNING_STYLE,0.7
IH16741,ML24720,SIMILAR_LEARNING_STYLE,0.66
IH16741,YP21996,SIMILAR_LEARNING_STYLE,0.93
IH16741,ZB31672,SIMILAR_LEARNING_STYLE,0.82
IH16741,WB90336,SIMILAR_LEARNING_STYLE,0.67
IH16741,WK02572,SIMILAR_LEARNING_STYLE,0.69
IH16741,ZG40127,SIMILAR_LEARNING_STYLE,0.68
IH16741,VU22493,SIMILAR_LEARNING_STYLE,0.86
IH16741,PL75447,SIMILAR_LEARNING_STYLE,0.76
IH16741,DJ81753,SIMILAR_LEARNING_STYLE,0.68
IH16741,QQ60031,SIMILAR_LEARNING_STYLE,0.67
LP43423,FS86092,SIMILAR_LEARNING_STYLE,0.74
LP43423,IQ88011,SIMILAR_LEARNING_STYLE,0.83
LP43423,WB63283,SIMILAR_LEARNING_STYLE,0.94
LP43423,YC47807,SIMILAR_LEARNING_STYLE,0.85
LP43423,FN76576,SIMILAR_LEARNING_STYLE,0.86
LP43423,JQ80217,SIMILAR_LEARNING_STYLE,0.72
LP43423,TV02774,SIMILAR_LEARNING_STYLE,0.83
LP43423,KZ59336,SIMILAR_LEARNING_STYLE,0.8
LP43423,HF53129,SIMILAR_LEARNING_STYLE,0.81
LP43423,FL71387,SIMILAR_LEARNING_STYLE,0.94
LP43423,ZN98617,SIMILAR_LEARNING_STYLE,0.67
LP43423,TT50674,SIMILAR_LEARNING_STYLE,0.83
LP43423,HY15423,SIMILAR_LEARNING_STYLE,0.76
LP43423,GM76220,SIMILAR_LEARNING_STYLE,0.68
LP43423,VP22144,SIMILAR_LEARNING_STYLE,0.8
LP43423,GW02967,SIMILAR_LEARNING_STYLE,0.89
LP43423,MU64758,SIMILAR_LEARNING_STYLE,0.78
LP43423,AL52206,SIMILAR_LEARNING_STYLE,0.89
LP43423,QZ14534,SIMILAR_LEARNING_STYLE,0.79
LI49525,FE39595,SIMILAR_LEARNING_STYLE,0.61
LI49525,RV71358,SIMILAR_LEARNING_STYLE,0.65
LI49525,PE65742,SIMILAR_LEARNING_STYLE,0.85
LI49525,IC43895,SIMILAR_LEARNING_STYLE,0.66
LI49525,OY69684,SIMILAR_LEARNING_STYLE,0.66
LI49525,JQ49301,SIMILAR_LEARNING_STYLE,0.72
LI49525,AK10460,SIMILAR_LEARNING_STYLE,0.76
LI49525,OB61296,SIMILAR_LEARNING_STYLE,0.56
LI49525,YA05268,SIMILAR_LEARNING_STYLE,0.73
LI49525,FS65039,SIMILAR_LEARNING_STYLE,0.58
LI49525,DB96403,SIMILAR_LEARNING_STYLE,0.72
LI49525,IW41450,SIMILAR_LEARNING_STYLE,0.76
LI49525,NL97742,SIMILAR_LEARNING_STYLE,0.77
LI49525,MT35085,SIMILAR_LEARNING_STYLE,0.73
LI49525,JE88356,SIMILAR_LEARNING_STYLE,0.78
LI49525,PI19318,SIMILAR_LEARNING_STYLE,0.6
LI49525,SC46150,SIMILAR_LEARNING_STYLE,0.75
LI49525,XN27764,SIMILAR_LEARNING_STYLE,0.85
LI49525,LU34231,SIMILAR_LEARNING_STYLE,0.75
LI49525,RE86785,SIMILAR_LEARNING_STYLE,0.86
SU37219,ID88896,SIMILAR_LEARNING_STYLE,0.79
SU37219,NJ55375,SIMILAR_LEARNING_STYLE,0.81
SU37219,BU92698,SIMILAR_LEARNING_STYLE,0.87
SU37219,KV18230,SIMILAR_LEARNING_STYLE,0.76
SU37219,ZB72787,SIMILAR_LEARNING_STYLE,0.73
SU37219,SW73040,SIMILAR_LEARNING_STYLE,0.66
SU37219,FS86092,SIMILAR_LEARNING_STYLE,0.84
SU37219,AW34826,SIMILAR_LEARNING_STYLE,0.78
SU37219,RN28954,SIMILAR_LEARNING_STYLE,0.87
SU37219,JQ80217,SIMILAR_LEARNING_STYLE,0.8
SU37219,VQ63608,SIMILAR_LEARNING_STYLE,0.71
SU37219,JI57714,SIMILAR_LEARNING_STYLE,0.81
SU37219,KH81532,SIMILAR_LEARNING_STYLE,0.75
SU37219,JE79387,SIMILAR_LEARNING_STYLE,0.74
SU37219,QR32776,SIMILAR_LEARNING_STYLE,0.65
SU37219,MW40082,SIMILAR_LEARNING_STYLE,0.71
SU37219,UV96616,SIMILAR_LEARNING_STYLE,0.95
SU37219,OC97848,SIMILAR_LEARNING_STYLE,0.88
SU37219,FU63836,SIMILAR_LEARNING_STYLE,0.76
SU37219,WS84934,SIMILAR_LEARNING_STYLE,0.83
EG34830,CV73907,SIMILAR_LEARNING_STYLE,0.73
EG34830,VT29650,SIMILAR_LEARNING_STYLE,0.6
EG34830,ZX23568,SIMILAR_LEARNING_STYLE,0.75
EG34830,VD72923,SIMILAR_LEARNING_STYLE,0.79
EG34830,ND06932,SIMILAR_LEARNING_STYLE,0.67
EG34830,WJ04944,SIMILAR_LEARNING_STYLE,0.77
EG34830,FX20046,SIMILAR_LEARNING_STYLE,0.65
EG34830,HW79751,SIMILAR_LEARNING_STYLE,0.78
EG34830,CA64586,SIMILAR_LEARNING_STYLE,0.76
EG34830,CP26945,SIMILAR_LEARNING_STYLE,0.84
EG34830,QA94276,SIMILAR_LEARNING_STYLE,0.8
EG34830,SI63142,SIMILAR_LEARNING_STYLE,0.87
EG34830,JZ42568,SIMILAR_LEARNING_STYLE,0.73
EG34830,VS85013,SIMILAR_LEARNING_STYLE,0.75
EG34830,EE13756,SIMILAR_LEARNING_STYLE,0.73
EG34830,GQ22124,SIMILAR_LEARNING_STYLE,0.77
EG34830,LS25016,SIMILAR_LEARNING_STYLE,0.75
EG34830,VQ15105,SIMILAR_LEARNING_STYLE,0.81
EG34830,FY69191,SIMILAR_LEARNING_STYLE,0.8
EG34830,ZM86590,SIMILAR_LEARNING_STYLE,0.82
KV18230,XG68854,SIMILAR_LEARNING_STYLE,0.83
KV18230,TA41630,SIMILAR_LEARNING_STYLE,0.63
KV18230,WH04033,SIMILAR_LEARNING_STYLE,0.98
KV18230,AL52206,SIMILAR_LEARNING_STYLE,0.68
KV18230,FS86092,SIMILAR_LEARNING_STYLE,0.85
KV18230,XM54484,SIMILAR_LEARNING_STYLE,0.85
KV18230,WZ32012,SIMILAR_LEARNING_STYLE,0.88
KV18230,DG79155,SIMILAR_LEARNING_STYLE,0.86
KV18230,DQ20127,SIMILAR_LEARNING_STYLE,0.62
KV18230,VY95555,SIMILAR_LEARNING_STYLE,0.73
KV18230,HN60547,SIMILAR_LEARNING_STYLE,0.83
KV18230,XR19287,SIMILAR_LEARNING_STYLE,0.93
KV18230,ZK44547,SIMILAR_LEARNING_STYLE,0.69
KV18230,QX70883,SIMILAR_LEARNING_STYLE,0.72
KV18230,MN68352,SIMILAR_LEARNING_STYLE,0.82
KV18230,VQ81913,SIMILAR_LEARNING_STYLE,0.86
KV18230,YC47807,SIMILAR_LEARNING_STYLE,0.64
KV18230,OD41035,SIMILAR_LEARNING_STYLE,0.8
KV18230,WE73015,SIMILAR_LEARNING_STYLE,0.74
KV18230,MU64758,SIMILAR_LEARNING_STYLE,0.71
BM31946,KZ21179,SIMILAR_LEARNING_STYLE,0.79
BM31946,DC45364,SIMILAR_LEARNING_STYLE,0.61
BM31946,EW62916,SIMILAR_LEARNING_STYLE,0.62
BM31946,MM32449,SIMILAR_LEARNING_STYLE,0.8
BM31946,WJ04944,SIMILAR_LEARNING_STYLE,0.74
BM31946,KN25150,SIMILAR_LEARNING_STYLE,0.69
BM31946,AZ61247,SIMILAR_LEARNING_STYLE,0.84
BM31946,BG39832,SIMILAR_LEARNING_STYLE,0.94
BM31946,VD72923,SIMILAR_LEARNING_STYLE,0.75
BM31946,EF98425,SIMILAR_LEARNING_STYLE,0.69
BM31946,EE38529,SIMILAR_LEARNING_STYLE,0.67
BM31946,XA41422,SIMILAR_LEARNING_STYLE,0.87
BM31946,PU04531,SIMILAR_LEARNING_STYLE,0.76
BM31946,UR13988,SIMILAR_LEARNING_STYLE,0.65
BM31946,VW09831,SIMILAR_LEARNING_STYLE,0.86
BM31946,LU76052,SIMILAR_LEARNING_STYLE,0.84
BM31946,FM12378,SIMILAR_LEARNING_STYLE,0.84
BM31946,VS85013,SIMILAR_LEARNING_STYLE,0.75
BM31946,FX20046,SIMILAR_LEARNING_STYLE,0.91
BM31946,WK02572,SIMILAR_LEARNING_STYLE,0.79
QC89812,HF53129,SIMILAR_LEARNING_STYLE,0.93
QC89812,AL52206,SIMILAR_LEARNING_STYLE,0.95
QC89812,HN44844,SIMILAR_LEARNING_STYLE,0.71
QC89812,FE27724,SIMILAR_LEARNING_STYLE,0.85
QC89812,XM15226,SIMILAR_LEARNING_STYLE,0.76
QC89812,NX25227,SIMILAR_LEARNING_STYLE,0.92
QC89812,FL71387,SIMILAR_LEARNING_STYLE,0.94
QC89812,WB63283,SIMILAR_LEARNING_STYLE,0.97
QC89812,JI57714,SIMILAR_LEARNING_STYLE,0.94
QC89812,OD41035,SIMILAR_LEARNING_STYLE,0.75
QC89812,QR32776,SIMILAR_LEARNING_STYLE,0.58
QC89812,HY15423,SIMILAR_LEARNING_STYLE,0.75
QC89812,JE79387,SIMILAR_LEARNING_STYLE,0.89
QC89812,FM62039,SIMILAR_LEARNING_STYLE,0.8
QC89812,WZ32012,SIMILAR_LEARNING_STYLE,0.83
QC89812,FN76576,SIMILAR_LEARNING_STYLE,0.9
QC89812,SU37219,SIMILAR_LEARNING_STYLE,0.9
QC89812,MG74007,SIMILAR_LEARNING_STYLE,0.75
QC89812,MW40082,SIMILAR_LEARNING_STYLE,0.74
RN28954,IU80509,SIMILAR_LEARNING_STYLE,0.89
RN28954,KX79201,SIMILAR_LEARNING_STYLE,0.91
RN28954,WQ41021,SIMILAR_LEARNING_STYLE,0.8
RN28954,NL09107,SIMILAR_LEARNING_STYLE,0.83
RN28954,MR93262,SIMILAR_LEARNING_STYLE,0.76
RN28954,WE73015,SIMILAR_LEARNING_STYLE,0.75
RN28954,MN68352,SIMILAR_LEARNING_STYLE,0.77
RN28954,DG79155,SIMILAR_LEARNING_STYLE,0.69
RN28954,OD41035,SIMILAR_LEARNING_STYLE,0.78
RN28954,ZK44547,SIMILAR_LEARNING_STYLE,0.82
RN28954,MF18990,SIMILAR_LEARNING_STYLE,0.98
RN28954,HN44844,SIMILAR_LEARNING_STYLE,0.75
RN28954,EM51414,SIMILAR_LEARNING_STYLE,0.85
RN28954,HF53129,SIMILAR_LEARNING_STYLE,0.81
RN28954,IJ88204,SIMILAR_LEARNING_STYLE,0.82
RN28954,VP22144,SIMILAR_LEARNING_STYLE,0.91
RN28954,MU64758,SIMILAR_LEARNING_STYLE,0.84
RN28954,TG65306,SIMILAR_LEARNING_STYLE,0.76
RN28954,CY24226,SIMILAR_LEARNING_STYLE,0.77
RN28954,TC65363,SIMILAR_LEARNING_STYLE,0.84
JP07985,ZW77948,SIMILAR_LEARNING_STYLE,0.77
JP07985,OE02472,SIMILAR_LEARNING_STYLE,0.72
JP07985,SC53490,SIMILAR_LEARNING_STYLE,0.68
JP07985,IQ69155,SIMILAR_LEARNING_STYLE,0.87
JP07985,GU63456,SIMILAR_LEARNING_STYLE,0.76
JP07985,CA64586,SIMILAR_LEARNING_STYLE,0.8
JP07985,XA41422,SIMILAR_LEARNING_STYLE,0.87
JP07985,YD32426,SIMILAR_LEARNING_STYLE,0.68
JP07985,CP26945,SIMILAR_LEARNING_STYLE,0.92
JP07985,JG25721,SIMILAR_LEARNING_STYLE,0.76
JP07985,DQ68356,SIMILAR_LEARNING_STYLE,0.85
JP07985,KG30374,SIMILAR_LEARNING_STYLE,0.79
JP07985,BT48904,SIMILAR_LEARNING_STYLE,0.75
JP07985,TR47137,SIMILAR_LEARNING_STYLE,0.81
JP07985,XE47720,SIMILAR_LEARNING_STYLE,0.74
JP07985,QY70161,SIMILAR_LEARNING_STYLE,0.75
JP07985,WJ04944,SIMILAR_LEARNING_STYLE,0.67
JP07985,GT80247,SIMILAR_LEARNING_STYLE,0.7
JP07985,SK03217,SIMILAR_LEARNING_STYLE,0.85
JP07985,MG61383,SIMILAR_LEARNING_STYLE,0.74
LU34231,YG05606,SIMILAR_LEARNING_STYLE,0.92
LU34231,OB61296,SIMILAR_LEARNING_STYLE,0.94
LU34231,KG31369,SIMILAR_LEARNING_STYLE,0.76
LU34231,IW07367,SIMILAR_LEARNING_STYLE,0.86
LU34231,KN80663,SIMILAR_LEARNING_STYLE,0.88
LU34231,PE65742,SIMILAR_LEARNING_STYLE,0.78
LU34231,NH76145,SIMILAR_LEARNING_STYLE,0.82
LU34231,KH69235,SIMILAR_LEARNING_STYLE,0.85
LU34231,QT20931,SIMILAR_LEARNING_STYLE,0.72
LU34231,DX26721,SIMILAR_LEARNING_STYLE,0.95
LU34231,DN92985,SIMILAR_LEARNING_STYLE,0.98
LU34231,SC46150,SIMILAR_LEARNING_STYLE,0.72
LU34231,PI19318,SIMILAR_LEARNING_STYLE,0.8
LU34231,TY50210,SIMILAR_LEARNING_STYLE,0.6
LU34231,TG98195,SIMILAR_LEARNING_STYLE,0.76
LU34231,HZ97157,SIMILAR_LEARNING_STYLE,0.72
LU34231,FE39595,SIMILAR_LEARNING_STYLE,0.85
LU34231,WD57286,SIMILAR_LEARNING_STYLE,0.73
LU34231,DI09528,SIMILAR_LEARNING_STYLE,0.86
LU34231,SF03975,SIMILAR_LEARNING_STYLE,0.68
QA94276,TF01851,SIMILAR_LEARNING_STYLE,0.84
QA94276,RX04008,SIMILAR_LEARNING_STYLE,0.66
QA94276,QV59162,SIMILAR_LEARNING_STYLE,0.76
QA94276,NA49258,SIMILAR_LEARNING_STYLE,0.68
QA94276,CW80287,SIMILAR_LEARNING_STYLE,0.59
QA94276,LQ33404,SIMILAR_LEARNING_STYLE,0.54
QA94276,GQ22124,SIMILAR_LEARNING_STYLE,0.87
QA94276,AT04654,SIMILAR_LEARNING_STYLE,0.87
QA94276,FH58150,SIMILAR_LEARNING_STYLE,0.61
QA94276,EE38529,SIMILAR_LEARNING_STYLE,0.79
QA94276,KG30374,SIMILAR_LEARNING_STYLE,0.67
QA94276,VZ59801,SIMILAR_LEARNING_STYLE,0.81
QA94276,VP24826,SIMILAR_LEARNING_STYLE,0.91
QA94276,IZ92462,SIMILAR_LEARNING_STYLE,0.73
QA94276,FM12378,SIMILAR_LEARNING_STYLE,0.84
