:START_ID(Student),:END_ID(Course),:TYPE,term,grade,difficulty:int,timeSpent:int,instructionMode,enjoyment:boolean
SU37219,BEEE 100,COMPLETED,Fall2023,C-,3,6,Hybrid,false
SU37219,BHHH 100,COMPLETED,Fall2023,B,2,6,Online,true
SU37219,CSKK 200-4,COMPLETED,Spring2024,C-,4,7,In-person,false
SU37219,BNNN 200,COMPLETED,Spring2024,C,3,6,Online,false
SU37219,CSII 200,COMPLETED,Spring2024,C,4,7,In-person,false
SU37219,CSOO 100,COMPLETED,Spring2024,A,4,7,In-person,true
SU37219,BWWW 200,COMPLETED,Spring2024,F,3,7,In-person,false
SU37219,BFFF 100,COMPLETED,Summer2024,A,3,4,In-person,true
SU37219,BFFF 300-2,COMPLETED,Summer2024,B-,2,5,Online,false
SU37219,BUUU 100,COMPLETED,Summer2024,D+,3,5,Online,false
SU37219,CSDD 200,COMPLETED,Summer2024,A,3,8,Online,true
EG34830,BFFF 100,COMPLETED,Spring2021,B+,3,3,In-person,true
EG34830,CSYY 200,COMPLETED,Spring2021,B-,3,6,In-person,false
EG34830,BEEE 100,COMPLETED,Spring2021,A,3,5,Hybrid,true
EG34830,BBBB 100-3,COMPLETED,Summer2021,A,3,7,Online,true
EG34830,BFFF 100-4-1,COMPLETED,Summer2021,A-,3,7,Hybrid,true
EG34830,BMMM 200,COMPLETED,Summer2021,C,2,5,In-person,false
EG34830,CSKK 200-4,COMPLETED,Fall2021,B-,4,8,In-person,false
EG34830,CSKK 200,COMPLETED,Fall2021,B,4,9,In-person,true
EG34830,BEEE 200,COMPLETED,Fall2021,B-,3,6,Online,false
EG34830,CSJJ 100-4,COMPLETED,Fall2021,A-,4,6,In-person,true
EG34830,CSVV 200,COMPLETED,Spring2022,A,3,4,In-person,true
EG34830,BUUU 300-4,COMPLETED,Spring2022,B+,2,5,Hybrid,true
EG34830,BBBB 200-9,COMPLETED,Summer2022,B+,3,5,In-person,true
EG34830,CSMM 100,COMPLETED,Summer2022,B-,2,7,In-person,false
EG34830,CSEE 200,COMPLETED,Fall2022,B+,4,5,In-person,true
EG34830,BSSS 100,COMPLETED,Fall2022,A-,2,3,Hybrid,true
EG34830,CSZZ 100,COMPLETED,Spring2023,B+,2,4,Hybrid,true
EG34830,BHHH 100,COMPLETED,Spring2023,D,2,5,Online,false
EG34830,CSNN 100,COMPLETED,Spring2023,C+,4,8,In-person,false
EG34830,BUUU 100,COMPLETED,Spring2023,C-,3,4,In-person,false
EG34830,BLLL 100,COMPLETED,Spring2023,A,3,7,In-person,true
EG34830,BNNN 200,COMPLETED,Summer2023,C+,3,6,In-person,false
EG34830,BFFF 100-4,COMPLETED,Summer2023,C-,2,3,In-person,false
EG34830,CSVV 100,COMPLETED,Summer2023,C,3,8,Hybrid,false
EG34830,BQQQ 200,COMPLETED,Summer2023,B+,4,5,In-person,true
EG34830,BRRR 300,COMPLETED,Summer2023,C+,4,10,In-person,false
EG34830,BXXX 200,COMPLETED,Fall2023,B-,5,8,In-person,false
EG34830,BOOO 200,COMPLETED,Fall2023,B,1,7,In-person,true
EG34830,BFFF 300-2,COMPLETED,Fall2023,A-,2,6,In-person,true
EG34830,CSRR 300-6-7,COMPLETED,Fall2023,A-,4,7,Online,true
EG34830,BWWW 200,COMPLETED,Spring2024,B,3,8,In-person,true
EG34830,CSRR 400,COMPLETED,Spring2024,B,2,10,Hybrid,true
EG34830,BBBB 200,COMPLETED,Spring2024,B,4,7,In-person,true
EG34830,BNNN 200-7,COMPLETED,Spring2024,B+,5,7,In-person,false
EG34830,BEEE 300,COMPLETED,Summer2024,A,2,7,In-person,true
EG34830,CSDD 200,COMPLETED,Summer2024,A-,3,7,Online,true
QC89812,CSVV 100,COMPLETED,Summer2021,D+,3,6,In-person,false
QC89812,CSKK 200-4,COMPLETED,Summer2021,C,4,7,In-person,false
QC89812,BFFF 100,COMPLETED,Summer2021,A,3,3,Online,true
QC89812,CSKK 200,COMPLETED,Fall2021,A-,4,8,In-person,true
QC89812,BEEE 100,COMPLETED,Fall2021,C+,3,4,Hybrid,false
QC89812,CSYY 200-1,COMPLETED,Spring2022,C-,2,5,In-person,false
QC89812,CSOO 100,COMPLETED,Spring2022,A-,4,5,Online,true
QC89812,BBBB 100-3,COMPLETED,Spring2022,A,3,8,In-person,true
QC89812,BOOO 200-2,COMPLETED,Spring2022,C+,3,9,Online,false
QC89812,BUUU 100,COMPLETED,Spring2022,A-,3,3,In-person,true
QC89812,BFFF 100-4,COMPLETED,Summer2022,B-,2,3,In-person,false
QC89812,BEEE 200,COMPLETED,Summer2022,B-,3,6,In-person,false
QC89812,CSYY 200,COMPLETED,Fall2022,C-,3,6,Hybrid,false
QC89812,BUUU 300-4,COMPLETED,Spring2023,C+,2,8,Hybrid,false
QC89812,CSEE 200,COMPLETED,Spring2023,B+,4,8,In-person,true
QC89812,CSJJ 100,COMPLETED,Spring2023,C+,2,3,In-person,false
QC89812,CSOO 300,COMPLETED,Spring2023,A,3,7,In-person,true
QC89812,BMMM 200,COMPLETED,Summer2023,C,2,7,Online,false
QC89812,BKKK 300,COMPLETED,Fall2023,C+,3,11,In-person,false
QC89812,CSCC 300,COMPLETED,Fall2023,B,2,9,Online,true
QC89812,CSDD 200,COMPLETED,Fall2023,B,3,8,In-person,true
QC89812,CSZZ 200,COMPLETED,Spring2024,B,4,8,Hybrid,true
QC89812,BSSS 300,COMPLETED,Spring2024,C,3,5,In-person,false
QC89812,BWWW 200,COMPLETED,Spring2024,C,3,8,In-person,false
QC89812,BNNN 200-7,COMPLETED,Spring2024,A-,5,10,In-person,false
QC89812,CSAA 300-4,COMPLETED,Spring2024,B,4,7,In-person,true
QC89812,CSMM 100,COMPLETED,Summer2024,B+,2,7,In-person,true
QC89812,BBBB 200-9,COMPLETED,Summer2024,B+,3,5,In-person,true
QC89812,BFFF 100-4-1,COMPLETED,Summer2024,A,3,5,In-person,true
RN28954,BFFF 100-4,COMPLETED,Summer2024,A-,2,5,In-person,true
RN28954,CSVV 100,COMPLETED,Summer2024,C+,3,7,In-person,false
RN28954,CSYY 200,COMPLETED,Summer2024,A-,3,7,Online,true
RN28954,CSKK 200-4,COMPLETED,Summer2024,B,4,8,In-person,true
JP07985,BBBB 100-3,COMPLETED,Spring2023,A-,3,7,In-person,true
JP07985,BQQQ 200,COMPLETED,Summer2023,C+,4,6,In-person,false
JP07985,BMMM 200,COMPLETED,Summer2023,B,2,4,Online,true
JP07985,BFFF 100-4,COMPLETED,Summer2023,B-,2,3,In-person,false
JP07985,BFFF 100-4-1,COMPLETED,Summer2023,D+,3,5,In-person,false
JP07985,BLLL 100,COMPLETED,Fall2023,A,3,5,In-person,true
JP07985,BWWW 200,COMPLETED,Spring2024,A,3,5,In-person,true
JP07985,CSYY 200,COMPLETED,Spring2024,B,3,6,Hybrid,true
JP07985,CSEE 200,COMPLETED,Spring2024,B-,4,6,In-person,false
JP07985,BEEE 200,COMPLETED,Spring2024,B-,3,4,Online,false
JP07985,BFFF 100,COMPLETED,Summer2024,B+,3,6,Online,true
JP07985,CSNN 100,COMPLETED,Summer2024,C-,4,6,In-person,false
JP07985,BNNN 200,COMPLETED,Summer2024,A,3,8,Online,true
JP07985,CSKK 200-4,COMPLETED,Summer2024,C+,4,9,In-person,false
LU34231,CSYY 200-1,COMPLETED,Spring2021,B+,2,6,In-person,true
LU34231,CSDD 200,COMPLETED,Summer2021,B,3,7,Online,true
LU34231,CSOO 100,COMPLETED,Fall2021,B-,4,6,Online,false
LU34231,CSZZ 100,COMPLETED,Spring2022,C,2,6,In-person,false
LU34231,CSNN 100,COMPLETED,Spring2022,A-,4,6,Online,true
LU34231,BMMM 200,COMPLETED,Summer2022,W,2,5,In-person,false
LU34231,BLLL 100,COMPLETED,Fall2022,B,3,5,In-person,true
LU34231,BFFF 100,COMPLETED,Spring2023,C,3,4,In-person,false
LU34231,CSVV 100,COMPLETED,Summer2023,C,3,8,In-person,false
LU34231,CSKK 200-4,COMPLETED,Summer2023,C-,4,7,In-person,false
LU34231,CSKK 200,COMPLETED,Fall2023,B,4,11,In-person,true
LU34231,BSSS 100,COMPLETED,Fall2023,C-,2,4,Hybrid,false
LU34231,CSJJ 100,COMPLETED,Spring2024,C-,2,5,Online,false
LU34231,BBBB 100-3,COMPLETED,Summer2024,C+,3,7,Online,false
QA94276,CSNN 100,COMPLETED,Summer2024,B,4,7,In-person,true
QA94276,BBBB 100-3,COMPLETED,Summer2024,B-,3,5,Online,false
QA94276,BFFF 100-4-1,COMPLETED,Summer2024,D+,3,4,In-person,false
QA94276,BUUU 100,COMPLETED,Summer2024,B+,3,3,Online,true
QA94276,BFFF 100,COMPLETED,Summer2024,A-,3,5,In-person,true
RV71358,BBBB 100,COMPLETED,Spring2021,B+,2,4,In-person,true
RV71358,BLLL 100,COMPLETED,Spring2021,B-,3,6,In-person,false
RV71358,CSII 200,COMPLETED,Spring2021,A,4,6,In-person,true
RV71358,BMMM 200,COMPLETED,Summer2021,C+,2,6,Online,false
RV71358,BXXX 200,COMPLETED,Fall2021,A-,5,11,Hybrid,false
RV71358,BHHH 100,COMPLETED,Spring2022,B+,2,5,Online,true
RV71358,BFFF 100,COMPLETED,Summer2022,C,3,4,Hybrid,false
RV71358,BSSS 100,COMPLETED,Fall2022,A-,2,4,Hybrid,true
RV71358,BRRR 300,COMPLETED,Fall2022,B-,4,7,Online,false
RV71358,CSJJ 100,COMPLETED,Fall2022,A-,2,3,In-person,true
RV71358,CSKK 200,COMPLETED,Spring2023,B,4,9,In-person,true
RV71358,BYYY 200,COMPLETED,Spring2023,D,3,7,Hybrid,false
RV71358,CSDD 200,COMPLETED,Spring2023,A-,3,8,In-person,true
RV71358,BUUU 100,COMPLETED,Summer2023,A,3,6,Online,true
RV71358,CSVV 100,COMPLETED,Summer2023,A,3,5,Hybrid,true
RV71358,BEEE 200,COMPLETED,Fall2023,A,3,6,Online,true
RV71358,CSXX 100,COMPLETED,Fall2023,B,3,5,In-person,true
RV71358,BEEE 100,COMPLETED,Fall2023,A-,3,7,Hybrid,true
RV71358,CSOO 100,COMPLETED,Spring2024,C,4,4,Online,false
RV71358,BBBB 200-9,COMPLETED,Summer2024,B-,3,6,In-person,false
RV71358,BFFF 100-4-1,COMPLETED,Summer2024,B,3,8,In-person,true
LY59149,CSYY 200-1,COMPLETED,Spring2024,C-,2,5,In-person,false
LY59149,BEEE 200,COMPLETED,Summer2024,D,3,7,In-person,false
ND06932,CSKK 200-4,COMPLETED,Summer2023,B-,4,9,In-person,false
ND06932,CSMM 100,COMPLETED,Summer2023,B-,2,7,In-person,false
ND06932,CSZZ 100,COMPLETED,Fall2023,A,2,6,Online,true
ND06932,CSDD 200,COMPLETED,Spring2024,A-,3,7,Online,true
ND06932,CSEE 200,COMPLETED,Spring2024,B,4,8,In-person,true
ND06932,BEEE 200,COMPLETED,Spring2024,B-,3,5,In-person,false
ND06932,BFFF 100-4-1,COMPLETED,Summer2024,B-,3,6,In-person,false
ND06932,BMMM 200,COMPLETED,Summer2024,A-,2,8,In-person,true
YZ21491,CSZZ 100,COMPLETED,Spring2021,B+,2,6,In-person,true
YZ21491,BFFF 100-4-1,COMPLETED,Spring2021,A,3,5,In-person,true
YZ21491,BWWW 200,COMPLETED,Spring2021,B-,3,7,In-person,false
YZ21491,CSYY 200-1,COMPLETED,Spring2021,B-,2,7,In-person,false
YZ21491,BBBB 100,COMPLETED,Spring2021,A-,2,7,In-person,true
YZ21491,BEEE 200,COMPLETED,Summer2021,A-,3,5,In-person,true
YZ21491,CSXX 100,COMPLETED,Fall2021,D+,3,6,Online,false
YZ21491,BEEE 100,COMPLETED,Fall2021,A,3,5,Hybrid,true
YZ21491,BYYY 200,COMPLETED,Fall2021,A-,3,6,Hybrid,true
YZ21491,BFFF 100-4,COMPLETED,Fall2021,B-,2,3,In-person,false
YZ21491,CSEE 200,COMPLETED,Fall2021,B,4,8,In-person,true
YZ21491,BMMM 200,COMPLETED,Spring2022,A,2,7,Online,true
YZ21491,BHHH 100,COMPLETED,Spring2022,C,2,5,In-person,false
YZ21491,BUUU 100,COMPLETED,Summer2022,C+,3,5,In-person,false
YZ21491,CSMM 100,COMPLETED,Summer2022,B,2,6,In-person,true
YZ21491,BBBB 100-3,COMPLETED,Summer2022,A-,3,8,In-person,true
YZ21491,CSNN 100,COMPLETED,Summer2022,B,4,7,In-person,true
YZ21491,BFFF 100,COMPLETED,Fall2022,D+,3,6,Online,false
YZ21491,CSDD 200,COMPLETED,Fall2022,A,3,7,In-person,true
YZ21491,CSRR 300-6,COMPLETED,Fall2022,B,3,11,In-person,true
YZ21491,CSGG 300-8,COMPLETED,Fall2022,W,2,7,Online,false
YZ21491,BBBB 200-9,COMPLETED,Spring2023,B,3,7,In-person,true
YZ21491,BLLL 100,COMPLETED,Spring2023,C-,3,7,In-person,false
YZ21491,CSYY 200,COMPLETED,Summer2023,A-,3,6,Hybrid,true
YZ21491,BQQQ 200,COMPLETED,Summer2023,B+,4,5,In-person,true
YZ21491,BBBB 200,COMPLETED,Summer2023,A,4,5,In-person,true
YZ21491,CSKK 300,COMPLETED,Fall2023,A,3,10,In-person,true
YZ21491,CSRR 300-6-7,COMPLETED,Fall2023,A,4,11,Online,true
YZ21491,CSKK 200-4,COMPLETED,Fall2023,A,4,5,In-person,true
YZ21491,CSJJ 100-4,COMPLETED,Spring2024,B+,4,5,In-person,true
YZ21491,BJJJ 300,COMPLETED,Spring2024,B,2,4,Online,true
YZ21491,BUUU 300-4,COMPLETED,Spring2024,C-,2,8,In-person,false
YZ21491,BRRR 300,COMPLETED,Summer2024,A-,4,8,Online,true
YZ21491,BNNN 200,COMPLETED,Summer2024,B+,3,5,Hybrid,true
UV96616,CSDD 200,COMPLETED,Summer2024,A,3,8,Online,true
BG96650,BOOO 200-2,COMPLETED,Fall2022,A-,3,9,Online,true
BG96650,CSYY 200,COMPLETED,Spring2023,B+,3,6,In-person,true
BG96650,CSDD 200,COMPLETED,Summer2023,B,3,6,In-person,true
BG96650,BMMM 200,COMPLETED,Summer2023,A,2,5,Online,true
BG96650,BWWW 200,COMPLETED,Fall2023,A,3,6,In-person,true
BG96650,CSVV 100,COMPLETED,Spring2024,A,3,5,Hybrid,true
BG96650,BFFF 100-4-1,COMPLETED,Spring2024,A,3,6,Online,true
BG96650,BFFF 100,COMPLETED,Summer2024,D+,3,3,Online,false
JI57714,BFFF 100-4,COMPLETED,Fall2021,B,2,3,In-person,true
JI57714,BXXX 200,COMPLETED,Spring2022,D,5,12,Hybrid,false
JI57714,CSKK 200-4,COMPLETED,Spring2022,A-,4,8,In-person,true
JI57714,BFFF 100,COMPLETED,Summer2022,B-,3,6,Online,false
JI57714,BEEE 100,COMPLETED,Fall2022,C-,3,8,Online,false
JI57714,BKKK 300,COMPLETED,Spring2023,C+,3,10,Hybrid,false
JI57714,CSEE 200,COMPLETED,Spring2023,B,4,5,In-person,true
JI57714,CSJJ 100-4,COMPLETED,Spring2023,C,4,6,In-person,false
JI57714,BUUU 100,COMPLETED,Summer2023,A-,3,5,In-person,true
JI57714,BFFF 100-4-1,COMPLETED,Summer2023,A-,3,6,Hybrid,true
JI57714,BLLL 100,COMPLETED,Fall2023,B-,3,8,In-person,false
JI57714,BJJJ 300,COMPLETED,Spring2024,C+,2,6,Online,false
JI57714,CSOO 100,COMPLETED,Spring2024,B+,4,4,Online,true
JI57714,BWWW 200-2,COMPLETED,Spring2024,B,2,5,In-person,true
JI57714,CSNN 100,COMPLETED,Summer2024,F,4,5,In-person,false
JI57714,BEEE 200,COMPLETED,Summer2024,A-,3,7,In-person,true
PN35535,BEEE 100,COMPLETED,Fall2023,C,3,6,Online,false
PN35535,CSZZ 100,COMPLETED,Fall2023,D,2,5,Hybrid,false
PN35535,CSYY 200,COMPLETED,Fall2023,A-,3,5,Online,true
PN35535,CSMM 100,COMPLETED,Spring2024,D+,2,5,In-person,false
PN35535,CSOO 100,COMPLETED,Spring2024,B+,4,5,In-person,true
PN35535,CSKK 200,COMPLETED,Spring2024,C-,4,9,In-person,false
PN35535,CSNN 100,COMPLETED,Summer2024,A,4,6,In-person,true
PN35535,BFFF 100-4-1,COMPLETED,Summer2024,A,3,7,In-person,true
WK49977,CSXX 100,COMPLETED,Spring2021,B,3,5,In-person,true
WK49977,BXXX 200,COMPLETED,Spring2021,B+,5,9,Hybrid,false
WK49977,BEEE 200,COMPLETED,Spring2021,B+,3,7,Online,true
WK49977,CSKK 200-4,COMPLETED,Summer2021,C+,4,8,In-person,false
WK49977,CSJJ 100,COMPLETED,Fall2021,B,2,6,Online,true
WK49977,CSJJ 100-4,COMPLETED,Fall2021,C+,4,7,In-person,false
WK49977,CSMM 100,COMPLETED,Spring2022,B+,2,7,In-person,true
WK49977,CSYY 200-1,COMPLETED,Spring2022,C,2,8,In-person,false
WK49977,BMMM 200,COMPLETED,Spring2022,B,2,5,In-person,true
WK49977,CSGG 300-8,COMPLETED,Summer2022,A,2,6,Online,true
WK49977,CSDD 200,COMPLETED,Summer2022,B-,3,8,In-person,false
WK49977,BSSS 100,COMPLETED,Fall2022,B,2,3,In-person,true
WK49977,CSOO 100,COMPLETED,Spring2023,C-,4,4,Online,false
WK49977,BFFF 100,COMPLETED,Summer2023,C-,3,5,Online,false
WK49977,CSEE 200,COMPLETED,Fall2023,B+,4,8,In-person,true
WK49977,CSCC 300,COMPLETED,Fall2023,A,2,7,Online,true
WK49977,CSVV 200,COMPLETED,Fall2023,B,3,4,In-person,true
WK49977,BBBB 100-3,COMPLETED,Spring2024,B,3,6,In-person,true
WK49977,CSYY 200,COMPLETED,Spring2024,B+,3,5,Online,true
WK49977,CSII 200,COMPLETED,Spring2024,C+,4,7,In-person,false
WK49977,CSAA 200,COMPLETED,Summer2024,F,3,5,In-person,false
WK49977,BUUU 100,COMPLETED,Summer2024,A,3,6,Online,true
WK49977,BFFF 100-4-1,COMPLETED,Summer2024,A-,3,6,Hybrid,true
IK98346,CSJJ 100,COMPLETED,Fall2022,C,2,4,Online,false
IK98346,CSNN 100,COMPLETED,Fall2022,B+,4,5,In-person,true
IK98346,BMMM 200,COMPLETED,Fall2022,C-,2,7,Online,false
IK98346,CSZZ 100,COMPLETED,Fall2022,B+,2,7,Hybrid,true
IK98346,BBBB 100-3,COMPLETED,Spring2023,D,3,7,Online,false
IK98346,CSII 200,COMPLETED,Spring2023,C+,4,8,In-person,false
IK98346,BFFF 100,COMPLETED,Spring2023,B,3,5,Hybrid,true
IK98346,CSYY 200-1,COMPLETED,Spring2023,B-,2,7,In-person,false
IK98346,BFFF 100-4,COMPLETED,Summer2023,A,2,4,In-person,true
IK98346,BFFF 100-4-1,COMPLETED,Summer2023,A-,3,6,In-person,true
IK98346,BOOO 200-2,COMPLETED,Fall2023,C-,3,5,Online,false
IK98346,CSXX 100,COMPLETED,Spring2024,B-,3,6,Online,false
IK98346,BQQQ 200,COMPLETED,Summer2024,B,4,7,In-person,true
IK98346,CSVV 100,COMPLETED,Summer2024,C-,3,6,Hybrid,false
KK03739,CSEE 200,COMPLETED,Spring2021,B+,4,6,In-person,true
KK03739,CSDD 200,COMPLETED,Spring2021,C,3,8,Online,false
KK03739,BEEE 200,COMPLETED,Summer2021,B+,3,6,Online,true
KK03739,CSNN 100,COMPLETED,Summer2021,B-,4,8,Online,false
KK03739,CSII 200,COMPLETED,Fall2021,B+,4,5,In-person,true
KK03739,BFFF 100-4-1,COMPLETED,Fall2021,B,3,5,Online,true
KK03739,CSYY 200,COMPLETED,Spring2022,C,3,4,Online,false
KK03739,BFFF 100,COMPLETED,Summer2022,C-,3,5,Hybrid,false
KK03739,BKKK 300,COMPLETED,Fall2022,B,3,9,In-person,true
KK03739,BOOO 200-2,COMPLETED,Spring2023,A-,3,9,In-person,true
KK03739,BEEE 100,COMPLETED,Spring2023,A-,3,8,In-person,true
KK03739,CSMM 100,COMPLETED,Summer2023,B-,2,6,In-person,false
KK03739,CSKK 200-4,COMPLETED,Summer2023,A-,4,6,In-person,true
KK03739,BMMM 200,COMPLETED,Fall2023,B+,2,7,Online,true
KK03739,CSKK 200,COMPLETED,Spring2024,C-,4,9,In-person,false
KK03739,BBBB 200-9,COMPLETED,Summer2024,B-,3,5,In-person,false
KK03739,BBBB 100-3,COMPLETED,Summer2024,C+,3,6,In-person,false
IQ69155,CSNN 100,COMPLETED,Summer2021,W,4,6,In-person,false
IQ69155,BMMM 200,COMPLETED,Summer2021,B+,2,6,Online,true
IQ69155,CSYY 200,COMPLETED,Fall2021,A-,3,6,In-person,true
IQ69155,CSJJ 100-4,COMPLETED,Fall2021,F,4,8,In-person,false
IQ69155,BFFF 100-4,COMPLETED,Fall2021,C,2,4,In-person,false
IQ69155,CSRR 300-6-7,COMPLETED,Fall2021,C+,4,11,Online,false
IQ69155,BEEE 100,COMPLETED,Fall2021,B,3,5,Online,true
IQ69155,CSRR 400,COMPLETED,Spring2022,B-,2,10,In-person,false
IQ69155,BUUU 100,COMPLETED,Spring2022,A,3,4,In-person,true
IQ69155,BLLL 100,COMPLETED,Spring2022,B,3,5,In-person,true
IQ69155,BNNN 200,COMPLETED,Summer2022,B+,3,6,Hybrid,true
IQ69155,BBBB 200,COMPLETED,Summer2022,B-,4,6,In-person,false
IQ69155,BEEE 200,COMPLETED,Summer2022,A,3,5,Online,true
IQ69155,BFFF 100,COMPLETED,Summer2022,B-,3,4,Online,false
IQ69155,CSVV 100,COMPLETED,Summer2022,A-,3,6,Online,true
IQ69155,BXXX 200,COMPLETED,Fall2022,A,5,9,Hybrid,false
IQ69155,BBBB 200-9,COMPLETED,Fall2022,C,3,6,In-person,false
IQ69155,CSVV 200,COMPLETED,Spring2023,D,3,7,Hybrid,false
IQ69155,CSJJ 100,COMPLETED,Spring2023,D,2,5,Online,false
IQ69155,CSKK 200-4,COMPLETED,Summer2023,C,4,7,In-person,false
IQ69155,BFFF 100-4-1,COMPLETED,Summer2023,B-,3,6,Online,false
IQ69155,BSSS 100,COMPLETED,Fall2023,C-,2,3,In-person,false
IQ69155,BGGG 300-1,COMPLETED,Fall2023,B+,2,8,Online,true
IQ69155,CSKK 200,COMPLETED,Fall2023,A,4,11,In-person,true
IQ69155,BPPP 400,COMPLETED,Spring2024,C,2,9,In-person,false
IQ69155,CSMM 100,COMPLETED,Summer2024,D+,2,4,In-person,false
IQ69155,BBBB 100-3,COMPLETED,Summer2024,A,3,6,In-person,true
IQ69155,BFFF 300-2,COMPLETED,Summer2024,A-,2,5,Online,true
IQ69155,CSDD 200,COMPLETED,Summer2024,B-,3,10,Online,false
JT60023,CSMM 100,COMPLETED,Fall2022,B+,2,6,In-person,true
JT60023,CSVV 100,COMPLETED,Fall2022,B,3,6,Online,true
JT60023,BUUU 100,COMPLETED,Spring2023,D+,3,6,Online,false
JT60023,CSJJ 100,COMPLETED,Spring2023,B-,2,6,In-person,false
JT60023,BEEE 200,COMPLETED,Spring2023,B-,3,6,In-person,false
JT60023,CSOO 100,COMPLETED,Spring2023,B+,4,6,In-person,true
JT60023,BFFF 100,COMPLETED,Spring2023,B+,3,6,Online,true
JT60023,BFFF 100-4,COMPLETED,Summer2023,B,2,3,In-person,true
JT60023,CSNN 100,COMPLETED,Summer2023,B,4,6,In-person,true
JT60023,BMMM 200,COMPLETED,Summer2023,B,2,7,Online,true
JT60023,CSAA 200,COMPLETED,Summer2023,A,3,6,In-person,true
JT60023,BBBB 100-3,COMPLETED,Summer2023,A-,3,6,In-person,true
JT60023,CSZZ 100,COMPLETED,Fall2023,F,2,5,In-person,false
JT60023,BKKK 300,COMPLETED,Spring2024,B,3,11,In-person,true
JT60023,BLLL 100,COMPLETED,Spring2024,B+,3,5,In-person,true
JT60023,CSRR 300-6-7,COMPLETED,Spring2024,B+,4,9,Online,true
JT60023,BBBB 200,COMPLETED,Summer2024,C,4,5,Hybrid,false
JT60023,CSRR 400,COMPLETED,Summer2024,A-,2,7,Hybrid,true
VT29650,BFFF 100-4-1,COMPLETED,Spring2023,D,3,4,In-person,false
VT29650,CSDD 200,COMPLETED,Spring2023,A,3,6,Online,true
VT29650,CSNN 100,COMPLETED,Summer2023,C,4,5,In-person,false
