:START_ID(Student),:END_ID(Degree),:TYPE
UJ39627,BS-ComputerScience-1,PURSUING
OX00259,BS-ComputerScience-1,PURSUING
XN59291,BA-ComputerScience-2,PURSUING
XN59291,BS-Biology-1,PURSUING
FW93042,BS-Biology-1,PURSUING
DW48076,BA-Biology-2,PURSUING
UR13988,BA-ComputerScience-2,PURSUING
WE73015,BS-ComputerScience-1,PURSUING
YD98370,BS-Biology-1,PURSUING
BI54280,BS-Biology-1,PURSUING
MJ94243,BA-Biology-2,PURSUING
HJ69139,BS-Biology-1,PURSUING
DC45364,BA-Biology-2,PURSUING
OB61296,BA-Biology-2,PURSUING
TC12494,BA-Biology-2,PURSUING
KI59913,BS-ComputerScience-1,PURSUING
SZ03494,BS-Biology-1,PURSUING
NX25227,BA-ComputerScience-2,PURSUING
VZ59801,BS-ComputerScience-1,PURSUING
XI97692,BA-ComputerScience-2,PURSUING
TD41233,BA-ComputerScience-2,PURSUING
WD57286,BA-Biology-2,PURSUING
ZF98446,BA-ComputerScience-2,PURSUING
QQ60031,BS-Biology-1,PURSUING
QQ60031,BA-ComputerScience-2,PURSUING
FH58150,BA-Biology-2,PURSUING
PO25294,BA-ComputerScience-2,PURSUING
PE65742,BS-ComputerScience-1,PURSUING
PE65742,BS-Biology-1,PURSUING
HY15423,BA-ComputerScience-2,PURSUING
HY15423,BA-Biology-2,PURSUING
SJ51484,BA-ComputerScience-2,PURSUING
ES64836,BS-ComputerScience-1,PURSUING
RZ25271,BA-Biology-2,PURSUING
TO97483,BS-ComputerScience-1,PURSUING
TO97483,BS-Biology-1,PURSUING
IR65653,BS-Biology-1,PURSUING
LW44425,BS-Biology-1,PURSUING
BG39832,BS-ComputerScience-1,PURSUING
VA49867,BS-Biology-1,PURSUING
YC47807,BA-Biology-2,PURSUING
BY74112,BS-ComputerScience-1,PURSUING
SR01489,BA-ComputerScience-2,PURSUING
EG33172,BA-ComputerScience-2,PURSUING
ZK44547,BA-ComputerScience-2,PURSUING
ZK44547,BS-ComputerScience-1,PURSUING
TO83810,BA-Biology-2,PURSUING
BG57612,BS-ComputerScience-1,PURSUING
YJ48483,BS-ComputerScience-1,PURSUING
BU89813,BS-ComputerScience-1,PURSUING
PI39753,BS-Biology-1,PURSUING
QJ54510,BS-Biology-1,PURSUING
YS43543,BS-ComputerScience-1,PURSUING
YP21996,BA-ComputerScience-2,PURSUING
BH69521,BS-ComputerScience-1,PURSUING
YX25736,BA-ComputerScience-2,PURSUING
TG65306,BA-ComputerScience-2,PURSUING
SS69921,BS-Biology-1,PURSUING
DB96403,BA-Biology-2,PURSUING
AW60788,BA-ComputerScience-2,PURSUING
PT07244,BA-ComputerScience-2,PURSUING
HE65438,BS-Biology-1,PURSUING
PT53375,BS-Biology-1,PURSUING
RY90049,BS-Biology-1,PURSUING
DO92377,BA-ComputerScience-2,PURSUING
MK60048,BS-Biology-1,PURSUING
JM63799,BA-Biology-2,PURSUING
LF06366,BS-ComputerScience-1,PURSUING
HX34496,BS-Biology-1,PURSUING
GZ77459,BA-ComputerScience-2,PURSUING
SF03975,BA-ComputerScience-2,PURSUING
TY39274,BS-Biology-1,PURSUING
MT88823,BS-ComputerScience-1,PURSUING
XE47720,BA-Biology-2,PURSUING
WZ32012,BA-ComputerScience-2,PURSUING
EC58322,BA-ComputerScience-2,PURSUING
TG98195,BA-ComputerScience-2,PURSUING
DJ74178,BS-Biology-1,PURSUING
DJ74178,BA-Biology-2,PURSUING
FY05274,BA-Biology-2,PURSUING
VW09831,BA-ComputerScience-2,PURSUING
FM62039,BA-ComputerScience-2,PURSUING
FM62039,BS-Biology-1,PURSUING
DH09821,BA-ComputerScience-2,PURSUING
FY69191,BA-Biology-2,PURSUING
JE53160,BA-Biology-2,PURSUING
II56552,BA-ComputerScience-2,PURSUING
GS17000,BS-Biology-1,PURSUING
GS17000,BA-Biology-2,PURSUING
PB41726,BS-Biology-1,PURSUING
YL65813,BS-ComputerScience-1,PURSUING
WM00434,BA-ComputerScience-2,PURSUING
CA64586,BS-Biology-1,PURSUING
QU39200,BA-Biology-2,PURSUING
MT35085,BS-ComputerScience-1,PURSUING
SC53490,BA-ComputerScience-2,PURSUING
EE13756,BS-Biology-1,PURSUING
CY24226,BS-Biology-1,PURSUING
HD07658,BA-Biology-2,PURSUING
AC93731,BA-Biology-2,PURSUING
DJ81753,BS-ComputerScience-1,PURSUING
TS63551,BS-Biology-1,PURSUING
ZB72787,BA-Biology-2,PURSUING
IZ67278,BA-ComputerScience-2,PURSUING
PP70050,BA-ComputerScience-2,PURSUING
QG22242,BA-Biology-2,PURSUING
TW42275,BS-Biology-1,PURSUING
AW34826,BS-ComputerScience-1,PURSUING
VI06593,BS-Biology-1,PURSUING
IA41084,BA-Biology-2,PURSUING
RZ03987,BS-ComputerScience-1,PURSUING
AP32436,BS-Biology-1,PURSUING
KH81532,BA-ComputerScience-2,PURSUING
YO03512,BA-ComputerScience-2,PURSUING
FR69099,BS-Biology-1,PURSUING
MR93262,BA-Biology-2,PURSUING
JF32745,BA-Biology-2,PURSUING
SC35149,BA-ComputerScience-2,PURSUING
MM32449,BS-Biology-1,PURSUING
HU48348,BA-Biology-2,PURSUING
GI26278,BS-Biology-1,PURSUING
VQ79337,BS-Biology-1,PURSUING
OF32086,BS-ComputerScience-1,PURSUING
CP26945,BA-ComputerScience-2,PURSUING
KH69235,BA-ComputerScience-2,PURSUING
KH69235,BS-ComputerScience-1,PURSUING
TI12363,BS-Biology-1,PURSUING
XE46096,BA-ComputerScience-2,PURSUING
TC65363,BA-Biology-2,PURSUING
ML05631,BS-Biology-1,PURSUING
GW02967,BS-Biology-1,PURSUING
GW02967,BS-ComputerScience-1,PURSUING
JH11171,BS-ComputerScience-1,PURSUING
LI90466,BS-ComputerScience-1,PURSUING
VP22144,BA-ComputerScience-2,PURSUING
ER24493,BA-Biology-2,PURSUING
ER24493,BA-ComputerScience-2,PURSUING
GU63456,BS-ComputerScience-1,PURSUING
GB80796,BA-Biology-2,PURSUING
IL57368,BS-ComputerScience-1,PURSUING
MF18990,BS-ComputerScience-1,PURSUING
WM98905,BA-Biology-2,PURSUING
BH60325,BA-ComputerScience-2,PURSUING
XR19287,BS-ComputerScience-1,PURSUING
XR19287,BA-Biology-2,PURSUING
WV02126,BS-Biology-1,PURSUING
WV02126,BA-ComputerScience-2,PURSUING
GM34899,BA-ComputerScience-2,PURSUING
CA68181,BS-Biology-1,PURSUING
TV02774,BS-ComputerScience-1,PURSUING
GZ30027,BS-Biology-1,PURSUING
IT09463,BA-ComputerScience-2,PURSUING
NX90855,BA-ComputerScience-2,PURSUING
ZM86590,BA-Biology-2,PURSUING
OC03480,BA-Biology-2,PURSUING
VQ63608,BS-ComputerScience-1,PURSUING
VQ63608,BS-Biology-1,PURSUING
HL33920,BS-Biology-1,PURSUING
XB33746,BS-ComputerScience-1,PURSUING
NB47891,BS-ComputerScience-1,PURSUING
DB17186,BS-ComputerScience-1,PURSUING
WD22720,BA-ComputerScience-2,PURSUING
JZ42568,BS-Biology-1,PURSUING
HF53129,BA-ComputerScience-2,PURSUING
SB94683,BS-ComputerScience-1,PURSUING
TG23068,BA-ComputerScience-2,PURSUING
EH32394,BS-Biology-1,PURSUING
NZ52188,BS-ComputerScience-1,PURSUING
NZ52188,BA-ComputerScience-2,PURSUING
FE39595,BA-Biology-2,PURSUING
PT39830,BA-ComputerScience-2,PURSUING
GQ22124,BA-ComputerScience-2,PURSUING
ZT52878,BS-Biology-1,PURSUING
QX70883,BS-ComputerScience-1,PURSUING
EE38529,BS-Biology-1,PURSUING
RP97086,BS-ComputerScience-1,PURSUING
IG83530,BS-ComputerScience-1,PURSUING
NY16190,BS-Biology-1,PURSUING
NG33669,BS-ComputerScience-1,PURSUING
QT20931,BA-ComputerScience-2,PURSUING
IL37355,BS-ComputerScience-1,PURSUING
SC46150,BS-ComputerScience-1,PURSUING
VR26315,BS-ComputerScience-1,PURSUING
GG16391,BA-ComputerScience-2,PURSUING
MI78477,BA-ComputerScience-2,PURSUING
CU99187,BA-ComputerScience-2,PURSUING
CU99187,BS-Biology-1,PURSUING
KR35213,BS-ComputerScience-1,PURSUING
RK57915,BS-Biology-1,PURSUING
SG38138,BA-ComputerScience-2,PURSUING
HW79751,BA-ComputerScience-2,PURSUING
YD32426,BS-Biology-1,PURSUING
YD32426,BS-ComputerScience-1,PURSUING
VD72923,BA-Biology-2,PURSUING
WK02572,BA-ComputerScience-2,PURSUING
IU38472,BS-ComputerScience-1,PURSUING
QY70161,BS-ComputerScience-1,PURSUING
JG25721,BA-ComputerScience-2,PURSUING
JG25721,BS-ComputerScience-1,PURSUING
MN68352,BA-Biology-2,PURSUING
OE02472,BA-Biology-2,PURSUING
CM83030,BA-ComputerScience-2,PURSUING
TK96237,BA-Biology-2,PURSUING
FI40678,BS-Biology-1,PURSUING
CY51450,BA-ComputerScience-2,PURSUING
NZ64391,BS-ComputerScience-1,PURSUING
IQ88011,BA-Biology-2,PURSUING
UE41342,BS-Biology-1,PURSUING
DT65721,BA-ComputerScience-2,PURSUING
AL52206,BA-Biology-2,PURSUING
CM57292,BS-Biology-1,PURSUING
HY58388,BS-Biology-1,PURSUING
UU66077,BA-ComputerScience-2,PURSUING
HC89216,BA-ComputerScience-2,PURSUING
FE73591,BA-Biology-2,PURSUING
FN76576,BS-ComputerScience-1,PURSUING
LQ33404,BA-Biology-2,PURSUING
SK84059,BS-Biology-1,PURSUING
IT08536,BA-ComputerScience-2,PURSUING
LW80116,BA-ComputerScience-2,PURSUING
IZ12525,BS-Biology-1,PURSUING
YF89998,BS-Biology-1,PURSUING
SK03217,BS-Biology-1,PURSUING
HI69027,BS-Biology-1,PURSUING
HI69027,BA-ComputerScience-2,PURSUING
MG74007,BS-Biology-1,PURSUING
NK31822,BS-ComputerScience-1,PURSUING
VY95555,BA-Biology-2,PURSUING
VY95555,BS-Biology-1,PURSUING
JB14114,BA-Biology-2,PURSUING
OO07376,BS-Biology-1,PURSUING
ZK56915,BS-ComputerScience-1,PURSUING
MX60432,BS-Biology-1,PURSUING
OL33726,BS-Biology-1,PURSUING
WS50710,BS-ComputerScience-1,PURSUING
UZ31365,BS-ComputerScience-1,PURSUING
HN15580,BA-ComputerScience-2,PURSUING
WU31620,BA-ComputerScience-2,PURSUING
DX26721,BS-ComputerScience-1,PURSUING
FL71387,BS-Biology-1,PURSUING
KA28264,BA-Biology-2,PURSUING
QR32776,BA-Biology-2,PURSUING
QN19688,BS-Biology-1,PURSUING
WJ04944,BS-ComputerScience-1,PURSUING
WJ04944,BA-Biology-2,PURSUING
ZD39560,BA-ComputerScience-2,PURSUING
MQ26631,BA-Biology-2,PURSUING
WW37078,BS-Biology-1,PURSUING
WI72953,BA-Biology-2,PURSUING
QT04543,BS-Biology-1,PURSUING
KN25150,BS-ComputerScience-1,PURSUING
ID88896,BA-ComputerScience-2,PURSUING
BI74524,BA-ComputerScience-2,PURSUING
ZB17066,BA-ComputerScience-2,PURSUING
KK78622,BS-Biology-1,PURSUING
KK78622,BA-Biology-2,PURSUING
ZP35243,BA-Biology-2,PURSUING
XJ93801,BA-ComputerScience-2,PURSUING
XJ93801,BS-ComputerScience-1,PURSUING
PE81878,BA-ComputerScience-2,PURSUING
PR16532,BA-Biology-2,PURSUING
AK10460,BA-Biology-2,PURSUING
HO95108,BA-ComputerScience-2,PURSUING
AK53068,BA-Biology-2,PURSUING
OD41035,BS-Biology-1,PURSUING
FG35902,BA-Biology-2,PURSUING
BU92698,BA-ComputerScience-2,PURSUING
WS84934,BS-Biology-1,PURSUING
AE85562,BS-ComputerScience-1,PURSUING
VS85013,BS-Biology-1,PURSUING
EM51414,BS-ComputerScience-1,PURSUING
GQ32569,BS-ComputerScience-1,PURSUING
FU63836,BS-ComputerScience-1,PURSUING
NB59956,BA-ComputerScience-2,PURSUING
XT21265,BA-ComputerScience-2,PURSUING
RE86785,BS-Biology-1,PURSUING
LQ71329,BA-ComputerScience-2,PURSUING
FX20046,BS-Biology-1,PURSUING
FX20046,BS-ComputerScience-1,PURSUING
YO43243,BA-ComputerScience-2,PURSUING
OK55448,BS-Biology-1,PURSUING
KJ80599,BA-ComputerScience-2,PURSUING
KO53012,BS-Biology-1,PURSUING
SX34576,BS-ComputerScience-1,PURSUING
GT80247,BS-Biology-1,PURSUING
KN80663,BA-Biology-2,PURSUING
PU57587,BS-Biology-1,PURSUING
PU57587,BA-Biology-2,PURSUING
IU80509,BS-ComputerScience-1,PURSUING
IS25553,BS-Biology-1,PURSUING
JR83290,BS-Biology-1,PURSUING
JR83290,BS-ComputerScience-1,PURSUING
KZ21179,BS-ComputerScience-1,PURSUING
EW62916,BS-Biology-1,PURSUING
SI63142,BS-ComputerScience-1,PURSUING
FS13544,BA-ComputerScience-2,PURSUING
QZ14534,BA-ComputerScience-2,PURSUING
VQ81913,BS-Biology-1,PURSUING
VQ81913,BA-ComputerScience-2,PURSUING
XG68854,BA-Biology-2,PURSUING
BJ86542,BA-ComputerScience-2,PURSUING
WQ41021,BS-Biology-1,PURSUING
TR47137,BA-Biology-2,PURSUING
DU51911,BA-ComputerScience-2,PURSUING
JM07791,BS-Biology-1,PURSUING
WG60030,BS-Biology-1,PURSUING
IC43895,BS-Biology-1,PURSUING
MO16135,BS-Biology-1,PURSUING
CW69531,BA-ComputerScience-2,PURSUING
TA41630,BA-Biology-2,PURSUING
GM76220,BS-ComputerScience-1,PURSUING
NJ55375,BS-Biology-1,PURSUING
CR57694,BS-Biology-1,PURSUING
VS55317,BA-ComputerScience-2,PURSUING
OY69684,BS-ComputerScience-1,PURSUING
MQ72273,BS-Biology-1,PURSUING
MD67814,BA-Biology-2,PURSUING
WU06122,BS-ComputerScience-1,PURSUING
JH06745,BA-ComputerScience-2,PURSUING
JE79387,BS-ComputerScience-1,PURSUING
OC67432,BS-Biology-1,PURSUING
IJ88204,BS-ComputerScience-1,PURSUING
WS89200,BS-ComputerScience-1,PURSUING
PU04531,BA-ComputerScience-2,PURSUING
XY09118,BA-ComputerScience-2,PURSUING
VQ15105,BS-Biology-1,PURSUING
KO34569,BA-ComputerScience-2,PURSUING
TF01851,BS-Biology-1,PURSUING
EH17730,BS-ComputerScience-1,PURSUING
VP24826,BS-ComputerScience-1,PURSUING
QL80482,BS-Biology-1,PURSUING
KN37201,BA-ComputerScience-2,PURSUING
XA41422,BA-ComputerScience-2,PURSUING
DQ20127,BS-Biology-1,PURSUING
NL09107,BS-ComputerScience-1,PURSUING
PA21106,BS-ComputerScience-1,PURSUING
PA21106,BA-ComputerScience-2,PURSUING
AT58953,BS-ComputerScience-1,PURSUING
AT58953,BA-ComputerScience-2,PURSUING
WB93965,BS-Biology-1,PURSUING
SG92514,BS-Biology-1,PURSUING
EF98425,BA-Biology-2,PURSUING
YX71432,BS-Biology-1,PURSUING
WW47868,BS-ComputerScience-1,PURSUING
XM15226,BA-ComputerScience-2,PURSUING
JU08367,BA-ComputerScience-2,PURSUING
BD62719,BA-ComputerScience-2,PURSUING
XO44507,BA-ComputerScience-2,PURSUING
DK15450,BS-Biology-1,PURSUING
WF42383,BS-Biology-1,PURSUING
HZ97157,BA-ComputerScience-2,PURSUING
LT48382,BA-Biology-2,PURSUING
LO20555,BA-Biology-2,PURSUING
PI19318,BA-Biology-2,PURSUING
PG60281,BA-Biology-2,PURSUING
PG60281,BS-Biology-1,PURSUING
MW40082,BS-ComputerScience-1,PURSUING
OD42541,BS-Biology-1,PURSUING
ZU85236,BS-Biology-1,PURSUING
GI65613,BA-Biology-2,PURSUING
OQ44840,BS-ComputerScience-1,PURSUING
WH04033,BA-Biology-2,PURSUING
UZ01778,BS-Biology-1,PURSUING
UZ01778,BA-Biology-2,PURSUING
XN27764,BS-Biology-1,PURSUING
AZ61247,BS-ComputerScience-1,PURSUING
XK65524,BS-Biology-1,PURSUING
FM12378,BA-ComputerScience-2,PURSUING
FM12378,BS-Biology-1,PURSUING
VL36938,BS-ComputerScience-1,PURSUING
ZY75863,BA-Biology-2,PURSUING
ZY75863,BA-ComputerScience-2,PURSUING
BT48904,BS-Biology-1,PURSUING
DN03642,BA-Biology-2,PURSUING
FY75087,BS-Biology-1,PURSUING
TC31207,BS-ComputerScience-1,PURSUING
JQ80217,BA-Biology-2,PURSUING
YM74679,BA-Biology-2,PURSUING
OC97848,BA-ComputerScience-2,PURSUING
PF08802,BA-Biology-2,PURSUING
PF08802,BA-ComputerScience-2,PURSUING
AA51648,BA-Biology-2,PURSUING
DN92985,BS-ComputerScience-1,PURSUING
OS49291,BA-Biology-2,PURSUING
ZE00374,BS-ComputerScience-1,PURSUING
UK95090,BS-Biology-1,PURSUING
UK95090,BS-ComputerScience-1,PURSUING
VG91971,BS-Biology-1,PURSUING
SJ78536,BA-ComputerScience-2,PURSUING
AJ92700,BA-Biology-2,PURSUING
JF99029,BA-Biology-2,PURSUING
IW41450,BS-Biology-1,PURSUING
XO13549,BS-ComputerScience-1,PURSUING
MU64758,BS-ComputerScience-1,PURSUING
WB90336,BS-Biology-1,PURSUING
AE64785,BA-Biology-2,PURSUING
CG69223,BS-Biology-1,PURSUING
CG69223,BA-Biology-2,PURSUING
TJ95461,BA-Biology-2,PURSUING
YL43044,BA-ComputerScience-2,PURSUING
LU76052,BS-ComputerScience-1,PURSUING
LU76052,BS-Biology-1,PURSUING
ML24720,BA-ComputerScience-2,PURSUING
WF66098,BA-Biology-2,PURSUING
QZ03697,BS-ComputerScience-1,PURSUING
QZ03697,BS-Biology-1,PURSUING
ZO58358,BS-Biology-1,PURSUING
QS14806,BA-Biology-2,PURSUING
GM10792,BA-ComputerScience-2,PURSUING
HQ39099,BS-Biology-1,PURSUING
TP19542,BA-ComputerScience-2,PURSUING
FS86092,BS-Biology-1,PURSUING
SW73040,BA-ComputerScience-2,PURSUING
MK29528,BS-ComputerScience-1,PURSUING
MK29528,BA-Biology-2,PURSUING
RX04008,BS-ComputerScience-1,PURSUING
KX79201,BS-ComputerScience-1,PURSUING
KG31369,BA-ComputerScience-2,PURSUING
ZW77948,BA-ComputerScience-2,PURSUING
ZW77948,BS-Biology-1,PURSUING
MN90459,BS-Biology-1,PURSUING
TW35854,BS-Biology-1,PURSUING
EA68520,BA-ComputerScience-2,PURSUING
FE27724,BS-Biology-1,PURSUING
ZG40127,BA-ComputerScience-2,PURSUING
HY00945,BA-ComputerScience-2,PURSUING
DD35652,BA-ComputerScience-2,PURSUING
MG61383,BS-Biology-1,PURSUING
MX44765,BS-ComputerScience-1,PURSUING
AI62046,BA-Biology-2,PURSUING
MA14273,BA-ComputerScience-2,PURSUING
LY65659,BS-ComputerScience-1,PURSUING
QI49797,BA-Biology-2,PURSUING
UB62958,BA-Biology-2,PURSUING
VU22493,BA-Biology-2,PURSUING
VP13892,BA-Biology-2,PURSUING
IS84479,BA-Biology-2,PURSUING
IO58156,BA-Biology-2,PURSUING
IO58156,BA-ComputerScience-2,PURSUING
WB63283,BA-ComputerScience-2,PURSUING
DI09528,BS-ComputerScience-1,PURSUING
