:START_ID(Student),:END_ID(Course),:TYPE
ZA81303,BJJJ 300,ENROLLED_IN
ZA81303,CSOO 100,ENROLLED_IN
ZA81303,BOOO 200,ENROLLED_IN
JZ76423,CSEE 200,ENROLLED_IN
JZ76423,BWWW 200-2,ENROLLED_IN
JZ76423,CSYY 200,ENROLLED_IN
JZ76423,CSMM 100,ENROLLED_IN
LM62974,BKKK 300,ENROLLED_IN
LM62974,BQQQ 200,ENROLLED_IN
LM62974,BSSS 300,ENROLLED_IN
LM62974,BRRR 300,ENROLLED_IN
LM62974,CSII 200,ENROLLED_IN
KZ59336,BUUU 100,ENROLLED_IN
KZ59336,CSEE 200,ENROLLED_IN
HN44844,BFFF 100-4-1,ENROLLED_IN
HN44844,CSKK 200-4,ENROLLED_IN
HN44844,BLLL 100,ENROLLED_IN
XM54484,BEEE 100,ENROLLED_IN
XM54484,CSJJ 100-4,ENROLLED_IN
JU19896,BSSS 300,ENROLLED_IN
GU21926,CSKK 200,ENROLLED_IN
GU21926,BMMM 200,ENROLLED_IN
GU21926,BSSS 100,ENROLLED_IN
RH19879,BBBB 100,ENROLLED_IN
RH19879,CSJJ 100,ENROLLED_IN
RH19879,CSOO 100,ENROLLED_IN
RH19879,BBBB 100-3,ENROLLED_IN
RH19879,CSYY 200-1,ENROLLED_IN
ZH45186,CSRR 300-6-7,ENROLLED_IN
ZH45186,CSOO 100,ENROLLED_IN
SE52755,CSMM 100,ENROLLED_IN
SE52755,CSYY 200-1,ENROLLED_IN
SE52755,BLLL 100,ENROLLED_IN
SE52755,BEEE 200,ENROLLED_IN
SE52755,CSKK 200-4,ENROLLED_IN
UB91751,BNNN 200-7,ENROLLED_IN
UB91751,CSKK 200-4,ENROLLED_IN
UB91751,BLLL 100,ENROLLED_IN
IY00778,CSJJ 100-4,ENROLLED_IN
TT50674,CSKK 200,ENROLLED_IN
TT50674,BNNN 200-7,ENROLLED_IN
TT50674,BJJJ 300,ENROLLED_IN
AT04654,BBBB 200-9,ENROLLED_IN
AT04654,CSOO 300,ENROLLED_IN
AX59416,CSRR 300-6-7,ENROLLED_IN
AX59416,CSKK 300,ENROLLED_IN
AX59416,BFFF 300-2,ENROLLED_IN
AX59416,CSOO 100,ENROLLED_IN
ZX23568,CSYY 200-1,ENROLLED_IN
YX06245,CSVV 100,ENROLLED_IN
YX06245,CSZZ 100,ENROLLED_IN
VD69513,CSII 200,ENROLLED_IN
VD69513,BXXX 200,ENROLLED_IN
RQ97671,CSXX 100,ENROLLED_IN
RQ97671,CSJJ 100-4,ENROLLED_IN
DG39697,CSDD 200,ENROLLED_IN
HN60547,BEEE 100,ENROLLED_IN
HN60547,BFFF 100-4,ENROLLED_IN
EH57320,CSJJ 100,ENROLLED_IN
EH57320,BBBB 100,ENROLLED_IN
EH57320,CSYY 200-1,ENROLLED_IN
TY50210,BBBB 100,ENROLLED_IN
TY50210,BBBB 100-3,ENROLLED_IN
YA05268,CSYY 200-1,ENROLLED_IN
NH76145,BQQQ 300,ENROLLED_IN
NH76145,CSKK 200,ENROLLED_IN
NH76145,BGGG 300-1,ENROLLED_IN
ZB31672,CSJJ 100-4,ENROLLED_IN
ZB31672,CSRR 300-6-7,ENROLLED_IN
CW80287,CSYY 200,ENROLLED_IN
CW80287,BBBB 100,ENROLLED_IN
NL97742,CSYY 200-1,ENROLLED_IN
IA87973,BXXX 200,ENROLLED_IN
IA87973,CSYY 200,ENROLLED_IN
IA87973,BMMM 200,ENROLLED_IN
IA87973,CSII 200,ENROLLED_IN
IA87973,BHHH 100,ENROLLED_IN
CA37264,BWWW 200,ENROLLED_IN
CA37264,BFFF 100-4-1,ENROLLED_IN
CA37264,BEEE 100,ENROLLED_IN
CA37264,BLLL 100,ENROLLED_IN
CA37264,CSII 200,ENROLLED_IN
NA49258,CSII 200,ENROLLED_IN
VG44673,CSZZ 200,ENROLLED_IN
FO42213,CSUU 200,ENROLLED_IN
FO42213,BMMM 200,ENROLLED_IN
FO42213,CSKK 200-4,ENROLLED_IN
CB21150,CSJJ 100,ENROLLED_IN
DG79155,CSOO 100,ENROLLED_IN
DG79155,BHHH 100,ENROLLED_IN
DG79155,BJJJ 300,ENROLLED_IN
DG79155,BEEE 200,ENROLLED_IN
DM07361,CSYY 200,ENROLLED_IN
CK72745,CSVV 100,ENROLLED_IN
CK72745,BEEE 100,ENROLLED_IN
RZ35866,BHHH 100,ENROLLED_IN
RZ35866,BSSS 100,ENROLLED_IN
UJ39627,BTTT 300,ENROLLED_IN
UJ39627,BOOO 200,ENROLLED_IN
UJ39627,BNNN 200-7,ENROLLED_IN
UJ39627,CSKK 200,ENROLLED_IN
OX00259,CSDD 200,ENROLLED_IN
XN59291,CSDD 200,ENROLLED_IN
XN59291,CSII 200,ENROLLED_IN
FW93042,BBBB 200-9,ENROLLED_IN
FW93042,BLLL 100,ENROLLED_IN
FW93042,BSSS 100,ENROLLED_IN
DW48076,CSKK 200-4,ENROLLED_IN
DW48076,BSSS 100,ENROLLED_IN
DW48076,CSOO 100,ENROLLED_IN
UR13988,BCCC 200,ENROLLED_IN
UR13988,CSAA 300-4,ENROLLED_IN
UR13988,CSOO 300,ENROLLED_IN
UR13988,CSXX 100,ENROLLED_IN
UR13988,CSJJ 100,ENROLLED_IN
WE73015,BFFF 100,ENROLLED_IN
WE73015,BQQQ 300-9,ENROLLED_IN
MJ94243,BWWW 200,ENROLLED_IN
MJ94243,CSDD 200,ENROLLED_IN
HJ69139,CSKK 200,ENROLLED_IN
HJ69139,BSSS 100,ENROLLED_IN
DC45364,BWWW 200-2,ENROLLED_IN
DC45364,BBBB 100-3,ENROLLED_IN
DC45364,CSRR 300-6-7,ENROLLED_IN
DC45364,BUUU 100,ENROLLED_IN
OB61296,CSKK 200,ENROLLED_IN
OB61296,BWWW 200-2,ENROLLED_IN
OB61296,CSEE 200,ENROLLED_IN
OB61296,BUUU 100,ENROLLED_IN
TC12494,CSYY 200-1,ENROLLED_IN
TC12494,CSOO 100,ENROLLED_IN
KI59913,CSMM 100,ENROLLED_IN
KI59913,BMMM 200,ENROLLED_IN
SZ03494,BLLL 100,ENROLLED_IN
SZ03494,CSOO 100,ENROLLED_IN
SZ03494,BFFF 100-4-1,ENROLLED_IN
SZ03494,CSJJ 100,ENROLLED_IN
SZ03494,BUUU 100,ENROLLED_IN
NX25227,CSZZ 200,ENROLLED_IN
NX25227,CSAA 200,ENROLLED_IN
NX25227,CSOO 300,ENROLLED_IN
NX25227,CSCC 300,ENROLLED_IN
VZ59801,BSSS 100,ENROLLED_IN
XI97692,BSSS 100,ENROLLED_IN
XI97692,CSJJ 100-4,ENROLLED_IN
XI97692,CSNN 100,ENROLLED_IN
TD41233,CSEE 200,ENROLLED_IN
TD41233,CSXX 100,ENROLLED_IN
WD57286,BUUU 100,ENROLLED_IN
ZF98446,BHHH 100,ENROLLED_IN
ZF98446,CSJJ 100,ENROLLED_IN
ZF98446,BBBB 100-3,ENROLLED_IN
ZF98446,CSXX 100,ENROLLED_IN
FH58150,BWWW 200-2,ENROLLED_IN
FH58150,CSMM 100,ENROLLED_IN
FH58150,BLLL 100,ENROLLED_IN
PO25294,BOOO 200,ENROLLED_IN
PO25294,CSII 200,ENROLLED_IN
PE65742,CSYY 200,ENROLLED_IN
PE65742,BWWW 200,ENROLLED_IN
HY15423,BBBB 100,ENROLLED_IN
SJ51484,CSEE 200,ENROLLED_IN
RZ25271,BCCC 200,ENROLLED_IN
RZ25271,BWWW 200,ENROLLED_IN
RZ25271,BKKK 300,ENROLLED_IN
TO97483,BSSS 100,ENROLLED_IN
TO97483,BFFF 100-4-1,ENROLLED_IN
IR65653,CSYY 200,ENROLLED_IN
IR65653,BHHH 100,ENROLLED_IN
LW44425,CSII 200,ENROLLED_IN
VA49867,BBBB 100-3,ENROLLED_IN
VA49867,CSJJ 100-4,ENROLLED_IN
VA49867,BNNN 200-7,ENROLLED_IN
YC47807,BHHH 100,ENROLLED_IN
BY74112,BEEE 100,ENROLLED_IN
BY74112,CSZZ 100,ENROLLED_IN
BY74112,CSJJ 100-4,ENROLLED_IN
SR01489,CSJJ 100,ENROLLED_IN
SR01489,CSOO 100,ENROLLED_IN
EG33172,CSJJ 100,ENROLLED_IN
EG33172,CSEE 200,ENROLLED_IN
ZK44547,CSYY 200-1,ENROLLED_IN
ZK44547,BOOO 200-2,ENROLLED_IN
TO83810,BFFF 100-4,ENROLLED_IN
TO83810,CSDD 200,ENROLLED_IN
TO83810,BWWW 200,ENROLLED_IN
TO83810,BUUU 100,ENROLLED_IN
BG57612,CSOO 100,ENROLLED_IN
YJ48483,BBBB 100,ENROLLED_IN
BU89813,BBBB 100,ENROLLED_IN
BU89813,BFFF 100-4-1,ENROLLED_IN
PI39753,CSII 200,ENROLLED_IN
PI39753,BOOO 200-2,ENROLLED_IN
PI39753,CSDD 200,ENROLLED_IN
QJ54510,BBBB 100,ENROLLED_IN
QJ54510,BFFF 100,ENROLLED_IN
QJ54510,CSXX 100,ENROLLED_IN
YS43543,CSII 200,ENROLLED_IN
YS43543,BFFF 100,ENROLLED_IN
YS43543,BEEE 200,ENROLLED_IN
YS43543,CSJJ 100,ENROLLED_IN
YS43543,CSVV 100,ENROLLED_IN
YP21996,BKKK 300,ENROLLED_IN
YP21996,CSGG 300-8,ENROLLED_IN
YP21996,BXXX 200,ENROLLED_IN
YX25736,CSJJ 100,ENROLLED_IN
YX25736,CSVV 100,ENROLLED_IN
YX25736,CSNN 100,ENROLLED_IN
YX25736,CSZZ 100,ENROLLED_IN
YX25736,CSDD 200,ENROLLED_IN
TG65306,BOOO 200-2,ENROLLED_IN
TG65306,CSYY 200-1,ENROLLED_IN
SS69921,CSJJ 100,ENROLLED_IN
SS69921,CSYY 200,ENROLLED_IN
SS69921,CSKK 200,ENROLLED_IN
DB96403,CSDD 200,ENROLLED_IN
DB96403,CSEE 200,ENROLLED_IN
PT07244,CSKK 200-4,ENROLLED_IN
PT53375,CSZZ 100,ENROLLED_IN
RY90049,CSJJ 100-4,ENROLLED_IN
RY90049,CSAA 300-2,ENROLLED_IN
DO92377,CSAA 300,ENROLLED_IN
MK60048,BEEE 200,ENROLLED_IN
MK60048,BFFF 100-4,ENROLLED_IN
MK60048,CSNN 100,ENROLLED_IN
MK60048,BFFF 100,ENROLLED_IN
JM63799,CSEE 200,ENROLLED_IN
JM63799,CSAA 300-2,ENROLLED_IN
JM63799,CSYY 200-1,ENROLLED_IN
LF06366,BFFF 100-4,ENROLLED_IN
GZ77459,CSMM 100,ENROLLED_IN
SF03975,CSKK 200,ENROLLED_IN
SF03975,CSJJ 100,ENROLLED_IN
SF03975,CSDD 200,ENROLLED_IN
TY39274,CSJJ 100,ENROLLED_IN
MT88823,BFFF 100,ENROLLED_IN
MT88823,CSJJ 100-4,ENROLLED_IN
MT88823,BBBB 100,ENROLLED_IN
MT88823,BBBB 100-3,ENROLLED_IN
MT88823,CSKK 200,ENROLLED_IN
XE47720,CSEE 200,ENROLLED_IN
XE47720,CSPP 200,ENROLLED_IN
WZ32012,BCCC 200,ENROLLED_IN
WZ32012,CSEE 200,ENROLLED_IN
WZ32012,BQQQ 300,ENROLLED_IN
WZ32012,BXXX 200,ENROLLED_IN
EC58322,BFFF 100-4,ENROLLED_IN
EC58322,CSYY 200-1,ENROLLED_IN
DJ74178,CSZZ 100,ENROLLED_IN
FY05274,BEEE 200,ENROLLED_IN
FY05274,CSJJ 100,ENROLLED_IN
FY05274,CSOO 100,ENROLLED_IN
FY05274,BOOO 200-2,ENROLLED_IN
VW09831,BPPP 400,ENROLLED_IN
VW09831,CSYY 200-1,ENROLLED_IN
VW09831,BYYY 200,ENROLLED_IN
FM62039,BCCC 200,ENROLLED_IN
FM62039,BGGG 300-1,ENROLLED_IN
DH09821,BFFF 100,ENROLLED_IN
DH09821,CSXX 100,ENROLLED_IN
DH09821,BBBB 200,ENROLLED_IN
FY69191,CSOO 100,ENROLLED_IN
JE53160,CSYY 200,ENROLLED_IN
JE53160,BEEE 200,ENROLLED_IN
JE53160,BXXX 200,ENROLLED_IN
JE53160,BMMM 200,ENROLLED_IN
II56552,CSZZ 200,ENROLLED_IN
II56552,CSRR 300-6-7,ENROLLED_IN
II56552,CSPP 200,ENROLLED_IN
GS17000,CSII 200,ENROLLED_IN
GS17000,BXXX 200,ENROLLED_IN
GS17000,BBBB 100,ENROLLED_IN
PB41726,CSYY 200-1,ENROLLED_IN
PB41726,BBBB 100,ENROLLED_IN
YL65813,BSSS 300,ENROLLED_IN
YL65813,BUUU 300-4,ENROLLED_IN
YL65813,BSSS 100,ENROLLED_IN
YL65813,CSGG 300-8,ENROLLED_IN
WM00434,BHHH 100,ENROLLED_IN
WM00434,CSCC 300,ENROLLED_IN
WM00434,CSJJ 100,ENROLLED_IN
CA64586,CSVV 200,ENROLLED_IN
CA64586,BBBB 100,ENROLLED_IN
QU39200,BQQQ 300,ENROLLED_IN
QU39200,CSII 200,ENROLLED_IN
MT35085,BLLL 100,ENROLLED_IN
MT35085,BEEE 100,ENROLLED_IN
MT35085,BOOO 200-2,ENROLLED_IN
SC53490,BBBB 100-3,ENROLLED_IN
EE13756,CSMM 100,ENROLLED_IN
EE13756,CSOO 100,ENROLLED_IN
CY24226,CSMM 100,ENROLLED_IN
HD07658,CSNN 100,ENROLLED_IN
HD07658,CSXX 100,ENROLLED_IN
HD07658,CSOO 100,ENROLLED_IN
AC93731,BEEE 200,ENROLLED_IN
DJ81753,BJJJ 300,ENROLLED_IN
DJ81753,BFFF 100,ENROLLED_IN
DJ81753,CSZZ 100,ENROLLED_IN
TS63551,CSKK 200-4,ENROLLED_IN
TS63551,BFFF 100-4,ENROLLED_IN
TS63551,CSVV 100,ENROLLED_IN
TS63551,BHHH 100,ENROLLED_IN
TS63551,BNNN 200-7,ENROLLED_IN
ZB72787,BFFF 100-4,ENROLLED_IN
ZB72787,BHHH 100,ENROLLED_IN
ZB72787,BLLL 100,ENROLLED_IN
IZ67278,BUUU 100,ENROLLED_IN
IZ67278,CSYY 200-1,ENROLLED_IN
IZ67278,CSVV 200,ENROLLED_IN
PP70050,BEEE 100,ENROLLED_IN
PP70050,BQQQ 300,ENROLLED_IN
QG22242,CSJJ 100,ENROLLED_IN
QG22242,BWWW 200,ENROLLED_IN
QG22242,BUUU 100,ENROLLED_IN
TW42275,BLLL 100,ENROLLED_IN
AW34826,BNNN 200,ENROLLED_IN
AW34826,BYYY 200,ENROLLED_IN
VI06593,CSXX 100,ENROLLED_IN
IA41084,CSNN 100,ENROLLED_IN
IA41084,CSEE 200,ENROLLED_IN
RZ03987,BQQQ 200,ENROLLED_IN
RZ03987,CSII 200,ENROLLED_IN
RZ03987,CSZZ 100,ENROLLED_IN
AP32436,CSEE 200,ENROLLED_IN
AP32436,CSXX 100,ENROLLED_IN
KH81532,CSKK 200,ENROLLED_IN
KH81532,BBBB 100-3,ENROLLED_IN
YO03512,BBBB 100,ENROLLED_IN
YO03512,BXXX 200,ENROLLED_IN
FR69099,BMMM 200,ENROLLED_IN
FR69099,CSVV 100,ENROLLED_IN
MR93262,CSKK 200-4,ENROLLED_IN
MR93262,BOOO 200-2,ENROLLED_IN
MR93262,BJJJ 300,ENROLLED_IN
MR93262,CSYY 200-1,ENROLLED_IN
JF32745,CSII 200,ENROLLED_IN
SC35149,BUUU 100,ENROLLED_IN
SC35149,BBBB 100,ENROLLED_IN
MM32449,BFFF 100-4,ENROLLED_IN
MM32449,CSZZ 200,ENROLLED_IN
HU48348,BEEE 100,ENROLLED_IN
GI26278,BLLL 100,ENROLLED_IN
GI26278,BEEE 100,ENROLLED_IN
GI26278,BSSS 300,ENROLLED_IN
VQ79337,CSMM 100,ENROLLED_IN
VQ79337,CSVV 200,ENROLLED_IN
VQ79337,BSSS 300,ENROLLED_IN
VQ79337,CSYY 200,ENROLLED_IN
OF32086,BFFF 100-4,ENROLLED_IN
OF32086,BLLL 100,ENROLLED_IN
OF32086,BEEE 100,ENROLLED_IN
CP26945,BTTT 300,ENROLLED_IN
CP26945,BEEE 100,ENROLLED_IN
KH69235,BLLL 100,ENROLLED_IN
TI12363,CSII 200,ENROLLED_IN
TI12363,CSRR 300-6-7,ENROLLED_IN
XE46096,CSJJ 100-4,ENROLLED_IN
XE46096,BHHH 100,ENROLLED_IN
XE46096,BMMM 200,ENROLLED_IN
TC65363,BQQQ 300,ENROLLED_IN
TC65363,CSVV 200,ENROLLED_IN
TC65363,BWWW 200,ENROLLED_IN
TC65363,BNNN 200-7,ENROLLED_IN
ML05631,CSNN 100,ENROLLED_IN
ML05631,BBBB 100-3,ENROLLED_IN
ML05631,CSZZ 100,ENROLLED_IN
GW02967,CSJJ 100,ENROLLED_IN
JH11171,BMMM 200,ENROLLED_IN
JH11171,BLLL 100,ENROLLED_IN
JH11171,BUUU 100,ENROLLED_IN
JH11171,BSSS 100,ENROLLED_IN
LI90466,CSAA 300-4,ENROLLED_IN
LI90466,BGGG 300-1,ENROLLED_IN
VP22144,CSVV 200,ENROLLED_IN
VP22144,BYYY 200,ENROLLED_IN
VP22144,CSXX 100,ENROLLED_IN
ER24493,CSRR 300-2,ENROLLED_IN
ER24493,CSJJ 100,ENROLLED_IN
ER24493,BBBB 100-3,ENROLLED_IN
GU63456,CSKK 200,ENROLLED_IN
GU63456,CSJJ 100,ENROLLED_IN
GU63456,CSZZ 100,ENROLLED_IN
GU63456,BWWW 200,ENROLLED_IN
GB80796,BGGG 300-1,ENROLLED_IN
GB80796,BFFF 300-2,ENROLLED_IN
GB80796,BYYY 200,ENROLLED_IN
GB80796,BQQQ 300,ENROLLED_IN
WM98905,BLLL 100,ENROLLED_IN
WM98905,BWWW 200,ENROLLED_IN
BH60325,BEEE 100,ENROLLED_IN
WV02126,CSVV 100,ENROLLED_IN
WV02126,BFFF 100,ENROLLED_IN
WV02126,CSXX 100,ENROLLED_IN
GM34899,BEEE 200,ENROLLED_IN
CA68181,CSYY 200-1,ENROLLED_IN
CA68181,CSOO 100,ENROLLED_IN
CA68181,CSZZ 100,ENROLLED_IN
TV02774,CSOO 100,ENROLLED_IN
TV02774,BQQQ 300,ENROLLED_IN
TV02774,CSEE 200,ENROLLED_IN
GZ30027,CSYY 200,ENROLLED_IN
IT09463,CSAA 300-2,ENROLLED_IN
NX90855,CSJJ 100,ENROLLED_IN
OC03480,BMMM 200,ENROLLED_IN
OC03480,CSEE 200,ENROLLED_IN
OC03480,BJJJ 300,ENROLLED_IN
VQ63608,CSKK 200,ENROLLED_IN
VQ63608,BOOO 200-2,ENROLLED_IN
VQ63608,BSSS 100,ENROLLED_IN
HL33920,BBBB 100,ENROLLED_IN
HL33920,BWWW 200-2,ENROLLED_IN
HL33920,CSEE 200,ENROLLED_IN
XB33746,BWWW 200,ENROLLED_IN
XB33746,CSXX 100,ENROLLED_IN
NB47891,BMMM 200,ENROLLED_IN
DB17186,CSJJ 100,ENROLLED_IN
WD22720,BOOO 200,ENROLLED_IN
JZ42568,BSSS 100,ENROLLED_IN
JZ42568,BWWW 200,ENROLLED_IN
HF53129,CSJJ 100-4,ENROLLED_IN
SB94683,BBBB 100-3,ENROLLED_IN
SB94683,CSEE 200,ENROLLED_IN
SB94683,CSII 200,ENROLLED_IN
TG23068,CSZZ 100,ENROLLED_IN
TG23068,CSKK 200,ENROLLED_IN
EH32394,CSRR 300-6-7,ENROLLED_IN
EH32394,BWWW 200-2,ENROLLED_IN
NZ52188,CSKK 200-4,ENROLLED_IN
FE39595,CSXX 100,ENROLLED_IN
FE39595,CSKK 200-4,ENROLLED_IN
FE39595,CSEE 200,ENROLLED_IN
PT39830,CSEE 200,ENROLLED_IN
PT39830,BQQQ 300,ENROLLED_IN
GQ22124,BEEE 100,ENROLLED_IN
GQ22124,CSDD 200,ENROLLED_IN
GQ22124,BLLL 100,ENROLLED_IN
GQ22124,CSYY 200,ENROLLED_IN
ZT52878,BEEE 100,ENROLLED_IN
ZT52878,CSOO 300,ENROLLED_IN
QX70883,CSKK 200,ENROLLED_IN
EE38529,BFFF 100-4,ENROLLED_IN
EE38529,BHHH 100,ENROLLED_IN
EE38529,BLLL 100,ENROLLED_IN
EE38529,BEEE 100,ENROLLED_IN
RP97086,CSYY 200,ENROLLED_IN
IG83530,CSOO 300,ENROLLED_IN
NY16190,CSRR 300-6-7,ENROLLED_IN
NY16190,BXXX 200,ENROLLED_IN
NY16190,CSXX 100,ENROLLED_IN
NG33669,BOOO 200-2,ENROLLED_IN
NG33669,CSZZ 100,ENROLLED_IN
QT20931,BHHH 100,ENROLLED_IN
IL37355,BFFF 100-4-1,ENROLLED_IN
IL37355,BBBB 100,ENROLLED_IN
IL37355,CSDD 200,ENROLLED_IN
SC46150,CSXX 100,ENROLLED_IN
VR26315,CSZZ 100,ENROLLED_IN
VR26315,BHHH 100,ENROLLED_IN
GG16391,BBBB 200-9,ENROLLED_IN
GG16391,CSPP 200,ENROLLED_IN
MI78477,CSZZ 100,ENROLLED_IN
MI78477,CSMM 100,ENROLLED_IN
CU99187,CSOO 100,ENROLLED_IN
CU99187,BHHH 100,ENROLLED_IN
CU99187,CSKK 200-4,ENROLLED_IN
CU99187,BMMM 200,ENROLLED_IN
KR35213,CSEE 200,ENROLLED_IN
KR35213,BOOO 200,ENROLLED_IN
SG38138,BEEE 100,ENROLLED_IN
SG38138,BOOO 200-2,ENROLLED_IN
