:START_ID(Course),:END_ID(Course),:TYPE,strength,minGrade
CSBB 200,CSSS 400,PREREQUISITE_FOR,Required,D
CSKK 300,CSSS 400,PREREQUISITE_FOR,Required,C-
CSBB 200,CSMM 300,PREREQUISITE_FOR,Required,D-
CSJJ 100,CSMM 300,PREREQUISITE_FOR,Required,C
CSNN 100,CSUU 200,PREREQUISITE_FOR,Required,D
CSRR 300-6-7,CSRR 400,PREREQUISITE_FOR,Required,C
CSAA 200,CSOO 300-9,PREREQUISITE_FOR,Required,C-
CSXX 100,CSGG 300-8,PREREQUISITE_FOR,Required,C
CSOO 100,CSAA 200,PREREQUISITE_FOR,Required,D-
CSJJ 100-4,CSVV 200,PREREQUISITE_FOR,Recommended,
BBBB 200-9,BQQQ 300,PREREQUISITE_FOR,Required,D-
BWWW 200,BFFF 400,PREREQUISITE_FOR,Required,C-
BQQQ 200,BFFF 400,PREREQUISITE_FOR,Required,C
BMMM 100,BUUU 200,PREREQUISITE_FOR,Required,C-
BFFF 100-4-1,BJJJ 300,PREREQUISITE_FOR,Required,C-
BFFF 100-4,BCCC 200,PREREQUISITE_FOR,Required,C
BLLL 100,BOOO 200,PREREQUISITE_FOR,Required,C-
BXXX 200,BUUU 300,PREREQUISITE_FOR,Required,D-
BSSS 100,BUUU 300,PREREQUISITE_FOR,Required,D
BMMM 200,BRRR 300,PREREQUISITE_FOR,Required,C-
BHHH 100,BRRR 300,PREREQUISITE_FOR,Required,D
BUUU 200,BFFF 300,PREREQUISITE_FOR,Required,C-
BOOO 200-2,BFFF 300,PREREQUISITE_FOR,Required,C
BWWW 200-2,BIII 300,PREREQUISITE_FOR,Recommended,
BCCC 200,BIII 300,PREREQUISITE_FOR,Required,D-
BHHH 100,BTTT 300,PREREQUISITE_FOR,Required,C-
BFFF 100-4,BTTT 300,PREREQUISITE_FOR,Required,C
BLLL 100,BBBB 200,PREREQUISITE_FOR,Required,D-
BBBB 100-3,BQQQ 200,PREREQUISITE_FOR,Required,D-
BFFF 100,BPPP 400,PREREQUISITE_FOR,Required,C
BXXX 200,BPPP 400,PREREQUISITE_FOR,Required,C-
BGGG 300-1,BPPP 400,PREREQUISITE_FOR,Required,D
BWWW 200-2,BGGG 300,PREREQUISITE_FOR,Required,C
BCCC 200,BGGG 300,PREREQUISITE_FOR,Recommended,
BCCC 200,BQQQ 300-9,PREREQUISITE_FOR,Required,C-
BQQQ 200,BQQQ 300-9,PREREQUISITE_FOR,Required,D
BLLL 100,BNNN 200,PREREQUISITE_FOR,Recommended,
BNNN 200-7,BEEE 300,PREREQUISITE_FOR,Required,D-
BEEE 100,BEEE 300,PREREQUISITE_FOR,Required,C-
BBBB 100,BYYY 200,PREREQUISITE_FOR,Required,C-
BEEE 300,BZZZ 400,PREREQUISITE_FOR,Required,D
BWWW 200-2,BZZZ 400,PREREQUISITE_FOR,Required,D
BRRR 300,BZZZ 400,PREREQUISITE_FOR,Required,C-
BUUU 100,BNNN 200-7,PREREQUISITE_FOR,Required,C
BXXX 200,BRRR 300-8,PREREQUISITE_FOR,Required,C
BBBB 200-9,BRRR 300-8,PREREQUISITE_FOR,Required,C-
BEEE 100,BUUU 300-4,PREREQUISITE_FOR,Required,D
BNNN 200,BFFF 300-2,PREREQUISITE_FOR,Required,D-
BUUU 200,BZZZ 400-3,PREREQUISITE_FOR,Required,C
BIII 300,BZZZ 400-3,PREREQUISITE_FOR,Required,D
BFFF 100-4-1,BWWW 200-2,PREREQUISITE_FOR,Required,D
BFFF 100,BBBB 200-9,PREREQUISITE_FOR,Recommended,
BBBB 100,BDDD 400,PREREQUISITE_FOR,Recommended,
BJJJ 300,BDDD 400,PREREQUISITE_FOR,Required,C-
BIII 200,BDDD 400,PREREQUISITE_FOR,Required,C-
BFFF 100,BKKK 300,PREREQUISITE_FOR,Required,D
BFFF 100-4,BSSS 300,PREREQUISITE_FOR,Required,C
BMMM 200,BSSS 300,PREREQUISITE_FOR,Required,D-
BSSS 100,BGGG 300-2,PREREQUISITE_FOR,Required,C
BMMM 200,BGGG 300-2,PREREQUISITE_FOR,Recommended,
BBBB 200-9,BGGG 300-1,PREREQUISITE_FOR,Required,C-
BMMM 200,BNNN 400,PREREQUISITE_FOR,Required,C-
BMMM 100,BNNN 400,PREREQUISITE_FOR,Required,C-
